title,authors,year,journal,doi,uid,countries,abstract,citations,references,keywords,subtypeDescription
Effects of traditional Chinese exercises on blood glucose and hemoglobin A1c levels in patients with prediabetes: A systematic review and meta-analysis,"Yu, Dong-dong; You, Liang-zhen; Huang, Wan-qiu; Cao, Hui; Wang, Fan-jing; Tang, Xiu-qin; Fang, Zhao-hui; Shen, Guo-ming; Guan, Yu-xiang; ELSEVIER; Yu, Dong-dong; You, Liang-zhen; Huang, Wan-qiu; Cao, Hui; Wang, Fan-jing; Tang, Xiu-qin; Shen, Guo-ming; Fang, Zhao-hui; Guan, Yu-xiang; Shen, Guo-ming; Guan, Yu-xiang",2020,JOURNAL OF INTEGRATIVE MEDICINE-JIM,10.1016/j.joim.2020.04.003,WOS:000550208500003,Peoples R China,"Background: Traditional Chinese exercises (TCEs) have a positive effect on glycemic control and hemoglobin A1c (HbA1c), but there is no consensus on the benefits of TCEs for patients with prediabetes.",0,0,Traditional Chinese exercises; Prediabetes; Blood sugar; Glycemic control; Hemoglobin A1c; Systematic review; Meta-analysis; RACIAL-DIFFERENCES; STATEMENT; BIAS,Review
The safety and quality of childbirth in the context of health systems: mapping maternal health provision in Lebanon,"DeJong, Jocelyn; Akik, Chaza; El Kak, Faysal; Osman, Hibah; El-Jardali, Fadi; ELSEVIER SCI LTD; El-Jardali, Fadi; DeJong, Jocelyn; El Kak, Faysal; Osman, Hibah; El-Jardali, Fadi; El-Jardali, Fadi; Akik, Chaza",2010,MIDWIFERY,10.1016/j.midw.2010.06.012,WOS:000282156800013,Lebanon,"Objective: to provide basic information on the distribution (public/private and geographically) and the nature of maternity health provision in Lebanon, including relevant health outcome data at the hospital level in order to compare key features of provision with maternal/neonatal health outcomes.",0,0,Maternal health; Safety; Health system; CESAREAN-SECTION RATES; OF-CARE; NEWBORN; INTERVENTIONS; ACCREDITATION; COUNTRIES; SERVICES,Article
A Mixed Methods Evaluation of a Pilot Multidisciplinary Breathlessness Support Service,"Drury, Amanda; Goss, Julie; Afolabi, Jide; McHugh, Gillian; O'Leary, Norma; Brady, Anne-Marie; SAGE PUBLICATIONS INC; Drury, Amanda; Drury, Amanda; Goss, Julie; Afolabi, Jide; McHugh, Gillian; O'Leary, Norma; Brady, Anne-Marie; Drury, Amanda; Drury, Amanda; Brady, Anne-Marie; Drury, Amanda; Drury, Amanda",2023,EVALUATION REVIEW,10.1177/0193841X231162402,WOS:000962653400001,Ireland,"Breathlessness support services have demonstrated benefits for breathlessness mastery, quality of life and psychosocial outcomes for people living with breathlessness. However, these services have predominantly been implemented in hospital and home care contexts. This study aims to evaluate the adaptation and implementation of a hospice-based outpatient Multidisciplinary Breathlessness Support Service (MBSS) in Ireland. A sequential explanatory mixed methods design guided this study. People with chronic breathlessness participated in longitudinal questionnaires (n = 10), medical record audit (n = 14) and a post-discharge interview (n = 8). Caregivers (n = 1) and healthcare professionals involved in referral to (n = 2) and delivery of (n = 3) the MBSS participated in a cross-sectional interview. Quantitative and qualitative data were integrated deductively via the pillar integration process, guided by the RE-AIM framework. Integration of mixed methods data enhanced understanding of factors influencing the reach, adoption, implementation and maintenance of the MBSS, and the potential outcomes that were most meaningful for service users. Potential threats to the sustainability of the MBSS related to potential preconceptions of hospice care, the lack of standardized discharge pathways from the service and access to primary care services to sustain pharmacological interventions. This study suggests that an adapted multidisciplinary breathlessness support intervention is feasible and acceptable in a hospice context. However, to ensure optimal reach and maintenance of the intervention, activities are required to ensure that misconceptions about the setting do not influence willingness to accept referral to MBSS services and integration of services is needed to enable consistency in referral and discharge processes.",0,0,dyspnea; integration; joint displays; mixed methods; pillar integration process; palliative care; OBSTRUCTIVE PULMONARY-DISEASE; QUALITY-OF-LIFE; PALLIATIVE CARE; SELF-EFFICACY; REFRACTORY BREATHLESSNESS; COMPLEX INTERVENTIONS; DOCTORS ATTITUDES; SYMPTOM CLUSTER; CANCER PATIENTS; LUNG-CANCER,Article
Enhancing representativeness of patient-reported outcomes in routine radiation oncology care: a quality improvement protocol to address non-response,"Zeng, Chengbo; Martin, Neil E.; Pusic, Andrea L.; Edelen, Maria O.; Liu, Jason B.; BMJ PUBLISHING GROUP; Zeng, Chengbo; Pusic, Andrea L.; Edelen, Maria O.; Liu, Jason B.; Zeng, Chengbo; Martin, Neil E.; Pusic, Andrea L.; Edelen, Maria O.; Liu, Jason B.; Martin, Neil E.; Martin, Neil E.; Pusic, Andrea L.; Edelen, Maria O.; Liu, Jason B.; Zeng, Chengbo; Zeng, Chengbo; Zeng, Chengbo; Edelen, Maria; Zeng, Chengbo",2024,BMJ OPEN,10.1136/bmjopen-2024-097127,WOS:001379664700001,USA,"Introduction Non-response significantly undermines the representativeness of patient-reported outcome (PRO) data, thereby compromising its utility for facilitating high-value, equitable, patient-centred care in cancer clinics. Quality improvement studies are needed to assess the representativeness of PRO data collected in routine care, identify the underlying causes of non-response and develop novel methods to ensure data representativeness. Using a multilevel framework and a mixed-methods approach, we have three aims: (1) characterise the non-response of the Global-10 across clinic, provider and patient levels; (2) identify multilevel causes of non-response and potential strategies to improve representativeness in PRO collection; and (3) develop effective modifications to missing-data methods to enhance the representativeness of pre-existing PRO data. Methods and analysis Our primary data source is the Patient Reported Outcomes Measurement Information System Global-10, collected as part of routine care at the Radiation Oncology clinics within the Mass General Brigham (MGB) healthcare system. Other sources include (1) Harvard Catalyst for provider-specific data, (2) MGB administrative data, (3) public Centers for Medicare & Medicaid Services data and (4) the National Plan and Provider Enumeration System. We will conduct quantitative analyses to assess variations in Global-10 non-response across multilevel factors. Additionally, we will use qualitative interviews with patients and clinical professionals to understand the causes of non-response and to formulate strategies to expand the reach of PRO collection to underrepresented cancer patients, improve their completions and enhance overall data representativeness. Finally, we will integrate implementation science knowledge and findings from the first two aims into missing-data methods to manage non-response in the pre-existing Global-10 data and to evaluate their performance in preserving representativeness. Ethics and dissemination The study protocol was reviewed and approved by the Institutional Review Board at the Dana-Farber/Harvard Cancer Center (24-225). Written informed consent will be obtained from participants. Study findings will be disseminated through peer-reviewed publications and presentations at national and international conferences.",0,0,CLINICAL-TRIALS; CANCER; IMPUTATION,Article
Factors Influencing Trust towards Physicians among Patients from 12 Hospitals in China,"Wang, Wenxin; Zhang, Hao; Washburn, David J.; Shi, Hongmei; Chen, Yinghua; Lee, Shinduk; Du, Yuxian; Maddock, Jay E.; PNG PUBLICATIONS; Wang, Wenxin; Shi, Hongmei; Zhang, Hao; Washburn, David J.; Du, Yuxian; Chen, Yinghua; Lee, Shinduk; Maddock, Jay E.; Maddock, Jay E.; Maddock, Jay; Du, Yuxian; Washburn, David; Zhang, Hao; wang, wenxin; Zhang, Hao; wang, wenxin; Du, Yuxian",2018,AMERICAN JOURNAL OF HEALTH BEHAVIOR,10.5993/AJHB.42.6.3,WOS:000443157900003,Peoples R China; USA,"Objective: We investigated the level of physician trust in China and how it is influenced by various demographic factors. Methods: We surveyed 12 public hospitals from which inpatients were randomly selected using hospitalization ID and outpatients were selected using census sampling to participate in the interview. Trust in physicians was measured using the Chinese version of Wake Forest Physician Trust Scale. Mixed-effects and logistic models were employed to study correlates of trust. Results: The distribution of scale mean was left skewed, which implied a subpopulation bearing low levels of trust towards physicians. Respondents who were male, young, outpatients, unsatisfied with their life status, had high levels of education and income, and paid less attention to their health were prone to be less satisfied with their physicians. Conclusions: The level of physician trust in China is lower compared to studies in western countries. We also found demographic factors related with significantly lower physician trust, which may help policymakers identify potential target subpopulations and be more specific with their efforts to improve patient-physician relationships.",0,0,patient-physician trust; Wake Forest Physician Trust Scale; correlates; China; mixed-effects model; HEALTH-CARE; PROVIDERS; SERVICES; QUALITY; SCALE,Article
"Multiscale Effects of Multimodal Public Facilities Accessibility on Housing Prices Based on MGWR: A Case Study of Wuhan, China","Liu, Lingbo; Yu, Hanchen; Zhao, Jie; Wu, Hao; Peng, Zhenghong; Wang, Ru; MDPI; Liu, Lingbo; Zhao, Jie; Wang, Ru; Liu, Lingbo; Yu, Hanchen; Wu, Hao; Peng, Zhenghong; Zhao, Jie; Wu, Hao; Liu, Lingbo; zhenghong, peng; Yu, Hanchen; Yu, Hanchen; Wu, Hao; Liu, Lingbo",2022,ISPRS INTERNATIONAL JOURNAL OF GEO-INFORMATION,10.3390/ijgi11010057,WOS:000758831800001,Peoples R China; USA,"The layout of public service facilities and their accessibility are important factors affecting spatial justice. Previous studies have verified the positive influence of public facilities accessibility on house prices; however, the spatial scale of the impact of various public facilities accessibility on house prices is not yet clear. This study takes transportation analysis zone of Wuhan city as the spatial unit, measure the public facilities accessibility of schools, hospitals, green space, and public transit stations with four kinds of accessibility models such as the nearest distance, real time travel cost, kernel density, and two step floating catchment area (2SFCA), and explores the multiscale effect of public services accessibility on house prices with multiscale geographically weighted regression model. The results show that the differentiated scale effect not only exists among different public facility accessibilities, but also exists in different accessibility models of the same sort of facility. The article also suggests that different facilities should adopt its appropriate accessibility model. This study provides insights into spatial heterogeneity of urban public service facilities accessibility, which will benefit decision making in equal accessibility planning and policy formulation for the layout of urban service facilities.",0,0,multiscale effect; public facilities; accessibility; MGWR; housing prices; 2SFCA; HEALTH; AMENITY; OPTIMIZATION; INEQUALITY; INEQUITY; SHANGHAI; QUALITY; TRANSIT; WALKING; VALUES,Article
Public emergency department: the psychosocial impact on the physical domain of quality of life of nursing professionals,"Kogien, Moises; Cedaro, Jose Juliano; UNIV SAO PAULO, ESCOLA DE ENFERMAGEM DE RIBEIRAO PRETO; Kogien, Moises; Cedaro, Jose Juliano; Kogien, Moises; Kogien, Moises",2014,REVISTA LATINO-AMERICANA DE ENFERMAGEM,10.1590/0104-1169.3171.2387,WOS:000331346000008,Brazil,"Objectives: to determine the psychosocial factors of work related to harm caused in the physical domain of the quality of life of nursing professionals working in a public emergency department. Method: cross-sectional, descriptive study addressing 189 nursing professionals. The Job Stress Scale and the short version of an instrument from the World Health Organization to assess quality of life were used to collect data. Robert Karasek's Demand-Control Model was the reference for the analysis of the psychosocial configuration. The risk for damage was computed with a confidence interval of 95%. Results: In regard to the psychosocial environment, the largest proportion of workers reported low psychological demands (66.1%) and low social support (52.4%), while 60.9% of the professionals experienced work situations with a greater potential for harm: high demand job (22.8%) and passive work (38.1%). Conclusions: low intellectual discernment, low social support and experiencing a high demand job or a passive job were the main risk factors for damage in the physical domain of quality of life.",0,0,Quality of Life; Psychosocial Impact; Nursing; Emergency Medical Services; JOB STRESS SCALE,Article
Factors associated with burnout among Chinese hospital doctors: a cross-sectional study,"Wu, Hui; Liu, Li; Wang, Yang; Gao, Fei; Zhao, Xue; Wang, Lie; BMC; Wu, Hui; Liu, Li; Wang, Yang; Gao, Fei; Zhao, Xue; Wang, Lie; Wang, Lie",2013,BMC PUBLIC HEALTH,10.1186/1471-2458-13-786,WOS:000323755100002,Peoples R China,"Background: Burnout has been a major concern in the field of occupational health. However, there is a paucity of research exploring the factors related to burnout among Chinese doctors. Investigation of these factors is important to improve the health of doctors and the quality of healthcare services in China.",0,0,Burnout; Doctors; Maslach Burnout Inventory-General Survey; Occupational stress; EFFORT-REWARD IMBALANCE; WORK-FAMILY CONFLICT; OCCUPATIONAL STRESS; JOB-SATISFACTION; DEPRESSIVE SYMPTOMS; MEDIATING ROLE; MENTAL-HEALTH; PHYSICIANS; NURSES; SUICIDE,Article
Development and testing of the 'Culture of Care Barometer' (CoCB) in healthcare organisations: a mixed methods study,"Rafferty, Anne Marie; Philippou, Julia; Fitzpatrick, Joanne M.; Pike, Geoff; Ball, Jane; BMJ PUBLISHING GROUP; Rafferty, Anne Marie; Philippou, Julia; Fitzpatrick, Joanne M.; Pike, Geoff; Ball, Jane; Rafferty, Anne Marie; Ball, Jane",2017,BMJ OPEN,10.1136/bmjopen-2017-016677,WOS:000411802700190,England,"Objective Concerns about care quality have prompted calls to create workplace cultures conducive to high-quality, safe and compassionate care and to provide a supportive environment in which staff can operate effectively. How healthcare organisations assess their culture of care is an important first step in creating such cultures. This article reports on the development and validation of a tool, the Culture of Care Barometer, designed to assess perceptions of a caring culture among healthcare workers preliminary to culture change.",0,0,QUALITY,Article
Is 'minimally adequate treatment' really adequate? investigating the effect of mental health treatment on quality of life for children with mental health problems,"Ride, Jemimah; Huang, Li; Mulraney, Melissa; Hiscock, Harriet; Coghill, David; Sawyer, Michael; Sciberras, Emma; Dalziel, Kim; ELSEVIER; Ride, Jemimah; Huang, Li; Dalziel, Kim; Mulraney, Melissa; Hiscock, Harriet; Mulraney, Melissa; Hiscock, Harriet; Coghill, David; Hiscock, Harriet; Coghill, David; Sawyer, Michael; Sciberras, Emma; Ride, Jemimah; Mulraney, Melissa; Ride, Jemimah; Dalziel, Kim; Ride, Jemimah; Hiscock, Harriet; Huang, Li; Coghill, David",2020,JOURNAL OF AFFECTIVE DISORDERS,10.1016/j.jad.2020.07.086,WOS:000565879800039,Australia,"Background: Minimally adequate treatment (MAT) is intended to represent treatment minimally sufficient for common mental health problems. For children, MAT has been defined over a twelve-month period as either eight or more mental health visits, or four to seven visits plus relevant medication. MAT is used to identify those missing out on adequate care, but it is unknown whether MAT improves children's outcomes.",0,0,health services research; mental health; attention deficit hyperactivity disorder (ADHD); child; access to health care; Minimally adequate treatment; Child psychiatry; Delivery of healthcare; Outcomes of care; Regression analysis; DIFFICULTIES-QUESTIONNAIRE; OUTCOME MEASUREMENT; DEPRESSION CARE; DISORDERS; STRENGTHS; ADOLESCENTS; PREVALENCE; PROVISION; ETHNICITY,Article
