title,authors,year,journal,doi,uid,countries,abstract,citations,references,keywords,subtypeDescription
Healthcare Utilization and Prevalence of Symptoms inWomen with Menopause: A Real-World Analysis,"Moser, Sarah Sharman; Chodick, Gabriel; Bar-On, Shikma; Shalev, Varda; DOVE MEDICAL PRESS LTD; Moser, Sarah Sharman; Chodick, Gabriel; Shalev, Varda; Chodick, Gabriel; Shalev, Varda; Bar-On, Shikma; Moser, Sarah Sharman; chodick, gabby",2020,INTERNATIONAL JOURNAL OF WOMENS HEALTH,10.2147/IJWH.S246113,WOS:000538823200001,Israel,"Objective: Self-reported studies estimated that as many as 50-75% of women experience symptoms during menopause; however, limited real-world clinical data are available to support this observation. The electronic databases of Maccabi Healthcare Services were used to describe the prevalence of menopause symptoms in Israel and to characterize patients with regard to socioeconomic status, comorbidities and use of healthcare services.",0,0,menopause; peri-menopause; real-world study; healthcare utilization; QUALITY-OF-LIFE; CIGARETTE-SMOKING; INDIRECT COSTS; WOMEN; SEEKING; BURDEN; TRANSITION; SEVERITY; EFFICACY; POSITION,Article
"Measles, mumps, rubella prevention: how can we do better?","Kauffmann, Florence; Heffernan, Catherine; Meurice, Francois; Ota, Martin O. C.; Vetter, Volker; Casabona, Giacomo; TAYLOR & FRANCIS LTD; Kauffmann, Florence; Meurice, Francois; Ota, Martin O. C.; Vetter, Volker; Casabona, Giacomo; Heffernan, Catherine; Meurice, Francois; Casabona, Giacomo; Meurice, Francois; Casabona, Giacomo; Heffernan, Catherine; Heffernan, Catherine",2021,EXPERT REVIEW OF VACCINES,10.1080/14760584.2021.1927722,WOS:000658702300001,Belgium; England,"Introduction: Measles, mumps, and rubella incidence decreased drastically following vaccination programs' implementation. However, measles and mumps' resurgence was recently reported, outbreaks still occur, and challenges remain to control these diseases. Areas covered: This qualitative narrative review provides an objective appraisal of the literature regarding current challenges in controlling measles, mumps, rubella infections, and interventions to address them. Expert opinion: While vaccines against measles, mumps, and rubella (including trivalent vaccines) are widely used and effective, challenges to control these diseases are mainly related to insufficient immunization coverage and changing vaccination needs owing to new global environment (e.g. traveling, migration, population density). By understanding disease transmission peculiarities by setting, initiatives are needed to optimize vaccination policies and increase vaccination coverage, which was further negatively impacted by COVID-19 pandemic. Also, awareness of the potential severity of infections and the role of vaccines should increase. Reminder systems, vaccination of disadvantaged, high-risk and difficult-to-reach populations, accessibility of vaccination, healthcare infrastructure, and vaccination services management should improve. Outbreak preparedness should be strengthened, including implementation of high-quality surveillance systems to monitor epidemiology. While the main focus should be on these public health initiatives to increase vaccination coverage, slightly more benefits could come from evolution of current vaccines.Plain Language SummaryWhat is the context? Measles, mumps, and rubella are highly contagious diseases associated with significant medical and societal burden. Effective vaccines against these diseases are available, and the implementation of vaccination programs drastically reduced disease incidence globally. However, reports of measles and mumps outbreaks in the last few years highlight remaining challenges to eliminate these diseases.What does the review highlight? We conducted a literature review to identify challenges associated with controlling measles, mumps, and rubella infections, and interventions needed to address them. We identified 11 challenges mainly related to low immunization coverage and vaccine characteristics. Societal challenges could be addressed by increasing awareness of disease severity and vaccines impact, targeting high-risk, unvaccinated, and under-vaccinated populations, improving vaccination access, setting up clear outbreak preparedness plans, and implementing country-specific vaccination policies. System weaknesses could be addressed through improving vaccination services and health infrastructure, implementing high-quality surveillance, patient invite, and reminder systems, ensuring vaccine implementation and long-term supply. Interventions related to vaccine characteristic challenges could include adaptation of vaccination schedules (shorter interval between doses, administration of a third dose) and development of vaccines against emerging strains.",0,0,Coverage; elimination; measles; MMR vaccine; MMR uptake; mumps; prevention; protection; rubella; vaccine effectiveness; HEALTH-CARE WORKERS; SUPPLEMENTARY IMMUNIZATION ACTIVITIES; VACCINE HESITANCY; COST-EFFECTIVENESS; MMR VACCINE; GLOBAL PERSPECTIVE; HUMORAL IMMUNITY; UNITED-STATES; PUBLIC-HEALTH; OUTBREAK,Review
A Mixed Methods Evaluation of a Pilot Multidisciplinary Breathlessness Support Service,"Drury, Amanda; Goss, Julie; Afolabi, Jide; McHugh, Gillian; O'Leary, Norma; Brady, Anne-Marie; SAGE PUBLICATIONS INC; Drury, Amanda; Drury, Amanda; Goss, Julie; Afolabi, Jide; McHugh, Gillian; O'Leary, Norma; Brady, Anne-Marie; Drury, Amanda; Drury, Amanda; Brady, Anne-Marie; Drury, Amanda; Drury, Amanda",2023,EVALUATION REVIEW,10.1177/0193841X231162402,WOS:000962653400001,Ireland,"Breathlessness support services have demonstrated benefits for breathlessness mastery, quality of life and psychosocial outcomes for people living with breathlessness. However, these services have predominantly been implemented in hospital and home care contexts. This study aims to evaluate the adaptation and implementation of a hospice-based outpatient Multidisciplinary Breathlessness Support Service (MBSS) in Ireland. A sequential explanatory mixed methods design guided this study. People with chronic breathlessness participated in longitudinal questionnaires (n = 10), medical record audit (n = 14) and a post-discharge interview (n = 8). Caregivers (n = 1) and healthcare professionals involved in referral to (n = 2) and delivery of (n = 3) the MBSS participated in a cross-sectional interview. Quantitative and qualitative data were integrated deductively via the pillar integration process, guided by the RE-AIM framework. Integration of mixed methods data enhanced understanding of factors influencing the reach, adoption, implementation and maintenance of the MBSS, and the potential outcomes that were most meaningful for service users. Potential threats to the sustainability of the MBSS related to potential preconceptions of hospice care, the lack of standardized discharge pathways from the service and access to primary care services to sustain pharmacological interventions. This study suggests that an adapted multidisciplinary breathlessness support intervention is feasible and acceptable in a hospice context. However, to ensure optimal reach and maintenance of the intervention, activities are required to ensure that misconceptions about the setting do not influence willingness to accept referral to MBSS services and integration of services is needed to enable consistency in referral and discharge processes.",0,0,dyspnea; integration; joint displays; mixed methods; pillar integration process; palliative care; OBSTRUCTIVE PULMONARY-DISEASE; QUALITY-OF-LIFE; PALLIATIVE CARE; SELF-EFFICACY; REFRACTORY BREATHLESSNESS; COMPLEX INTERVENTIONS; DOCTORS ATTITUDES; SYMPTOM CLUSTER; CANCER PATIENTS; LUNG-CANCER,Article
Privacy and Security Issues in Mobile Medical Information Systems MMIS,"Xing, Yawen; Lu, Huizhe; Zhao, Lifei; Cao, Shihua; SPRINGER; Xing, Yawen; Lu, Huizhe; Zhao, Lifei; Cao, Shihua; Cao, Shihua",2024,MOBILE NETWORKS & APPLICATIONS,10.1007/s11036-024-02299-8,WOS:001308260000001,Peoples R China,"Mobile Medical information systems MMIS or mHealth applications support personal health and potentially improve the health sector by offering a solution to significant problems faced by the healthcare system. While espousing these Mobile Medical Information Systems, sequestration and security issues arise. Due to advanced computing and different capabilities, data security and confidentiality come major enterprises with continuously expanding mHealth operations. European Union General Data Protection (GDPR) and California Consumer Sequestration Act (CCPA) raise mindfulness; still, they need to address developing a system that meets sequestration and security conditions. This paper deals with research literature to understand current privacy and security issues and possible solutions for patients and providers using mHealth applications. This is the reason for several threats, such as information harvesting, tracking patients, relaying attacks, and denial of service attacks, which affect the confidentiality and integrity of these devices. We discussed the challenges and risks associated with Mobile Medical information systems and emphasized the need to address these concerns for widespread adoption. Mitigation strategies include robust security measures, regulatory compliance, and user awareness. We discussed the impact of privacy and security issues on healthcare, including potential harm to patients and disruptions in system functioning, reviewing laws, conducting a literature review, and assessing mHealth system applications. We emphasize the need for comprehensive security measures and continuous evaluation of security practices in mHealth, which need to be addressed to achieve quality, continuity, and portability of health services. We offer a critical and methodical assessment of the state of the art in mHealth security and privacy and suggest a methodology for creating and executing MMIS that is safe and protects privacy.",0,0,mHealth; Mobile medical information systems; Privacy; Security; mHealth technologies; INTERNET; THINGS,Review
Comparison of Administrative versus Electronic Health Record-based Methods for Identifying Sepsis Hospitalizations,"Karlic, Kevin J.; Clouse, Tori L.; Hogan, Cainnear K.; Garland, Allan; Seelye, Sarah; Sussman, Jeremy B.; Prescott, Hallie C.; AMER THORACIC SOC; Karlic, Kevin J.; Clouse, Tori L.; Sussman, Jeremy B.; Prescott, Hallie C.; Hogan, Cainnear K.; Seelye, Sarah; Sussman, Jeremy B.; Prescott, Hallie C.; Garland, Allan; Karlic, Kevin J.; Hofer, Timothy; Prescott, Hallie; Karlic, Kevin; Sussman, Jeremy",2023,ANNALS OF THE AMERICAN THORACIC SOCIETY,10.1513/AnnalsATS.202302-105OC,WOS:001064160400015,USA; Canada,"Rationale: Despite the importance of sepsis surveillance, no optimal approach for identifying sepsis hospitalizations exists. The Centers for Disease Control and Prevention Adult Sepsis Event Definition (CDC-ASE) is an electronic medical record-based algorithm that yields more stable estimates over time than diagnostic coding-based approaches but may still result in misclassification.",0,0,sepsis; health services research; quality improvement; DEFINITIONS; FRAMEWORK; MORTALITY,Article
Enhancing representativeness of patient-reported outcomes in routine radiation oncology care: a quality improvement protocol to address non-response,"Zeng, Chengbo; Martin, Neil E.; Pusic, Andrea L.; Edelen, Maria O.; Liu, Jason B.; BMJ PUBLISHING GROUP; Zeng, Chengbo; Pusic, Andrea L.; Edelen, Maria O.; Liu, Jason B.; Zeng, Chengbo; Martin, Neil E.; Pusic, Andrea L.; Edelen, Maria O.; Liu, Jason B.; Martin, Neil E.; Martin, Neil E.; Pusic, Andrea L.; Edelen, Maria O.; Liu, Jason B.; Zeng, Chengbo; Zeng, Chengbo; Zeng, Chengbo; Edelen, Maria; Zeng, Chengbo",2024,BMJ OPEN,10.1136/bmjopen-2024-097127,WOS:001379664700001,USA,"Introduction Non-response significantly undermines the representativeness of patient-reported outcome (PRO) data, thereby compromising its utility for facilitating high-value, equitable, patient-centred care in cancer clinics. Quality improvement studies are needed to assess the representativeness of PRO data collected in routine care, identify the underlying causes of non-response and develop novel methods to ensure data representativeness. Using a multilevel framework and a mixed-methods approach, we have three aims: (1) characterise the non-response of the Global-10 across clinic, provider and patient levels; (2) identify multilevel causes of non-response and potential strategies to improve representativeness in PRO collection; and (3) develop effective modifications to missing-data methods to enhance the representativeness of pre-existing PRO data. Methods and analysis Our primary data source is the Patient Reported Outcomes Measurement Information System Global-10, collected as part of routine care at the Radiation Oncology clinics within the Mass General Brigham (MGB) healthcare system. Other sources include (1) Harvard Catalyst for provider-specific data, (2) MGB administrative data, (3) public Centers for Medicare & Medicaid Services data and (4) the National Plan and Provider Enumeration System. We will conduct quantitative analyses to assess variations in Global-10 non-response across multilevel factors. Additionally, we will use qualitative interviews with patients and clinical professionals to understand the causes of non-response and to formulate strategies to expand the reach of PRO collection to underrepresented cancer patients, improve their completions and enhance overall data representativeness. Finally, we will integrate implementation science knowledge and findings from the first two aims into missing-data methods to manage non-response in the pre-existing Global-10 data and to evaluate their performance in preserving representativeness. Ethics and dissemination The study protocol was reviewed and approved by the Institutional Review Board at the Dana-Farber/Harvard Cancer Center (24-225). Written informed consent will be obtained from participants. Study findings will be disseminated through peer-reviewed publications and presentations at national and international conferences.",0,0,CLINICAL-TRIALS; CANCER; IMPUTATION,Article
Interventions to promote readiness for advance care planning: A systematic review and meta-analysis,"Tan, Minghui; Tang, Siyuan; Feder, Shelli; Xiao, Jinnan; Huang, Chongmei; Cook, Angus; Johnson, Claire E.; Ding, Jinfeng; PERGAMON-ELSEVIER SCIENCE LTD; Tan, Minghui; Tang, Siyuan; Xiao, Jinnan; Huang, Chongmei; Ding, Jinfeng; Feder, Shelli; Cook, Angus; Johnson, Claire E.; Ding, Jinfeng; Johnson, Claire; Cook, Angus; Xiao, Jinnan",2024,INTERNATIONAL JOURNAL OF NURSING STUDIES,10.1016/j.ijnurstu.2024.104778,WOS:001333911000001,Peoples R China; USA; Australia,"Background: Advance care planning is recommended as part of standard medical services. Readiness, denoting stages of behavior change, exerts a substantial influence on its uptake. However, the characteristics and impacts of advance care planning interventions on readiness are not well-established. Method: We systematically reviewed and conducted a meta-analysis of randomized controlled trials assessing the effects of advance care planning interventions on readiness. Studies were appraised using Joanna Briggs Institute Critical Appraisal tools. Meta-analyses were performed using mean difference of continuous variables or risk ratios of binary variables and their 95 % confidence interval as the pooled effect sizes. Results: Eight studies were included in this review and were all rated low quality. Meta-analysis showed that interventions resulted in slight improvement in overall readiness (mean difference = 0.19, 95 % confidence interval: 0.02-0.36) for advance care planning. However, statistically significant effects of interventions were not identified for readiness in relation to specific behaviors (appointment of a healthcare proxy, talking to a healthcare proxy, talking to a medical practitioner about living wills, and signing a living will). Conclusion: Our meta-analyses demonstrated that interventions can improve the overall readiness for advance care planning, suggesting the necessity to integrate readiness into future health policies and clinical practices. Nevertheless, the absence of significant effects on specific behavioral readiness underscores the requirement for additional refinement in intervention design, advanced technologies, and theoretical foundations. Registration: Not registered. (c) 2024 Elsevier Ltd. All rights reserved.",0,0,Advance care planning; Readiness; Intervention; Transtheoretical Model; TRANSTHEORETICAL MODEL; PALLIATIVE CARE; CANCER-PATIENTS; DEFINITION; OUTCOMES,Article
A novel approach for autism spectrum condition patients with eating disorders: Analysis of treatment cost-savings,"Tchanturia, Kate; Dandil, Yasemin; Li, Zhuo; Smith, Katherine; Leslie, Monica; Byford, Sarah; WILEY; Tchanturia, Kate; Dandil, Yasemin; Li, Zhuo; Smith, Katherine; Leslie, Monica; Tchanturia, Kate; Tchanturia, Kate; Byford, Sarah; Tchanturia, Kate; Leslie, Monica; Smith, Katherine; Li, Jo; Tchanturia, Kate; Byford, Sarah; Li, Zhuo; Dandil, Yasemin; Tchanturia, Kate",2021,EUROPEAN EATING DISORDERS REVIEW,10.1002/erv.2760,WOS:000546667900001,England; Georgia,"Objective In the current economic context, it is critical to ensure that eating disorder (ED) treatments are both effective and cost-effective. We describe the impact of a novel clinical pathway developed to better meet the needs of autistic patients with EDs on the length and cost of hospital admissions. Method The pathway was based on the Institute for Healthcare's Model of Improvement methodology, using an iterative Plan, Do, Study, Act format to introduce change and to co-produce the work with people with lived experience and with healthcare professionals. We explored the change in length and cost of admissions before and after the pathway was introduced. Results Preliminary results suggest that the treatment innovations associated with this pathway have led to reduced lengths of admission for patients with the comorbidity, which were not seen for patients without the comorbidity. Estimated cost-savings were approximately 22,837 pound per patient and approximately 275,000 pound per year for the service as a whole. Conclusion Going forward, our aim is to continue to evaluate the effectiveness and cost-effectiveness of investment in the pathway to determine whether the pathway improves the quality of care for patients with a comorbid ED and autism and is good value for money.",3,0,autism spectrum disorders; eating disorders; health economics; treatment; ADOLESCENTS; CARE,Article
Factors associated with health-related quality of life among people living with HIV in South Korea: Tobit regression analysis,"Kim, Gwang Suk; Kim, Layoung; Lee, Sanga; Shim, Mi-So; Lee, Youngjin; Baek, Seoyoung; PUBLIC LIBRARY SCIENCE; Kim, Gwang Suk; Kim, Layoung; Kim, Layoung; Lee, Youngjin; Kim, Layoung; Baek, Seoyoung; Lee, Sanga; Shim, Mi-So; Baek, Seoyoung; Baek, Seoyoung; Kim, Layoung; Kim, Gwang Suk",2024,PLOS ONE,10.1371/journal.pone.0303568,WOS:001227144600058,South Korea; USA,"This study investigated health-related quality of life and identified factors affecting it among people with the HIV in South Korea. A total of 243 people living with HIV participated in this cross-sectional survey. Data were collected from five hospitals between November 2021 and August 2022 using structured online questionnaires. Data were analyzed using descriptive statistics, Mann-Whitney U test, Kruskal-Wallis test, Spearman's rho analysis, and Tobit regression analysis because a significant ceiling effect was observed for the dependent variable. The mean score for the health-related quality of life was 75.74 +/- 16.48. The significant factors that positively influence the health-related quality of life were ""employment"" (B = 4.57, p = .035), ""not participating in the self-help group"" (B = 6.10, p = .004), ""higher self-efficacy for managing symptoms"" (B = 1.32, p = .036), ""higher self-efficacy for getting support/help"" (B = 0.95, p = .035), and ""higher self-efficacy for managing fatigue"" (B = 2.80, p < .001) in the Tobit regression analysis. The results suggest that interventions to increase self-efficacy should involve developing programs and policies for people living with HIV. There is a need for efforts to provide healthcare services linked to employment support, as well as to establish a social environment in which they can work without stigma. Further, self-help groups could be utilized as intervention channels.",0,0,SELF-EFFICACY; MEDICATION ADHERENCE; SUPPORT GROUP; PARTICIPATION; HIV/AIDS; PROVINCE; STIGMA; IMPACT; HAART,Article
Priorities Determining Future Directions of Sustainable Development in Business Models of the Healthcare Industry-Findings and Framework,"Rodriguez, Rocio; Svensson, Goran; Eriksson, David; MDPI; Rodriguez, Rocio; Rodriguez, Rocio; Svensson, Goran; Eriksson, David; Rodriguez, Rocio; Rodriguez, Rocio; Eriksson, David; Rodriguez, Rocio; Rodriguez, Rocio",2021,SUSTAINABILITY,10.3390/su13116507,WOS:000660703200001,Spain; Norway; Sweden,"The private healthcare sector was chosen because of the fundamental importance of quality in this sector, the widespread understanding that sustainable development is part of hospital quality standards, and the compelling need for the supply chain components to work together in order to add value to the business models of private healthcare services. This study uses a qualitative methodology, striving to add value to and shed light on the relationship between private hospital communication modes and their stakeholders' needs and their stakeholders' expectations of business models in the marketplace and society. This research lists a range of actions and services for assessing the priorities of private hospital communication modes in business models with respect to stakeholder needs and expectations. Furthermore, the study links stakeholder needs and the expectations of business models in private hospitals, with respect to private hospital communication modes with stakeholders, and vice versa. It also provides directions for managers in the healthcare industry to determine the appropriate actions and services for addressing stakeholders' needs and stakeholders' expectations of business models in private hospitals considering sustainable development. This research contributes to framing the future direction of sustainable development in business models of the healthcare industry. The paper outlines the assessment of communication modes in relation to economic, social, and environmental performance in the context of sustainable development.",0,0,sustainable development; sustainability; business model; supply chain; healthcare; Spain; SOCIAL SUSTAINABILITY; SUPPLY MANAGEMENT; CHAIN; IMPACT; PERFORMANCE; VIEW,Article
