title,authors,year,journal,doi,uid,countries,abstract,citations,references,keywords,subtypeDescription
Public and private healthcare services: What drives the choice?,"Meleddu, Marta; Pulina, Manuela; Scuderi, Raffaele; ELSEVIER SCIENCE INC; Meleddu, Marta; Pulina, Manuela; Scuderi, Raffaele; Pulina, Manuela; Meleddu, Marta; Meleddu, Marta",2020,SOCIO-ECONOMIC PLANNING SCIENCES,10.1016/j.seps.2019.100739,WOS:000532803100006,Italy,"This paper has explored patients' propensity to consume private healthcare services. We based our analysis on the typical tangible and intangible (for instance, responsiveness, reliability, assurance and staff empathy) domains of the SERVQUAL and SERVPERF methods. These variables may influence patients' decision-making when they choose between the public and private sectors. We combined factor analysis (to obtain a set of latent factors related to perceived quality) and a partial proportional ordered logit model to estimate the probability that a patient would access private healthcare services. To test the main hypotheses, we used data from a stratified sample in Sardinia, a peripheral region of Italy. Findings revealed that private and public healthcare are substitutes, especially for primary/specialised services. Patients who used public healthcare frequently and had a low income were unlikely to change to private healthcare or to recommend private services. 'Responsiveness' and perceptions on 'tangibles' were key in determining the probability that a patient would choose and recommend private services. This paper offers a multifaceted framework that can be used in future research to generalise these findings, especially in insular regions that are constrained by mobility.",0,0,Public healthcare; Private healthcare; Out-of-pocket spending; Quality; Factor analysis; Partial proportional ordered logit; PROPORTIONAL ODDS MODELS; WORD-OF-MOUTH; PATIENT SATISFACTION; QUALITY; HOSPITALS; PERCEPTIONS; SYSTEMS; DEMAND,Article
Breast Cancer Screening Practices and Satisfaction With Healthcare Providers in Chinese Women A Cross-sectional Study,"Zhang, Xuehui; Li, Ping; Zhang, Chunmiao; Guo, Pingping; Wang, Jie; Liu, Na; Yang, Shu; Yu, Lin; Zhang, Wei; LIPPINCOTT WILLIAMS & WILKINS; Zhang, Xuehui; Guo, Pingping; Wang, Jie; Liu, Na; Yang, Shu; Yu, Lin; Zhang, Wei; Li, Ping; Zhang, Chunmiao; Zhang, Wei; Lin, Yu; Lin, Yu; Zhang, Xue-hui",2022,CANCER NURSING,10.1097/NCC.0000000000000942,WOS:000755949200037,Peoples R China,"Background The Chinese government has proposed cancer screening guidelines and launched 2 cancer screening programs to improve screening practices. However, the screening participation rates of Chinese women remain low. Exploring the factors affecting breast cancer screening to promote cancer screening is necessary. Objective The aim of this study was to investigate women's satisfaction with healthcare providers and screening practices. Methods A cross-sectional survey was conducted from November 2019 to April 2020 in Changchun, Jilin Province, China. The Medical Care Satisfaction Scale and SERVQUAL were used to quantify women's satisfaction with doctors and nurses, respectively. Results Women's satisfaction with doctors (68.81 +/- 11.08; range, 20-100) and with nurses (87.64 +/- 16.17; range, 22-110) was moderate. Compared with women who had not participated in screening within the past 2 years, screened women reported higher satisfaction with doctors (P = .026) and nurses (P = .012). Older age (P = .004) was an independent predictor of women's satisfaction with doctors. Similarly, women's education level (P = .049), chronic disease history (P = .029), and physical examination history (P = .039) were 3 independent predictors of women's satisfaction with nurses. Conclusions Future intervention strategies can not only increase the screening rates by providing existing intervention methods but also improve women's satisfaction with healthcare providers to promote screening practices. Implications for Practice This article provides a theoretical basis for healthcare providers to increase female screening practices. It also provides references for improving existing intervention methods.",0,0,Breast cancer screening; Breast neoplasms; Doctor; Healthcare provider; Nurse; Satisfaction; PATIENT SATISFACTION; BARRIERS,Article
"Assessment of hospital service quality parameters from patient, doctor and employees' perspectives","Singh, Ajwinder; Prasher, Ajay; Kaur, Navdeep; ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD; Singh, Ajwinder; Prasher, Ajay; Kaur, Navdeep; Singh, Ajwinder; Singh, Ajwinder",2020,TOTAL QUALITY MANAGEMENT & BUSINESS EXCELLENCE,10.1080/14783363.2018.1487283,WOS:000571868800005,India,"The Indian healthcare industry has been growing at a tremendous pace and contributing a great deal towards the employment and revenue generation for the country. Recently, medical tourism has also gained a huge impetus as people from all over the globe visiting India for availing affordable and worldclass healthcare services. Hence, delivering effective healthcare service quality and understanding the perceptions of all stakeholders - i.e. patients, doctors and employees - has become very critical for the success of any healthcare centre. Over a period of time, service providers have been defining service quality parameters based on their own judgment and trying to deliver services as per their assumptions. However, patient satisfaction requires a proper synchronisation between what the patient expects and what the management perceives. For addressing this issue, six new dimensions were identified using SERVQUAL and termed it as 'HealQual' tool keeping in mind the needs of current Scenario. The paper would identify those healthcare service quality parameters which improve patient satisfaction and also generate priority weights from the perspectives of both service reviewer, i.e. patients and the service provider, i.e. doctors and employees.",0,0,Fuzzy analytic hierarchy process; service quality parameters; Fuzzy set theory; healthcare; SERVQUAL BASED METHOD; FUZZY; SATISFACTION; MODEL; PERCEPTIONS; PERFORMANCE; FRAMEWORK; SCALE,Article
Evaluation of outpatient satisfaction and service quality of Pakistani healthcare projects Application of a novel synthetic Grey Incidence Analysis model,"Javed, Saad Ahmed; Liu, Sifeng; EMERALD GROUP PUBLISHING LTD; Javed, Saad Ahmed; Javed, Saad Ahmed; Liu, Sifeng; Javed, Saad Ahmed; Javed, Saad Ahmed; Javed, Saad Ahmed; Javed, Saad Ahmed",2018,GREY SYSTEMS-THEORY AND APPLICATION,10.1108/GS-04-2018-0018,WOS:000445337700007,Peoples R China; Pakistan,"Purpose - The purpose of this paper is to analyse the relationship between outpatient satisfaction and the five constructs of healthcare projects' service quality in Pakistan using Deng's grey incidence analysis (GIA) model, absolute degree GIA model (ADGIA), a novel second synthetic degree GIA (SSDGIA) model and two approaches of decision-making under uncertainty.",69,0,Patient satisfaction; Grey relational analysis; Healthcare service quality; Healthcare system of Pakistan; Second synthetic degree grey incidence; PATIENT SATISFACTION; PERFORMANCE; PERCEPTIONS; HOSPITALS; SECTOR; MANAGEMENT; SYSTEM,Article
Case management service quality and patient-centered care,"Perera, Sandun; Dabney, Beverly Waller; EMERALD GROUP PUBLISHING LTD; Perera, Sandun; Dabney, Beverly Waller; Perera, Sandun; Dabney, Beverly",2020,JOURNAL OF HEALTH ORGANIZATION AND MANAGEMENT,10.1108/JHOM-12-2019-0347,WOS:000544316100001,USA,"Purpose Providing care that is patient-centered is an important objective in the modern healthcare industry. Despite this objective, hospital inpatient case managers and the services they provide are evaluated routinely without including patients' perspectives. Therefore, the purpose of this study is to fill this research gap by using patient expectations and perceptions to assess the overall quality of and patient satisfaction with hospital case management services. Design/methodology/approach This paper investigates five dimensions of case management services - reliability, responsiveness, assurance, empathy and tangibles - and how they affect overall quality and patient satisfaction. Study surveys are based on the SERVQUAL instrument. Survey data from a cross-sectional sample of 67 inpatients are analyzed using principal component analysis, confirmatory factor analysis, GAP analysis and a predictive model. Findings The preliminary part of the study identifies ""tangibles"" and ""nontangibles"" - reliability, responsiveness, assurance and empathy - as the main components. Among these two components, only nontangibles have a positive and significant effect on both quality and patient satisfaction according to patient perspectives. GAP analysis indicates that gaps between patient expectations and perceptions of reliability and assurance are significant. Finally, the proposed predictive model reveals that gaps in assurance have a significant impact on both overall quality and satisfaction, while gaps in empathy have a significant impact on satisfaction, but not overall quality. Originality/value Studies on service quality at the case manager level are limited. This study is the first in this domain to evaluate quality and satisfaction from the patient perspective.",0,0,Case management service quality; Patient-centered care; Customer satisfaction; Empirical (survey) research; EXPERIENTIAL QUALITY; MODEL; SCALE; IMPACT; SATISFACTION; PERCEPTIONS; INDICATORS; CRITERIA; RULES,Article
Quality gaps and priorities for improvement of healthcare service for patients with prolonged mechanical ventilation in the view of family,"Chang, Bao-Lin; Kao, Hsiu-O; Lin, Shwu-Jen; Yang, Shu-Hui; Kuo, Yao-Wen; Jerng, Jih-Shuin; ELSEVIER TAIWAN; Chang, Bao-Lin; Kao, Hsiu-O; Yang, Shu-Hui; Lin, Shwu-Jen; Kuo, Yao-Wen; Jerng, Jih-Shuin; Jerng, Jih-Shuin; Jerng, Jih-Shuin; JERNG, JIH-SHUIN; YANG, SHU HUI; Kuo, Yao-Wen",2019,JOURNAL OF THE FORMOSAN MEDICAL ASSOCIATION,10.1016/j.jfma.2018.09.019,WOS:000465446800011,Taiwan,Background: Little is known about the gaps between expectation and the perception of service quality in the care setting of prolonged mechanical ventilation (MV).,0,0,Respiratory care center; Service quality; Satisfaction; Gap; Expectation; Perception; OF-CARE; PERFORMANCE; MODEL; SATISFACTION; SCALE,Article
"Validating the relationship between service quality, patient sensitivity and experience towards medical applications using SERVQUAL","Malathi, A.; Jasim, K. Mohamed; ELSEVIER IRELAND LTD; Malathi, A.; Jasim, K. Mohamed; Jasim, K. Mohamed; Malathi, A; K, Mohamed Jasim",2022,INTERNATIONAL JOURNAL OF MEDICAL INFORMATICS,10.1016/j.ijmedinf.2022.104883,WOS:000875654700005,India,"Background: The quality of the patient experience has become one of the key pillars of service in the healthcare industry. Positive word-of-mouth, higher retention, and loyalty to healthcare providers are all influenced by a good and positive patient experience. This study was proposed to examine the relationship between service quality of medical apps, patient sensitivity, and patient experience.Methods: Data were gathered from a sample of 387 respondents utilising medical applications to access various services. A few standardised questionnaires, including SERVQUAL, were used to collect the data. Python pro-gramming was used to perform the collected data's structural equation modelling (SEM) analysis. Results: The findings show that there is a significant impact of service quality of medical apps on patient sensitivity and patient experience and also patient experience has a strong and positive relationship with patient sensitivity.Conclusion: The research results indicate that patients prioritised service quality factors like reliability, tangi-bility, empathy, responsiveness and assurance when selecting services from medical applications.",0,0,Medical applications (applications); Service quality; Patient experience; Patient sensitivity; HEALTH-CARE QUALITY; SELF-REPORTED ADHERENCE; MOBILE HEALTH; CULTURAL SENSITIVITY; CLINICAL EFFECTIVENESS; TECHNICAL QUALITY; OF-CARE; SATISFACTION; APPS; SCALE,Article
Healthcare Providers' Satisfaction with Implementation of Telemedicine in Ambulatory Care during COVID-19,"Althumairi, Arwa; AlHabib, Alaa Fathi; Alumran, Arwa; Alakrawi, Zahraa; MDPI; Althumairi, Arwa; AlHabib, Alaa Fathi; Alumran, Arwa; Alakrawi, Zahraa; Althumairi, Arwa; Alakrawi, Zahraa; Althumairi, Arwa; Althumairi, Arwa; Alumran, Arwa",2022,HEALTHCARE,10.3390/healthcare10071169,WOS:000831390900001,Saudi Arabia,"Introduction: Telemedicine has become a critical aspect of healthcare provision during the coronavirus pandemic (COVID-19). However, healthcare providers' utilization of and satisfaction with telemedicine technologies could have a significant impact on the quality of care provided to patients during COVID-19. The current study explores the key factors that could affect healthcare providers' satisfaction with telemedicine in ambulatory care during the pandemic. Objectives: This research study aims at identifying the factors that could influence the healthcare providers' satisfaction level with the use of telemedicine in ambulatory care services in Saudi Arabia during COVID 19. Methods: This is a descriptive quantitative cross-sectional study. The research team has utilized the Service Quality Model (SERVQUAL) to assess the healthcare providers' satisfaction with telemedicine in ambulatory care through a questionnaire that was adapted from previous studies. This questionnaire includes the following dimensions: tangibility, reliability, responsiveness, assurance, and empathy. It was distributed to all ambulatory care physicians in a public hospital-based ambulatory health center in Eastern Region, Saudi Arabia. Results: The study findings showed that Saudis are significantly more satisfied with telemedicine compared to non-Saudis. Age, gender, experience, medical specialty, and computer literacy skills were not found to have any significant effects on the level of the provider's satisfaction. Conclusion: This research provides new insight and understanding of the relationship between the frequent use of the health information system and the level of physician satisfaction. This major finding puts more emphasis on the importance of education and training when it comes to the adoption of telemedicine through the frequent use of health information systems and applications. These encouraging findings provide a vital piece of information for healthcare organizations interested in a further adoption of telemedicinal practices and applications.",0,0,telemedicine; physicians; satisfaction; ambulatory services; COVID-19; PERFORMANCE; TELEHEALTH,Article
ASSESSMENT OF THE QUALITY OF PUBLIC HOSPITAL HEALTHCARE SERVICES BY USING SERVQUAL,"Dosen, Durdana Ozretic; Skare, Vatroslav; Cerfalvi, Vesna; Bencekovic, Zeljka; Komarac, Tanja; SESTRE MILOSRDNICE UNIV HOSPITAL; Dosen, Durdana Ozretic; Skare, Vatroslav; Komarac, Tanja; Cerfalvi, Vesna; Bencekovic, Zeljka; Dosen, Durdana Ozretic; Ozretic-Dosen, Durdana; Komarac, Tanja",2020,ACTA CLINICA CROATICA,10.20471/acc.2020.59.02.12,WOS:000573980000011,Croatia,"Hospital healthcare service quality measurement represents an important approach for advancing healthcare systems. This paper presents preliminary results of a research on the quality of healthcare services provided by a large, public, university hospital centre in Croatia, based on the Gaps Model of Service Quality and the SERVQUAL instrument. The importance of particular service quality dimensions was analyzed, as well as the gaps between patient perceptions and expectations of healthcare services provided by 18 departments of the university hospital centre. Results revealed the gaps that exist at the level of the university hospital centre as a whole, showing the size variations in different service quality dimensions. The management of the university hospital centre should improve healthcare service quality in all dimensions by paying particular attention to the 'responsiveness' and 'tangibility', where the largest gap was identified.",0,0,"Service quality, Healthcare; Hospital; SERVQUAL; Transitional country; Developing country; Croatia; Sestre milosrdnice University Hospital Centre; PATIENTS SATISFACTION; PATIENT SATISFACTION; PERCEPTIONS",Article
"Is it an opportunity? COVID-19's effect on the green supply chains, and perceived service's quality (SERVQUAL): the moderate effect of big data analytics in the healthcare sector","Kholaif, Moustafa Mohamed Nazief Haggag Kotb; Xiao, Ming; SPRINGER HEIDELBERG; Kholaif, Moustafa Mohamed Nazief Haggag Kotb; Xiao, Ming; Kholaif, Moustafa Mohamed Nazief Haggag Kotb; xiao, ming; Kholaif, Moustafa; Kholaif, Moustafa",2023,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,10.1007/s11356-022-23173-8,WOS:000857809700005,Peoples R China,"This study examines the relationship between uncertainty-fear toward COVID-19, green supply chain management (GSCM), and perceived service quality based on the five dimensions service quality model (SERVQUAL). It also tests the moderating effect of big data analytics (BDA) capabilities. Based on a sample of 300 healthcare managers and customers, we used partial least squares structural equation modeling to analyze the data and test our hypotheses. The empirical results show that the uncertainty-fear toward COVID-19 positively affects GSCM. Also, BDA moderates the relationship between uncertainty-fear toward COVID-19 and GSCM. GSCM positively impacts service quality (empathy, responsiveness, and assurance) but not reliability or tangible items. In addition, GSCM significantly mediates the relationship between uncertainty-fear toward COVID-19 and services' empathy, responsiveness, and assurance. However, it has an insignificant mediation effect regarding reliability and tangible-item dimensions.",0,0,Uncertainty-fear; COVID-19; Green supply chain management; Big data analytics; Service quality model (SERVQUAL); PATIENT SATISFACTION; CONSUMER PERCEPTIONS; MANAGEMENT-PRACTICES; SUSTAINABILITY; PERSPECTIVE; MODEL; PERFORMANCE; PRESSURE; STRATEGY; EMPATHY,Article
