title,authors,year,journal,doi,uid,countries,abstract,citations,references,keywords,subtypeDescription
Patient-centered care and geriatric knowledge translation among healthcare providers in Vietnam: translation and validation of the patient-centered care measure,"Adetunji, Oluwarantimi; Bishai, David; Pham, Cuong Viet; Taylor, Janiece; Thi, Ngan Tran; Khan, Zainab; Bachani, Abdulgafoor M.; BMC; Adetunji, Oluwarantimi; Bishai, David; Khan, Zainab; Bachani, Abdulgafoor M.; Pham, Cuong Viet; Thi, Ngan Tran; Taylor, Janiece; Adetunji, Oluwarantimi; Pham V, Cuong; Pham, Cuong; Khan, Zainab; Bishai, David",2023,BMC HEALTH SERVICES RESEARCH,10.1186/s12913-023-09311-z,WOS:000988365000006,USA; Vietnam,"BackgroundPeople are living longer, and the majority of aging people reside in low- and middle-income countries (LMICs). However, inappropriate healthcare contributes to health disparities between populations of aging people and leads to care dependency and social isolation. Tools to assess and evaluate the effectiveness of quality improvement interventions for geriatric care in LMICs are limited. The aim of this study was to provide a validated and culturally relevant instrument to assess patient-centered care in Vietnam, where the population of aging people is growing rapidly.MethodsThe Patient-Centered Care (PCC) measure was translated from English to Vietnamese using forward-backward method. The PCC measure grouped activities into sub-domains of holistic, collaborative, and responsive care. A bilingual expert panel rated the cross-cultural relevance and translation equivalence of the instrument. We calculated Content Validity Indexing (CVI) scores at both the item (I-CVI) and scale (S-CVI/Ave) levels to evaluate the relevance of the Vietnamese PCC (VPCC) measure to geriatric care in the Vietnamese context. We piloted the translated instrument VPCC measure with 112 healthcare providers in Hanoi, Vietnam. Multiple logistic regression models were specified to test the a priori null hypothesis that geriatric knowledge is not different among healthcare providers with perception of high implementation compared with low implementation of PCC measures.ResultsOn the item level, all 20 questions had excellent validity ratings. The VPCC had excellent content validity (S-CVI/Ave of 0.96) and translation equivalence (TS- CVI/Ave of 0.94). In the pilot study, the highest-rated PCC elements were the holistic provision of information and collaborative care, while the lowest-rated elements were the holistic attendance to patients' needs and responsive care. Attention to the psychosocial needs of aging people and poor coordination of care within and beyond the health system were the lowest-rated PCC activities. After controlling for healthcare provider characteristics, the odds of the perception of high implementation of collaborative care were increased by 21% for each increase in geriatric knowledge score. We fail to reject the null hypotheses for holistic care, responsive care and PCC.ConclusionThe VPCC is a validated instrument that may be utilized to systemically evaluate the practice of patient-centered geriatric care in Vietnam.",0,0,Geriatrics; Aging; Nurses; Healthcare quality; Cross-cultural adaptation; Vietnam; Healthcare providers; Knowledge translation; Patient-centered care; Person-centered care; QUALITY-OF-CARE; CONTENT VALIDITY; IMPACT; SERVICES,Article
Commentary: Language barriers in medicine and the role of the pediatric dermatologist,"Maly, Nancy Cheng; WILEY; Maly, Nancy Cheng; Maly, Nancy Cheng; Maly, Nancy",2021,PEDIATRIC DERMATOLOGY,10.1111/pde.14696,WOS:000674077800001,USA,"Languages other than English represent an ever-growing component of the tapestry of the United States. Studies have shown that language barriers can impact access to care and quality of care, particularly in specialty clinics. Given the additional challenges faced by language interpretation in pediatric settings, the field of pediatric dermatology is uniquely positioned to contribute meaningfully to improving care for families with limited English proficiency.",0,0,communication barriers; cross-cultural comparison; culture; healthcare delivery; quality of life; SERVICES; IMPACT; CARE,Article
Valuing Your Patient's Opinion: Online Patient Reviews and Power Distance,"Yang, Alan; Liu, Caihua; Talaei-Khoei, Amir; Peng, Guochao; IGI GLOBAL; Yang, Alan; Talaei-Khoei, Amir; Liu, Caihua; Peng, Guochao; Yang, Alan",2023,JOURNAL OF GLOBAL INFORMATION MANAGEMENT,10.4018/JGIM.324520,WOS:001423954400001,USA; Peoples R China,"Online reviews have a continuing impact across all industries. Even industries with highly skilled workers are affected by online reviews, despite large gaps in experience and skill between reviewers and reviewees. The authors conducted a study amongst physicians in Nevada and China to measure the perception of online patient reviews from the perspective of healthcare providers to explore whether this skill gap affected the perception of online reviews. The authors distributed and collected survey responses from over 200 physicians and used structural equation modeling techniques to evaluate the relationships. These findings show that physician perception of online patient reviews is partially mediated by power distance, direct effects exist between the relationships identified in our model, and that cross-cultural effects are present between physician responses across Nevada and China. This study expands the existing work in the field of review evaluations by operationalizing socialpsychological distance into the construct of power distance within the context of healthcare.",0,0,Culture; Healthcare; Online Reviews; Power Distance; PHYSICIAN PERFORMANCE; LOCAL-GOVERNMENT; CONSUMER REVIEWS; DECISION-MAKING; CULTURAL-VALUES; SERVICE QUALITY; RATINGS; DETERMINANTS; SATISFACTION; HELPFULNESS,Article
"Treating black patients as ""knowers""","Thomas, Justin J.; Johnson, Shaneeta; Holden, Kisha B.; Hutchins, Sonja; NATL MED ASSOC; Thomas, Justin J.; Johnson, Shaneeta; Holden, Kisha B.; Hutchins, Sonja; Thomas, Justin J.; Thomas, Justin; Johnson, Shaneeta",2023,JOURNAL OF THE NATIONAL MEDICAL ASSOCIATION,10.1016/j.jnma.2023.09.012,WOS:001134447200001,USA,"Recent trends in healthcare policy from high-volume service models to ""high-value"" delivery systems have refocused the need for patient-centered approaches to quality care. However, benchmarks of how to define and evaluate successful patient-centeredness have not been sufficiently established. Such ill-defined evaluation criteria can further exacerbate systemic inequities in maximum quality health care delivery, especially based on the intersectional diversity of various patient populations. In this context, applying a phenomenology of medicine framework or perspective-driven analysis is useful in defining cross-cultural patient-centeredness. This reframing from a naturalistic or objective/biological viewpoint to a phenomenological viewpoint may aid in placing greater epistemic or knowledge authority in the hands of vulnerable and/or marginalized patients- allowing these patients to become key ""knowers"" in the clinical interaction. Moreover, treating Black patients as ""knowers"" emphasizes the prioritization of patient values at the core of providing valuable healthcare. Such an academic, policy, and clinical approach to medicine agrees with well-established principles of medical ethics. In addition, the framework of a phenomenology of medicine can better facilitate physician-patient communication and interaction by delineating often muddled hermeneutics.",0,0,Value-based healthcare; Health equity; Patient-centered healthcare; Phenomenology; healthcare; IMPLICIT BIAS; HEALTH; PHENOMENOLOGY; DISPARITIES; RACE,Review
The Birth Satisfaction Scale-Revised (BSS-R): process of translation and adaptation in an Italian context,"Nespoli, Antonella; Colciago, Elisabetta; Pedroni, Silvia; Perego, Sofia; Fumagalli, Simona; Istituto Superiore Sanita; Nespoli, Antonella; Colciago, Elisabetta; Pedroni, Silvia; Perego, Sofia; Fumagalli, Simona; Colciago, Elisabetta; Nespoli, Antonella; Nespoli, Antonella; COLCIAGO, Elisabetta; Fumagalli, Simona; fumagalli, simona",2018,ANNALI DELL ISTITUTO SUPERIORE DI SANITA,10.4415/ANN_18_04_11,WOS:000460616500011,Italy,Introduction. The Birth Satisfaction Scale-Revised (BSS-R) is a tool to assess women's childbirth satisfaction. The aim of this research was to achieve the cross-cultural and conceptual equivalence of the BSS-R tool in Italian.,0,0,birth satisfaction; assessment; birth satisfaction scale; quality of care; CHILDBIRTH EXPERIENCE; WOMENS EXPERIENCES; MATERNITY CARE; DEPRESSION; LABOR; EXPECTATIONS; PERCEPTIONS; DELIVERY; IMPACT,Article
Patient Safety Culture Analysis in Dental Hospital Using Dental Office Survey on Patient Safety Culture Questionnaire: A Cross-cultural Adaptation and Validation Study,"Arbianti, Kusuma; Amalia, Rosa; Hendrartini, Julita; Kuntjoro, Tjahjono; LIPPINCOTT WILLIAMS & WILKINS; Arbianti, Kusuma; Arbianti, Kusuma; Amalia, Rosa; Hendrartini, Julita; Kuntjoro, Tjahjono; Arbianti, Kusuma; Arbianti, Kusuma; Amalia, Rosa",2023,JOURNAL OF PATIENT SAFETY,10.1097/PTS.0000000000001153,WOS:001492661300012,Indonesia,"BackgroundThe culture of safety and patient safety management in dental practice lags compared with medical practice. Hospitals strive to pursue quality and safety of healthcare services, with evidence of patient safety incidents in medical practice demonstrating the importance of promoting a safety culture. Measuring patient safety culture is a necessary first step to improving safety culture in clinical settings. As a hospital, dental hospital should improve the quality and culture of patient safety. Thus, our objective was to conduct a cross-cultural adaptation of a US measure of dental office patient safety culture for use in Indonesian dental hospitals.MethodA cross-sectional study was conducted on 200 respondents at a dental hospital in Java, Indonesia. The first stage includes cultural adaptation and translation, followed by developing a questionnaire that was tested through expert agreement and analysis of validity and reliability using Spearman, Cronbach correlation coefficients, and correlation coefficients between classes. The Dental Office Survey on Patient Safety Culture consists of 58 items and 10 dimensions (overall perceptions of patient safety and quality, organizational learning, teamwork, staff training, work pressure and pace, management support for patient safety, office processes and standardization, communication about errors, communication openness, and patient care tracking/follow-up).ResultsA total of 200 respondents with a response rate of 61.5% and 77 invalid responses due to incomplete filling, so 123 respondents were analyzed. The validity test results on 38 question items from 10 dimensions, with a sign of 0.05%, 35 items are declared valid.ConclusionsThe Indonesian version of the Dental Office Survey on Patient Safety Culture shows good validity and good reliability and has the potential to be used to evaluate patient safety culture in dental hospitals in Indonesia.",0,0,patient safety; patient safety culture; dental hospital; DENTISTRY,Article
Cross-Cultural Compatibility and Psychometric Characteristics to Enhance Maternal Health during Pregnancy: Adapting the Prenatal Care Quality Questionnaire into Persian,"Shaghaghi, Fatemeh; Esmaily, Habibollah; Jamali, Jamshid; Latifnejad, Robab; Abedian, Zahra; Dubai Iranian Hosp; Shaghaghi, Fatemeh; Esmaily, Habibollah; Jamali, Jamshid; Latifnejad, Robab; Latifnejad, Robab; Abedian, Zahra; Abedian, Zahra; jamali, jamshid",2024,IRANIAN RED CRESCENT MEDICAL JOURNAL,N/A,WOS:001374309300001,Iran,"Background and Objectives: Ensuring the effectiveness and relevance of healthcare tools requires cultural adaptation. In the context of maternal health during pregnancy, evaluating prenatal care quality significantly impacts positive outcomes for both mothers and infants. The purpose to adapt the Prenatal Care Quality Questionnaire (QPCQ) into Persian was to assess its cross-cultural suitability and psychometric properties for expectant mothers' well-being during pregnancy. Methods: Following the original tool designer's translation protocol, we assessed the face validity qualitatively through cognitive interviews and evaluated content validity via an expert panel. Administered Persian version of QPCQ to 460 postpartum women with original designer's approval for construct validity assessment in a descriptive study. Confirmatory factor analysis and convergent validity were used for this purpose. Additionally, we calculated Cronbach's alpha and intraclass correlation coefficient to determine reliability. IBM SPSS Statistics 25 and IBM SPSS Amos 24 software were utilized for statistical computations. Results: The Cronbach's alpha index demonstrated high internal consistency (alpha = 0.95) among the scale items. Additionally, the intraclass correlation coefficient (ICC) was 0.93 (95% confidence interval: 0.86-0.97), indicating strong agreement between raters or measurements. Confirmatory factor analysis supported the model fit, with goodness-of-fit indices including chi 2/df = 1.421, GFI = 0.922, TLI/NNFI = 0.932, CFI = 0.914, and RMSEA = 0.052. Conclusion: The Persian adaptation of the Quality of Prenatal Care Questionnaire demonstrates exceptional quality, reliability, and validity in assessing the standard of prenatal care among women in Iran. Tailored to align with cultural nuances and practices, it serves as a suitable tool for evaluating prenatal care services.",0,0,Prenatal Care; Quality; Psychometrics; Reliability; Validity,Article
Design and evaluation of interprofessional cross-cultural communication sessions,"Liu, Min; Poirier, Therese; Butler, Lakesha; Comrie, Rhonda; Pailden, Junvie; TAYLOR & FRANCIS INC; Liu, Min; Poirier, Therese; Butler, Lakesha; Comrie, Rhonda; Pailden, Junvie; Liu, Min; Poirier, Therese; Pailden, Junvie",2015,JOURNAL OF INTERPROFESSIONAL CARE,10.3109/13561820.2015.1051215,WOS:000366450200018,USA,"The 2013 National Standards for Culturally and Linguistically Appropriate Services (CLAS) call for healthcare professionals to provide quality care and services that are responsive to diverse cultural health beliefs and practices. Accreditation organizations for health professional programs require their curriculum to adequately prepare future practitioners for serving culturally and linguistically diverse populations. Another common curricular need of health professional programs is interprofessional education (IPE). This study presents data that evaluates two IPE culturally competent communication sessions designed for pharmacy and nursing students. Teams of nursing and pharmacy students (n=160) engaged in case studies focused on developing cross-cultural communication skills, using the LEARN model. Quantitative survey data collected pre-test and post-test measured cultural competency (including subscales of perceived skills, perceived knowledge, confidence in encounter, and attitude) and knowledge related to culturally competent communication. Univariate ANOVA results indicate that actual knowledge as measured by the test and all four Clinical Cultural Competency Questionnaire (CCCQ) subscales significantly increased after the IPE sessions. Pharmacy students scored higher than nursing students on the knowledge pre-test, and nursing students had a more positive attitude at pre-test. The IPE sessions effectively addressed all learning outcomes and will continue in future course offerings. Using cross-cultural communication as a thematic area for IPE program development resulted in educational benefits for the students. To further strengthen nursing and pharmacy students' interprofessional practice, additional IPE opportunities are to be explored.",0,0,Communication; diversity; evaluation; interprofessional education; research; EDUCATION; COMPETENCE,Article
Exploring South Asian women ' s perspectives and experiences of maternity care services: A qualitative evidence synthesis,"Nagesh, Nitya; Ip, Caroline Hoi Lam; Li, Junyan; Fan, Heidi Sze Lok; Chai, Hung Sze; Fan, Yingwei; Wong, Janet Y. H.; Fong, Daniel Y. T.; Lok, Kris Yuet-Wan; ELSEVIER; Nagesh, Nitya; Ip, Caroline Hoi Lam; Li, Junyan; Chai, Hung Sze; Fan, Yingwei; Fong, Daniel Y. T.; Lok, Kris Yuet-Wan; Fan, Heidi Sze Lok; Wong, Janet Y. H.; Lok, Kris Yuet-Wan; Lok, Kris Yuet-Wan; Wong, Janet; Fan, Heidi; Ip, Hoi Lam; Lok, Kris Yuet Wan; Lok, Kris; Fong, Daniel; Fan, Heidi Sze Lok; Hung, Sze Chai; Fan, Yingwei",2024,WOMEN AND BIRTH,10.1016/j.wombi.2023.12.002,WOS:001225773600001,Peoples R China; Canada,"Background: The United Nations Women and other sources have highlighted the poor maternal and neonatal care experienced by South Asian women, emphasizing the need to understand the cultural factors and specific experiences that influence their health-seeking behavior. This understanding is crucial for achieving health equity and improving health outcomes for women and infants. Objectives: This study aims to examine and synthesize qualitative evidence on the perspectives and experiences of South Asian women regarding maternity care services in destination countries. Methods: A systematic review was conducted using the Joanna Briggs Institute's approach. Eight databases were searched for studies capturing the qualitative views and experiences of South Asian women - Medline, EMBASE, CINAHL Plus, Global Health, Scopus, PsycInfo, British Nursing Index and the Applied Social Science Index and Abstracts. Qualitative and mixed method studies written in English are included. The methodological quality of the included studies was assessed using the JBI's QARI checklist for qualitative studies and the MMAT checklist for mixed-methods studies. Results: Fourteen studies, including twelve qualitative and two mixed-methods studies, were identified and found to be of high methodological quality. The overarching theme that emerged was ""navigating cross-cultural maternity care experiences."" This theme encapsulates the challenges and complexities faced by South Asian women in destination countries, including ethnocultural and religious differences, communication and language barriers, understanding different medical systems, and the impact of migration on their maternity care experiences. Conclusions: South Asian migrant women often have expectations that differ from the services provided in destination countries, leading to challenges in their social relationships. Communication and language barriers pose additional obstacles that can be addressed through strategies promoting better communication and culturally sensitive care. To enhance the utilization of maternity healthcare services, it is important to address these factors and provide personalized, culturally sensitive care for South Asian migrant women.",0,0,South Asian women; Maternity care services; Migration; Cultural differences; Religious differences; Healthcare system; PAKISTANI WOMEN; PREGNANCY; CHALLENGES,Article
Typology of Healthcare Interpreter Positionings as applied to family medicine,"De Cotret, Francois Rene; Leanza, Yvan; ELSEVIER IRELAND LTD; De Cotret, Francois Rene; Leanza, Yvan; Leanza, Yvan; Leanza, Yvan",2023,PATIENT EDUCATION AND COUNSELING,10.1016/j.pec.2023.107773,WOS:000999759900001,Canada,"Interpreters facilitate cross-cultural communication, particularly in health care systems where treatment is provided to patients who do not speak the institution language. The effectiveness of the process depends, among other things, on the ability of the interpreter and the clinician to collaborate, which the Typology of Healthcare Interpreter Positionings is intended to facilitate. Objectives: The primary purpose of this study was to assess the potential applicability of the Typology, previously tested in mental health settings, to a family medicine setting. The secondary objective was to verify the complementarity of the concept of interpreter stance. Method: A deductive thematic analysis and co-occurrence analyses were conducted following focus groups with 89 expe-rienced and trainee family physicians. Results: The potential of the Typology for family physicians was confirmed. Although the concept of stance was found to be complementary, it could not be integrated directly into the Typology. Conclusions: The Typology is applicable in both family medicine and mental health settings. The Typology provides conceptual guidance that the clinician and interpreter can use with confidence to deepen their collaboration.",0,0,HCIP Typology; Public service interpreting; Neutrality; Interpreter stances; Health care; COMMUNICATION; QUALITY; WORKING; ROLES,Article
