title,authors,year,journal,doi,uid,countries,abstract,citations,references,keywords,subtypeDescription
Expert Consensus on Currently Accepted Measures of Harm,"Logan, Merranda S.; Myers, Laura C.; Salmasian, Hojjat; Levine, David Michael; Roy, Christopher G.; Reynolds, Mark E.; Sato, Luke; Keohane, Carol; Frits, Michelle L.; Volk, Lynn A.; Akindele, Ruth N.; Randazza, Juliette M.; Dulgarian, Sevan M.; Shahian, David M.; Bates, David Westfall; Mort, Elizabeth; LIPPINCOTT WILLIAMS & WILKINS; Logan, Merranda S.; Logan, Merranda S.; Myers, Laura C.; Shahian, David M.; Mort, Elizabeth; Logan, Merranda S.; Myers, Laura C.; Salmasian, Hojjat; Levine, David Michael; Roy, Christopher G.; Sato, Luke; Shahian, David M.; Bates, David Westfall; Myers, Laura C.; Salmasian, Hojjat; Levine, David Michael; Frits, Michelle L.; Akindele, Ruth N.; Randazza, Juliette M.; Dulgarian, Sevan M.; Bates, David Westfall; Roy, Christopher G.; Reynolds, Mark E.; Sato, Luke; Keohane, Carol; Volk, Lynn A.; Bates, David Westfall; Shahian, David M.; Bates, David Westfall; Mort, Elizabeth; Mort, Elizabeth; Logan, Merranda S.; Roy, Christopher; Roy, Christopher; Levine, David; Bates, David",2021,JOURNAL OF PATIENT SAFETY,10.1097/PTS.0000000000000754,WOS:000723781400144,USA; England,"Background Twenty-five years after the seminal work of the Harvard Medical Practice Study, the numbers and specific types of health care measures of harm have evolved and expanded. Using the World Cafe method to derive expert consensus, we sought to generate a contemporary list of triggers and adverse event measures that could be used for chart review to determine the current incidence of inpatient and outpatient adverse events. Methods We held a modified World Cafe event in March 2018, during which content experts were divided into 10 tables by clinical domain. After a focused discussion of a prepopulated list of literature-based triggers and measures relevant to that domain, they were asked to rate each measure on clinical importance and suitability for chart review and electronic extraction (very low, low, medium, high, very high). Results Seventy-one experts from 9 diverse institutions attended (primary acceptance rate, 72%). Of 525 total triggers and measures, 67% of 391 measures and 46% of 134 triggers were deemed to have high or very high clinical importance. For those triggers and measures with high or very high clinical importance, 218 overall were deemed to be highly amenable to chart review and 198 overall were deemed to be suitable for electronic surveillance. Conclusions The World Cafe method effectively prioritized measures/triggers of high clinical importance including those that can be used in chart review, which is considered the gold standard. A future goal is to validate these measures using electronic surveillance mechanisms to decrease the need for chart review.",0,0,patient safety; implementation; patient safety culture; coincidence analysis; primary care; patient-centered medical home; ADVERSE EVENTS; HOSPITALIZED-PATIENTS; PATIENT SAFETY; QUALITY; PROGRAM; ERRORS; SYSTEM; RISK,Article
"A qualitative exploration of the uses of the International Classification of Functioning, Disability and Health at an inpatient neurorehabilitation facility in the Western Cape, South Africa","Hall, Rehan; Visagie, Surona; TAYLOR & FRANCIS LTD; Hall, Rehan; Visagie, Surona; Hall, Rehan",2022,DISABILITY AND REHABILITATION,10.1080/09638288.2020.1773943,WOS:000544028800001,South Africa,"Purpose of the study:The aim of the study was to describe how healthcare professionals at a neurorehabilitation facility currently use the International Classification of Functioning, Disability and Health (ICF) and to identify further possibilities for its future use. Methods:The study followed an interpretive description approach. Data were collected through four focus group discussions with 21 participants, all health care practitioners, at the study facility. Thematic analysis was conducted by coding the transcripts and generating themes. Findings:Three themes were generated: (1) Current use and gaps in use of the ICF, (2) a non-conducive environment and (3) using the ICF to facilitate holistic, patient-centred management. Current use of the ICF was limited. Gaps in use of the ICF was especially evident in goal setting practices. Goals were generic in nature and did not address participation and the environment. A lack of knowledge, debilitating interpersonal relationships and an unsupportive organisational culture created an environment non-conducive to the implementation of the ICF. Participants felt that the ICF can assist them to work more patient-centred. Conclusion:Participants perceived that the ICF has the potential to improve service delivery at the facility. The implementation process must be well structured, focus on practical use and be supported through an enabling environment created by management.",0,0,International classification of functioning; neurorehabilitation; interdisciplinary team; implementation; disability; ICF; REHABILITATION; IMPLEMENTATION; PERSPECTIVE; COMMUNITY; FRAMEWORK; EDUCATION,Article
New Microbiological Techniques for the Diagnosis of Bacterial Infections and Sepsis in ICU Including Point of Care,"Peri, Anna Maria; Stewart, Adam; Hume, Anna; Irwin, Adam; Harris, Patrick N. A.; SPRINGER; Peri, Anna Maria; Stewart, Adam; Irwin, Adam; Harris, Patrick N. A.; Stewart, Adam; Hume, Anna; Hume, Anna; Harris, Patrick N. A.; Irwin, Adam; Harris, Patrick N. A.; Harris, Patrick N. A.; Harris, Patrick; Peri, Anna Maria; Stewart, Adam; Irwin, Adam",2021,CURRENT INFECTIOUS DISEASE REPORTS,10.1007/s11908-021-00755-0,WOS:000662216700001,Australia,"Purpose of Review The aim of this article is to review current and emerging microbiological techniques that support the rapid diagnosis of bacterial infections in critically ill patients, including their performance, strengths and pitfalls, as well as available data evaluating their clinical impact. Recent Findings Bacterial infections and sepsis are responsible for significant morbidity and mortality in patients admitted to the intensive care unit and their management is further complicated by the increase in the global burden of antimicrobial resistance. In this setting, new diagnostic methods able to overcome the limits of traditional microbiology in terms of turn-around time and accuracy are highly warranted. We discuss the following broad themes: optimisation of existing culture-based methodologies, rapid antigen detection, nucleic acid detection (including multiplex PCR assays and microarrays), sepsis biomarkers, novel methods of pathogen detection (e.g. T2 magnetic resonance) and susceptibility testing (e.g. morphokinetic cellular analysis) and the application of direct metagenomics on clinical samples. The assessment of the host response through new ""omics"" technologies might also aid in early diagnosis of infections, as well as define non-infectious inflammatory states. Despite being a promising field, there is still scarce evidence about the real-life impact of these assays on patient management. A common finding of available studies is that the performance of rapid diagnostic strategies highly depends on whether they are integrated within active antimicrobial stewardship programs. Assessing the impact of these emerging diagnostic methods through patient-centred clinical outcomes is a complex challenge for which large and well-designed studies are awaited.",4,0,Rapid diagnostics; Bloodstream infection; Sepsis; Antimicrobial resistance; Critical care; BLOOD-STREAM INFECTIONS; RAPID IDENTIFICATION; BACT/ALERT VIRTUO; ACCELERATE PHENO; CULTURE-SYSTEMS; PATHOGEN IDENTIFICATION; STAPHYLOCOCCUS-AUREUS; CLINICAL IMPACT; PNA-FISH; TIME,Review
Sustainable Adoption of Digital Health Innovations: Perspectives From a Stakeholder Workshop,"Van Velthoven, Michelle Helena; Cordon, Carlos; JMIR PUBLICATIONS, INC; Van Velthoven, Michelle Helena; Cordon, Carlos; Van Velthoven, Michelle Helena; Cordon, Carlos; van Velthoven, Michelle; van Velthoven, Michelle Helena; Cordon, Carlos",2019,JOURNAL OF MEDICAL INTERNET RESEARCH,10.2196/11922,WOS:000462274900001,England; Switzerland,Background: There are various complex reasons that influence sustainable adoption of innovations in health care systems. Low adoption can be caused by a lack of support from one or more stakeholders because their needs and expectations are not always considered or aligned.,0,0,adoption; digital health; stakeholders; telemedicine; TECHNOLOGIES; INFORMATION; MOBILE; CARE,Article
Ricoeur's narrative philosophy: A source of inspiration in critical hermeneutic health research,"Missel, Malene; Birkelund, Regner; WILEY; Missel, Malene; Birkelund, Regner; Birkelund, Regner; Missel, Malene; Missel, Malene; Missel, Malene",2020,NURSING PHILOSOPHY,10.1111/nup.12254,WOS:000525314300004,Denmark,"Patient-centred care has gained ground in health service following a health policy initiative aimed at changing the paternalistic culture towards one with more patient involvement. Development of knowledge relating to people's lived experiences of illness is important in this context. Literature in the field of health science describes methods for exploring what is at stake for people affected by illness, and the French philosopher Paul Ricoeur has been a significant source of inspiration. Especially, Ricoeur's interpretation theory has been construed and applied in different, often schematic, methodological variations, whereas his narrative philosophy is a little used source of inspiration. Health science has been characterized by a biomedical awareness of method and the idea that there is a direct and immediate path to patients' experiences, a viewpoint that can be traced back to Descartes and the philosophy of subjectivism. Opposed to Descartes, Ricoeur says that we are already embedded in a world of traditions and meanings over which we have no control. According to Ricoeur, we leave traces when we express ourselves, and traces are formed by the world of meanings and traditions to which we belong. Often, the sense in the traces is hidden, making it impossible to directly understand individual's experiences. Reflection on an individual's lived experiences must take place via the narratives in which the individual expresses themselves. The centrepiece of Ricoeur's narrative philosophy is the threefold mimesis, which is an approach to understanding the meaning of peoples' lived experiences. The philosophical hermeneutics of Gadamer plays an important role in Ricoeur's theory of interpretation, although he has criticized Gadamer for failing to include one dimension in his philosophy; he finds this dimension in Habermas' ideology critique. Ricoeur's ideology critique is absent in health science research, which is why it has been made a focal point in this article.",0,0,care; narratives; nursing; qualitative research; Ricoeur,Article
Managing Uncertainty During the Communication of Diagnostic Test Information Between Patients and Clinicians in Australian Emergency Care,"Miao, Melissa; Dahm, Maria R.; Li, Julie; Thomas, Judith; Georgiou, Andrew; SAGE PUBLICATIONS INC; Miao, Melissa; Dahm, Maria R.; Li, Julie; Thomas, Judith; Georgiou, Andrew; Miao, Melissa; Dahm, Maria R.; Miao, Melissa; Georgiou, Andrew; Dahm, Maria; Miao, Melissa; Thomas, Judith; Miao, Melissa; Georgiou, Andrew; Dahm, Maria",2020,QUALITATIVE HEALTH RESEARCH,10.1177/1049732320913037,WOS:000523916000001,Australia,"We sought (a) an inductive understanding of patient and clinician perspectives and experiences of the communication of diagnostic test information and (b) a normative understanding of the management of uncertainty that occurs during the clinical encounter in emergency care. Between 2016 and 2018, 58 interviews were conducted with patients and nursing, medical, and managerial staff. Interview data were sequentially analyzed through an inductive thematic analysis, then a normative theory of uncertainty management. Themes of ""Ideals,"" ""Service Efficiency,"" and ""Managing Uncertainty"" were inductively identified as influencing the communication of diagnostic test information. A normative theory of uncertainty management highlighted (a) how these themes reflected the interaction's sociocultural context, encapsulated various criteria by which clinicians and patients evaluated the appropriateness and effectiveness of their communication, and represented competing goals during the clinical encounter, and (b) how systemic tensions between themes accounted for when diagnostic test information communication occurred, was deferred or avoided.",0,0,qualitative methods; research design; thematic analysis; research strategies; interviews; Australia; Australians; uncertainty; doctor-patient; nurse-patient; communication; theory development; methodology; patient safety; decision-making; health informatics; hospitals; culture; diagnosis; health care; patient-centred care; medical education; emergency care; MANAGEMENT; ERRORS,Article
"How to improve healthcare? Identify, nurture and embed individuals and teams with ""deep smarts""","Eljiz, Kathy; Greenfield, David; Molineux, John; Sloan, Terry; EMERALD GROUP PUBLISHING LTD; Eljiz, Kathy; Greenfield, David; Molineux, John; Sloan, Terry; Eljiz, Kathy; Greenfield, Diana; Sloan, Terry; Greenfield, David",2018,JOURNAL OF HEALTH ORGANIZATION AND MANAGEMENT,10.1108/JHOM-09-2017-0244,WOS:000426781800010,Australia,"Purpose Unlocking and transferring skills and capabilities in individuals to the teams they work within, and across, is the key to positive organisational development and improved patient care. Using the deep smarts model, the purpose of this paper is to examine these issues.",0,0,Healthcare; Knowledge translation; Deep smarts; Organizational improvement; CAPABILITY; CULTURE; EMPOWERMENT; PERFORMANCE; NETWORKS; BARRIERS,Article
"The Influence of Diverse Cultures on Nutrition, Diabetes Management and Patient Education","Shapiro, Jessica; Grajower, Martin M.; MDPI; Shapiro, Jessica; Grajower, Martin M.; Grajower, Martin M.; Grajower, Martin M.; Grajower, Martin M.; grajower, martin; grajower, martin",2024,NUTRIENTS,10.3390/nu16213771,WOS:001351765500001,USA,"Background/Objectives: Providing relevant, patient-centered care starts with recognizing that patients living with diabetes are racially and ethnically diverse, which will influence their dietary behaviors. Methods: The authors draw upon literature descriptions and personal experience in clinical practice dealing with ethnically diverse populations and include guidance offered in the literature regarding how to address these unique aspects when managing and educating patients with diabetes. Results: Proper interviewing techniques are described when dealing with culturally diverse populations, including ascertaining cultural, religious, and ethnic influences on dietary choices, and advice is given on how to improve nutritional behavior in these patients while acknowledging and validating these influences. Conclusions: When a proper nutrition interview is conducted, such as using motivational interviewing, aspects of the patient's cultural, religious, ethnic, and other influences can be ascertained, and appropriate advice can be given to the patient on how to modify these influences to achieve a healthier nutritional behavior.",0,0,nutrition; diabetes; cultural foods; plate method; motivational interviewing; religious observances; diabetes education,Review
Healthcare delivery gaps in pain management within the first 3 months after discharge from inpatient noncardiac surgeries: a scoping review,"Ke, Janny X. C.; de Vos, Maya; Kojic, Katarina; Hwang, Mark; Park, Jason; Stuart, Heather; Osborn, Jill; Flexman, Alana; Blake, Lindsay; Mcisaac, Daniel I.; ELSEVIER SCI LTD; Ke, Janny X. C.; Kojic, Katarina; Osborn, Jill; Flexman, Alana; Ke, Janny X. C.; de Vos, Maya; Kojic, Katarina; Osborn, Jill; Flexman, Alana; Ke, Janny X. C.; Hwang, Mark; Park, Jason; Stuart, Heather; Park, Jason; Stuart, Heather; Blake, Lindsay; Mcisaac, Daniel I.; Ke, Janny X. C.; Ke, Janny X. C.; Ke, Janny X. C.; Blake, Lindsay; Blake, Lindsay; Ke, Janny Xue Chen; Flexman, Alana; Hwang, Mark",2023,BRITISH JOURNAL OF ANAESTHESIA,10.1016/j.bja.2023.08.006,WOS:001093344000001,Canada; USA,"Background: Poor pain control during the postoperative period has negative implications for recovery, and is a critical risk factor for development of persistent postsurgical pain. The aim of this scoping review is to identify gaps in healthcare delivery that patients undergoing inpatient noncardiac surgeries experience in pain management while recovering at home.",0,0,gaps in care; health delivery; pain management; persistent postsurgical pain; post-discharge; postoperative pain; transitional pain service; CHRONIC POSTSURGICAL PAIN; POSTOPERATIVE PAIN; REGIONAL ANESTHESIA; PERIOPERATIVE PAIN; PATIENT; QUALITY; HIP; ARTHROPLASTY; PRESCRIPTION; CONTINUITY,Review
Initial Concurrent and Convergent Validity of the Perceived Access Inventory (PAI) for Mental Health Services,"Pyne, Jeffrey M.; Kelly, P. Adam; Fischer, Ellen P.; Miller, Christopher J.; Connolly, Samantha L.; Wright, Patricia; Zamora, Kara; Koenig, Christopher J.; Seal, Karen H.; Fortney, John C.; EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC; Pyne, Jeffrey M.; Fischer, Ellen P.; Pyne, Jeffrey M.; Fischer, Ellen P.; Kelly, P. Adam; Kelly, P. Adam; Miller, Christopher J.; Connolly, Samantha L.; Miller, Christopher J.; Connolly, Samantha L.; Wright, Patricia; Zamora, Kara; Seal, Karen H.; Zamora, Kara; Koenig, Christopher J.; Koenig, Christopher J.; Fortney, John C.; Fortney, John C.; Pyne, Jeffrey M.; Miller, Christopher; Koenig, Christopher J.; Zamora, Kara; Pyne, Jeffrey; Koenig, Christopher; Connolly, Samantha; Miller, Christopher",2022,PSYCHOLOGICAL SERVICES,10.1037/ser0000504,WOS:000811744000026,USA,"Access to high-quality health care, including mental health care, remains a high priority for the Department of Veterans Affairs and civilian health care systems. Increased access to mental health care is associated with improved outcomes, including decreased suicidal behavior. Multiple policy changes and interventions are being developed and implemented to improve access to mental health care. The Perceived Access Inventory (PAI) is a patient-centered questionnaire developed to understand the veteran perspective about access to mental health services. The PAI is a self-report measure that includes 43 items across 5 domains: Logistics (6 items), Culture (4 items), Digital (9 items), Systems of Care (13 items), and Experiences of Care (11 items). This article is a preliminary examination of the concurrent and convergent validity of the PAI with respect to the Hoge Perceived Barriers to Seeking Mental Health Services scale (concurrent) and the Client Satisfaction Questionnaire (CSQ; convergent). Telephone interviews were conducted with veterans from 3 geographic regions. Eligibility criteria included screening positive for posttraumatic stress disorder, alcohol use disorder, or depression in the past 12 months. Data from 92 veterans were analyzed using correlation matrices. PAI scores were significantly correlated with the Hoge total score (concurrent validity) and CSQ scores (convergent validity). The PAI items with the strongest correlation with CSQ were in the Systems of Care domain and the weakest were in the Logistics domain. Future efforts will evaluate validity using larger data sets and utilize the PAI to develop and test interventions to improve access to care.",0,0,access; mental health; veterans; validation; VETERANS; BARRIERS; CARE,Article
