title,authors,year,journal,doi,uid,countries,abstract,citations,references,keywords,subtypeDescription
The challenge of cultural competence in the workplace: perspectives of healthcare providers,"Shepherd, Stephane M.; Willis-Esqueda, Cynthia; Newton, Danielle; Sivasubramaniam, Diane; Paradies, Yin; BMC; Shepherd, Stephane M.; Willis-Esqueda, Cynthia; Newton, Danielle; Sivasubramaniam, Diane; Paradies, Yin; Shepherd, Stephane M.; Sivasubramaniam, Diane; Newton, Danielle; Shepherd, Stephane",2019,BMC HEALTH SERVICES RESEARCH,10.1186/s12913-019-3959-7,WOS:000459867000002,Australia; USA,"BackgroundCross-cultural educational initiatives for professionals are now commonplace across a variety of sectors including health care. A growing number of studies have attempted to explore the utility of such initiatives on workplace behaviors and client outcomes. Yet few studies have explored how professionals perceive cross-cultural educational models (e.g., cultural awareness, cultural competence) and the extent to which they (and their organizations) execute the principles in practice. In response, this study aimed to explore the general perspectives of health care professionals on culturally competent care, their experiences working with multi-cultural patients, their own levels of cultural competence and the extent to which they believe their workplaces address cross-cultural challenges.MethodsThe perspectives and experiences of a sample of 56 health care professionals across several health care systems from a Mid-Western state in the United States were sourced via a 19-item questionnaire. The questionnaire comprised both open-ended questions and multiple choice items. Percentages across participant responses were calculated for multiple choice items. A thematic analysis of open-ended responses was undertaken to identify dominant themes.ResultsParticipants largely expressed confidence in their ability to meet the needs of multi-cultural clientele despite almost half the sample not having undergone formal cross-cultural training. The majority of the sample appeared to view cross-cultural education from a cultural awareness' perspective - effective cross-cultural care was often defined in terms of possessing useful cultural knowledge (e.g., norms and customs) and facilitating communication (the use of interpreters); in other words, from an immediate practical standpoint. The principles of systemic cross-cultural approaches (e.g., cultural competence, cultural safety) such as a recognition of racism, power imbalances, entrenched majority culture biases and the need for self-reflexivity (awareness of one's own prejudices) were scarcely acknowledged by study participants.ConclusionsFindings indicate a need for interventions that acknowledge the value of cultural awareness-based approaches, while also exploring the utility of more comprehensive cultural competence and safety approaches.",32,0,Cultural competence; Cultural safety; Cultural humility; Diversity training; Public health; PATIENT PERCEPTIONS; PHYSICIAN; INTERVENTIONS; COMMUNICATION; FORMULATION; DISPARITIES; OUTCOMES; WORKERS; REDUCE; SAFETY,Article
South Asian patients' perceptions and experiences of compassion in healthcare,"Singh, Pavneet; King-Shier, Kathryn; Sinclair, Shane; ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD; Singh, Pavneet; King-Shier, Kathryn; Sinclair, Shane; Singh, Pavneet; Sinclair, Shane; King-Shier, Kathryn; Sinclair, Shane; Sinclair, Shane; Sinclair, Shane",2020,ETHNICITY & HEALTH,10.1080/13557858.2020.1722068,WOS:000513463600001,Canada,"Background: South Asians are one of the fastest growing ethnic populations in Western countries. Accordingly, providing culturally sensitive healthcare to South Asians is becoming increasingly important. Compassion is a key component of quality healthcare and is central to bridging ethnic and cultural differences between patients and their healthcare providers (HCP). Objective: We aimed to identify and describe the perspectives, experiences, importance, and impact of compassion among South Asian patients. Methods: Straussian grounded theory was used to examine the perspectives of South Asians patients who had recent experience(s) with the Canadian healthcare system. A convenience sample of 19 South Asian participants underwent semi-structured audio-recorded interviews in either English, Hindi, or Punjabi. Transcribed interview data were analyzed using constant comparison. Results: Three categories were generated from the data: (1) South Asians' understandings of compassion, (2) HCPs' cultural sensitivity as an indicator of compassion, and (3) enhancing compassion: importance and patient recommendations for overcoming barriers to compassion. The first category included themes exploring South Asian patients' perspectives of compassion. The second category was divided into themes which examined how delivery and receipt of compassion can be influenced by ethnic and cultural differences between patients and HCPs. The third category consisted of themes highlighting participants' views on the importance of compassion, recommendations for overcoming language and cultural barriers to providing compassion, and the role of compassion in bridging language, culture and ethnic differences between patients and HCPs. Conclusion: Compassion was described as a universal concept that is interpreted through the cultural and ethnic background of the recipient and provider in the way it is perceived, enacted, and received. This information can aid HCP to modulate compassion to South Asian patients and may provide a foundation for future studies on compassion within other cultural groups.",15,0,South Asians; culturally-sensitive care; compassion; compassionate care; PALLIATIVE CARE; NURSING-CARE; OF-LIFE; SATISFACTION; SIMILARITIES; PERSPECTIVE; RECIPROCITY; BARRIERS; CULTURES; DIGNITY,Article
The challenges of male nurses in the care of female patients in Iran,"Vatandost, S.; Oshvandi, K.; Ahmadi, F.; Cheraghi, F.; WILEY; Vatandost, S.; Oshvandi, K.; Ahmadi, F.; Cheraghi, F.; Cheraghi, F.; VATANDOST, SALAM; oshvandi, khodayar; Cheraghi, Fatemeh",2020,INTERNATIONAL NURSING REVIEW,10.1111/inr.12582,WOS:000527047000001,Iran,"Background Nurses professional duty mean that nurses must care for patients without gender discrimination. Meanwhile, the intrinsic differences between men and women and the need for personal contact with the patients during care procedures can create challenges for male nurses in the process of caring for a female patient.",14,0,Challenges; Content Analysis; Female Patients; Iran; Male Nurses; Nurses; Opposite Gender; Qualitative Research; CULTURAL COMPETENCE; NURSING-STUDENTS; ATTITUDES; CODE,Article
Cultural Competence and Cultural Intelligence of Healthcare Professionals Providing Emergency Medical Services,"Majda, Anna; Bodys-Cupak, Iwona Elzbieta; Zalewska-Puchala, Joanna; Barzykowski, Krystian; MDPI; Majda, Anna; Bodys-Cupak, Iwona Elzbieta; Zalewska-Puchala, Joanna; Barzykowski, Krystian; Bodys-Cupak, Iwona Elzbieta; Bodys-Cupak, Iwona; Barzykowski, Krystian; Barzykowski, Krystian; Majda, Anna",2021,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,10.3390/ijerph182111547,WOS:000726984300001,Poland,"Background: There are more and more foreigners in Poland who become clients of the Polish healthcare system. They use, among others, emergency medical services provided by healthcare professionals: doctors, nurses, and paramedics. Skillful care for culturally different patients requires cultural competencies and cultural intelligence to ensure good quality of care and cultural safety. The study aimed to measure and assess the cultural competencies and cultural intelligence of medical professionals working in hospital emergency departments (HEDs) and hospital emergency rooms (HERs) in Malopolska, a region in southern Poland. Methods: The following questionnaires were used in the study: the Cross-Cultural Competence Inventory (CCCI), the Cultural Intelligence Scale (CQS), and Questionnaire on Attitudes Towards Culturally Divergent People. In total, 709 medical professionals participated in the study, including 363 nurses, 223 paramedics, and 123 doctors. Results: Cultural intelligence-the overall score and the scores on the metacognitive, cognitive, motivational, and behavioral subscales were significantly higher among HED and HER doctors. Cultural competencies-the overall score and the score on the cultural adaptation subscale were also significantly higher among HED and HER doctors. The CCCI and CQS scores were influenced by selected variables: taking care of and close interactions with representatives of other cultural circles; staying outside Poland for more than a month. Doctors were the group of medical professionals that were most tolerant and most positive towards people from other cultures. Conclusions: The research results confirm the positive impact of contact of medical professionals with people from other cultures on their cultural competencies and cultural intelligence. They indicate the need for training in acquiring cultural competencies and developing cultural intelligence, especially among nurses. They demonstrate the need to raise awareness among HED and HER medical professionals about issues in intercultural care and to increase diversity efforts, especially among nurses.",13,0,healthcare providers/healthcare professionals; emergency medical system; cultural competence; cultural intelligence; MODEL,Article
Crossing cultural divides: A qualitative systematic review of factors influencing the provision of healthcare related to female genital mutilation from the perspective of health professionals,"Evans, Catrin; Tweheyo, Ritah; McGarry, Julie; Eldridge, Jeanette; Albert, Juliet; Nkoyo, Valentine; Higginbottom, Gina; PUBLIC LIBRARY SCIENCE; Evans, Catrin; Tweheyo, Ritah; McGarry, Julie; Higginbottom, Gina; Eldridge, Jeanette; Albert, Juliet; Nkoyo, Valentine; Evans, Catrin; McGarry, Julie; albert, juliet; Evans, Catrin; Evans, Catrin; Albert, Juliet",2019,PLOS ONE,10.1371/journal.pone.0211829,WOS:000460371700006,England,Introduction,7,0,AUSTRALIAN MIDWIVES KNOWLEDGE; OBSTETRIC CARE; TRAINING NEEDS; WOMEN; EXPERIENCES; SERVICES; SOMALI; IMPACT; DEINFIBULATION; CONSEQUENCES,Review
"Influence of Risk of Drug-Drug Interactions and Time Availability on Patient Trust, Satisfaction, and Cooperation with Clinical Pharmacists","Chou, Ying-Chyi; Van Thac Dang; Yen, Hsin-Yi; Lai, Kuan-Ming; MDPI; Chou, Ying-Chyi; Van Thac Dang; Yen, Hsin-Yi; Lai, Kuan-Ming; Van Thac Dang; Dang, Van Thac; Dang-Van, Thac",2019,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,10.3390/ijerph16091566,WOS:000469517300091,Taiwan; Peoples R China,"Patients with multiple diseases requiring several medications often face the risk of drug-drug interactions (DDIs). Such patients need more care and services from clinical pharmacists. Given the importance of this issue in clinical medicine, the present study aims to investigate how DDIs and time availability affect patient trust in clinical pharmacists and how patient trust influences patient satisfaction and cooperation between patients and clinical pharmacists. Sample data of 741 patients in central Taiwan hospitals were analyzed, and the results of structural equation modeling showed that DDIs and time availability positively affect patient trust, which, in turn, positively influenced patient satisfaction and cooperation between patients and clinical pharmacists. Overall, the results indicated that patient satisfaction is an important predictor of cooperation between patients and clinical pharmacists.",4,0,risk of drug-drug interaction; trust; satisfaction; patient cooperation; clinical pharmacists; MEDICAL INSTITUTIONS; INTERPERSONAL-TRUST; PHYSICIANS; ENVIRONMENT; JUDGMENTS; QUALITY; SCALE,Article
New Microbiological Techniques for the Diagnosis of Bacterial Infections and Sepsis in ICU Including Point of Care,"Peri, Anna Maria; Stewart, Adam; Hume, Anna; Irwin, Adam; Harris, Patrick N. A.; SPRINGER; Peri, Anna Maria; Stewart, Adam; Irwin, Adam; Harris, Patrick N. A.; Stewart, Adam; Hume, Anna; Hume, Anna; Harris, Patrick N. A.; Irwin, Adam; Harris, Patrick N. A.; Harris, Patrick N. A.; Harris, Patrick; Peri, Anna Maria; Stewart, Adam; Irwin, Adam",2021,CURRENT INFECTIOUS DISEASE REPORTS,10.1007/s11908-021-00755-0,WOS:000662216700001,Australia,"Purpose of Review The aim of this article is to review current and emerging microbiological techniques that support the rapid diagnosis of bacterial infections in critically ill patients, including their performance, strengths and pitfalls, as well as available data evaluating their clinical impact. Recent Findings Bacterial infections and sepsis are responsible for significant morbidity and mortality in patients admitted to the intensive care unit and their management is further complicated by the increase in the global burden of antimicrobial resistance. In this setting, new diagnostic methods able to overcome the limits of traditional microbiology in terms of turn-around time and accuracy are highly warranted. We discuss the following broad themes: optimisation of existing culture-based methodologies, rapid antigen detection, nucleic acid detection (including multiplex PCR assays and microarrays), sepsis biomarkers, novel methods of pathogen detection (e.g. T2 magnetic resonance) and susceptibility testing (e.g. morphokinetic cellular analysis) and the application of direct metagenomics on clinical samples. The assessment of the host response through new ""omics"" technologies might also aid in early diagnosis of infections, as well as define non-infectious inflammatory states. Despite being a promising field, there is still scarce evidence about the real-life impact of these assays on patient management. A common finding of available studies is that the performance of rapid diagnostic strategies highly depends on whether they are integrated within active antimicrobial stewardship programs. Assessing the impact of these emerging diagnostic methods through patient-centred clinical outcomes is a complex challenge for which large and well-designed studies are awaited.",4,0,Rapid diagnostics; Bloodstream infection; Sepsis; Antimicrobial resistance; Critical care; BLOOD-STREAM INFECTIONS; RAPID IDENTIFICATION; BACT/ALERT VIRTUO; ACCELERATE PHENO; CULTURE-SYSTEMS; PATHOGEN IDENTIFICATION; STAPHYLOCOCCUS-AUREUS; CLINICAL IMPACT; PNA-FISH; TIME,Review
Understanding the epidemiology of MRSA in Europe: do we need to think outside the box?,"Borg, M. A.; Camilleri, L.; Waisfisz, B.; W B SAUNDERS CO LTD; Borg, M. A.; Camilleri, L.; Waisfisz, B.; Borg, M. A.",2012,JOURNAL OF HOSPITAL INFECTION,10.1016/j.jhin.2012.05.001,WOS:000306376300006,Malta; Netherlands,"Background: The epidemiology of meticillin-resistant Staphylococcus aureus (MRSA) infections, using bacteraemia as a marker, shows a striking geographical pattern in Europe. The prevalence of MRSA is low in Northern European countries, increases into central Europe and reaches its highest levels in the Mediterranean region. This has been attributed to varying levels of implementation of infection control and antibiotic stewardship (ICAS) programmes, but reasons for this variation have not been clearly established.",4,0,Culture; Hofstede; Infection; RESISTANT STAPHYLOCOCCUS-AUREUS; BLOOD-STREAM INFECTIONS; INTENSIVE-CARE-UNIT; BACTEREMIA; HOSPITALS; PROGRAM,Article
Role of Cultural Dimensions and Dynamic Capabilities in the Value-based Performance of Digital Healthcare Services,"Sermontyte-Baniule, Rima; Pundziene, Asta; Gimenez, Victor; Narbon-Perpina, Isabel; ELSEVIER SCIENCE INC; Sermontyte-Baniule, Rima; Pundziene, Asta; Gimenez, Victor; Narbon-Perpina, Isabel; Sermontyte-Baniule, Rima; Giménez-García, Víctor; Narbon-Perpina, Isabel; Gimenez, Victor; Narbon-Perpina, Isabel",2022,TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,10.1016/j.techfore.2022.121490,WOS:000799768700033,Lithuania; Spain,"Global lockdowns due to COVID-19 pandemic prompted healthcare providers to accelerate the utilisation of digital technologies in healthcare services, yet despite this push, the pace of deploying digital healthcare services is still unsatisfactory. While researchers in the field have mainly focused on the role of technology, the role of a country's cultural dimensions as antecedents of dynamic capabilities responsible for driving the digitalisation of the healthcare services is largely under-researched. Consequently, we aim to investigate the role of country's cultural dimensions and dynamic capabilities in the value-based performance of digital healthcare services. The study rests on multiple-case-study design, which was applied to examine the interlinkages between the cultural dimensions, dynamic capabilities and the value-based performance of digital healthcare services across Lithuania, the United States and Spain. Information was gathered through conducting 66 interviews with healthcare ecosystem stakeholders. The study results show that the low-scoring cultural dimensions of power distance, uncertainty avoidance and long-term orientation and high-scoring dimensions of individualism, masculinity and indulgence are antecedents of strong dynamic capabilities, specifically with regards to strong environment scanning, employee engagement and organisational learning. Furthermore, strong dynamic capabilities were found to be associated with a more advanced implementation of digital healthcare services.",2,0,dynamic capabilities; Hofstede cultural dimensions; digital healthcare services; value-based performance; multiple case study; NATIONAL CULTURE; QUADRUPLE AIM; IMPACT; INSTITUTIONS; INNOVATION; STRATEGY; ISSUES,Article
Hip Arthroscopy for Femoroacetabular Impingement Syndrome in High-Level Athletes: A 10-Year Follow-up,"Karlsson, Louise; Collberg, Olle; Erlandsson, David; Nikou, Sarantos; Baranto, Adad; Ohlin, Axel; Lindman, Ida; SAGE PUBLICATIONS INC; Karlsson, Louise; Collberg, Olle; Erlandsson, David; Nikou, Sarantos; Baranto, Adad; Ohlin, Axel; Lindman, Ida; Karlsson, Louise; Collberg, Olle; Erlandsson, David; Nikou, Sarantos; Baranto, Adad; Ohlin, Axel; Lindman, Ida; Karlsson, Louise; Collberg, Olle; Erlandsson, David; Nikou, Sarantos; Baranto, Adad; Ohlin, Axel; Lindman, Ida; Karlsson, Louise; Baranto, Adad; Ohlin, Axel; Nikou, Sarantos; Karlsson, Louise",2024,ORTHOPAEDIC JOURNAL OF SPORTS MEDICINE,10.1177/23259671241275657,WOS:001339848400001,Sweden,"Background: Arthroscopic treatment for femoroacetabular impingement syndrome (FAIS) has previously been reported to have favorable short-term results in high-level athletes. Less is known about long-term outcomes. Purpose: To report outcomes 10 years after hip arthroscopy for FAIS in high-level athletes using validated patient-reported outcome measures (PROMs). Study Design: Case series; Level of evidence, 4. Methods: Patients who underwent hip arthroscopy between November 2011 and January 2013 were included in a local hip arthroscopy registry and completed preoperative PROMs. At 10-year follow-up, the same PROMs were completed. Inclusion criteria were age <40 years at time of surgery, no prior hip surgeries, and a pre-symptomatic Hip Sports Activity Scale (HSAS) level of 7 or 8. The exclusion criterion was total hip arthroplasty at follow-up. The PROMs included the international Hip Outcome Tool-12 items (iHOT-12), the Copenhagen Hip and Groin Outcome Score (HAGOS), visual analog scale (VAS) for overall hip function, European Quality of Life-5 Dimensions questionnaire (EQ-5D) and European Quality of Life-visual analog scale (EQ-VAS), HSAS, and a single question on patient satisfaction. The rates of patients achieving minimal important change and reporting Patient Acceptable Symptom State (PASS) were reported for HAGOS and iHOT-12. For iHOT-12, preoperative results were compared with 1, 5, and 10-year follow-ups. Results: A total of 45 patients (34 men, 11 women; 70 hips; mean age 24.4 years at time of surgery) were included, with 77 patients eligible for inclusion. Significant improvements (P < .001) were seen at 10-year follow-up in all HAGOS subscales: Symptoms, Pain, Daily Activity, Sports, Physical Activity, Quality of Life (50.3 vs 78.6, 59.2 vs 86.8, 65.9 vs 88.8, 37.1 vs 81.1, 24.4 vs 81.1, 32.1 vs 79.3), iHOT-12 (40.1 vs 81.6), EQ-5D (0.59 vs 0.89), EQ-VAS (65.6 vs 80.4), and VAS for overall hip function (48 vs 79). For iHOT-12, the largest change was seen between preoperative and 1-year follow-up values, with consistent results over time. There was no statistically significant difference between HSAS levels preoperatively and at 10-year follow-up (HSAS level 4), with 24% of patients reporting a HSAS level 7 or 8 at the follow-up. Of the patients, 93% reported satisfaction with the surgery. PASS was achieved in 82% for iHOT-12, with a range of 76% to 91% for HAGOS subscales. Furthermore, 93% exceeded the minimal important change for iHOT-12, and a range of 67% to 84% for HAGOS. Conclusion: In a high-level athletic population, significant improvements in long-term outcomes are reported after hip arthroscopy for FAIS, with patients reporting a high satisfaction rate. The results also show that the largest improvement occurs within the first postoperative year, with results being maintained for 10 years.",2,0,hip; femoroacetabular impingement; hip arthroscopy; football (soccer); ice hockey; medical aspects of sports; athletes; patient-reported outcome measures; CROSS-CULTURAL ADAPTATION; CAM-TYPE DEFORMITY; PHYSICAL FUNCTION; GROIN DISABILITY; VALIDATION; PAIN; SYMPTOMS,Article
