title,authors,year,journal,doi,uid,countries,abstract,citations,references,keywords,subtypeDescription
Vulnerable Hospitals and Cancer Surgery Readmissions: Insights into the Unintended Consequences of the Patient Protection and Affordable Care Act,"Hong, Young; Zheng, Chaoyi; Hechenbleikner, Elizabeth; Johnson, Lynt B.; Shara, Nawar; Al-Refaie, Waddah B.; ELSEVIER SCIENCE INC; Hong, Young; Zheng, Chaoyi; Hechenbleikner, Elizabeth; Johnson, Lynt B.; Al-Refaie, Waddah B.; Shara, Nawar; Al-Refaie, Waddah B.; Al-Refaie, Waddah B.; Al-Refaie, Waddah B.; Al-Refaie, Waddah B.",2016,JOURNAL OF THE AMERICAN COLLEGE OF SURGEONS,10.1016/j.jamcollsurg.2016.04.042,WOS:000378573300029,USA,"BACKGROUND: Penalties from the Hospital Readmission Reduction Program can push financially strained, vulnerable patient-serving hospitals into additional hardship. In this study, we quantified the association between vulnerable hospitals and readmissions and examined the respective contributions of patient-and hospital-related factors.",0,0,SAFETY-NET HOSPITALS; REDUCTION PROGRAM; MEDICAID PATIENTS; HIGH PERCENTAGE; QUALITY; OUTCOMES; RATES; PENALTIES,Article
A New Conceptual Framework for Academic Health Centers,"Borden, William B.; Mushlin, Alvin I.; Gordon, Jonathan E.; Leiman, Joan M.; Pardes, Herbert; LIPPINCOTT WILLIAMS & WILKINS; Borden, William B.; Mushlin, Alvin I.; Gordon, Jonathan E.; Leiman, Joan M.; Pardes, Herbert; Borden, William B.",2015,ACADEMIC MEDICINE,10.1097/ACM.0000000000000688,WOS:000353879700014,USA,"Led by the Affordable Care Act, the U.S. health care system is undergoing a transformative shift toward greater accountability for quality and efficiency. Academic health centers (AHCs), whose triple mission of clinical care, research, and education serves a critical role in the country's health care system, must adapt to this evolving environment. Doing so successfully, however, requires a broader understanding of the wide-ranging roles of the AHC. This article proposes a conceptual framework through which the triple mission is expanded along four new dimensions: health, innovation, community, and policy. Examples within the conceptual framework categories, such as the AHCs' safety net function, their contributions to local economies, and their role in right-sizing the health care workforce, illustrate how each of these dimensions provides a more robust picture of the modern AHC and demonstrates the value added by AHCs. This conceptual framework also offers a basis for developing new performance metrics by which AHCs, both individually and as a group, can be held accountable, and that can inform policy decisions affecting them. This closer examination of the myriad activities of modern AHCs clarifies their essential role in our health care system and will enable these institutions to evolve, improve, be held accountable for, and more fully serve the health of the nation.",0,0,HOSPITAL TEACHING INTENSITY; MEDICAL-EDUCATION; CARE; INTERVENTION; IMPROVEMENT; INNOVATION; MORTALITY; COMMUNITY; IMPACT,Article
Changes in insurance coverage for cancer patients receiving brachytherapy before and after enactment of the Affordable Care Act,"Spiegel, Daphna Y.; Chino, Fumiko; Moss, Haley; Havrilesky, Laura J.; Chino, Junzo P.; ELSEVIER SCIENCE INC; Spiegel, Daphna Y.; Chino, Fumiko; Chino, Junzo P.; Moss, Haley; Havrilesky, Laura J.; Chino, Junzo P.; Chino, Fumiko; Chino, Junzo; Moss, Haley",2019,BRACHYTHERAPY,10.1016/j.brachy.2018.08.017,WOS:000456892800016,USA,"PURPOSE: The Patient Protection and Affordable Care Act called for expansion of Medicaid in 2014. As some states elected to expand Medicaid and others did not, the goal of this study was to determine the effect of Medicaid expansion on the insurance status at cancer diagnosis of brachy-therapy patients.",0,0,Affordable Care Act; Brachytherapy; Cervical cancer; Endometrial cancer; Prostate cancer; MEDICAID; MORTALITY; DISPARITIES,Article
Readmission rates in not-for-profit vs. proprietary hospitals before and after the hospital readmission reduction program implementation,"Birmingham, Lauren E.; Oglesby, Willie H.; BIOMED CENTRAL LTD; Birmingham, Lauren E.; Oglesby, Willie H.; Birmingham, Lauren E.; Oglesby, Willie; Oglesby, Willie",2018,BMC HEALTH SERVICES RESEARCH,10.1186/s12913-018-2840-4,WOS:000423227400001,USA,"Background: The Patient Protection and Affordable Care Act established the Hospital Readmission Reduction Program (HRRP) to penalize hospitals with excessive 30-day hospital readmissions of Medicare enrollees for specific conditions. This policy was aimed at increasing the quality of care delivered to patients and decreasing the amount of money paid for potentially preventable hospital readmissions. While it has been established that the number of 30-day hospital readmissions decreased after program implementation, it is unknown whether this effect occurred equally between not-for-profit and proprietary hospitals. The aim of this study was to determine whether or not the HRRP decreased readmission rates equally between not-for-profit and proprietary hospitals between 2010 and 2012.",0,0,Readmissions; Healthcare quality; Hospital; Not-for-profit hospital; Proprietary hospital; Health policy; US HOSPITALS; CARE; CONSOLIDATION; QUALITY,Article
Lessons From Medicaid's Divergent Paths On Mental Health And Addiction Services,"Andrews, Christina; Grogan, Colleen M.; Brennan, Marianne; Pollack, Harold A.; PROJECT HOPE; Andrews, Christina; Grogan, Colleen M.; Brennan, Marianne; Pollack, Harold A.; Andrews, Christina; Andrews, Christina; Pollack, Harold",2015,HEALTH AFFAIRS,10.1377/hlthaff.2015.0151,WOS:000360942500013,USA,"Over the past fifty years Medicaid has taken divergent paths in financing mental health and addiction treatment. In mental health, Medicaid became the dominant source of funding and had a profound impact on the organization and delivery of services. But it played a much more modest role in addiction treatment. This is poised to change, as the Affordable Care Act is expected to dramatically expand Medicaid's role in financing addiction services. In this article we consider the different paths these two treatment systems have taken since 1965 and identify strategic lessons that the addiction treatment system might take from mental health's experience under Medicaid. These lessons include leveraging optional coverage categories to tailor Medicaid to the unique needs of the addiction treatment system, providing incentives to addiction treatment programs to create and deliver high-quality alternatives to inpatient treatment, and using targeted Medicaid licensure standards to increase the quality of addiction services.",0,0,SUBSTANCE USE DISORDERS; AFFORDABLE CARE ACT; TREATMENT PROGRAMS; UNITED-STATES; COST-EFFECTIVENESS; ABUSE TREATMENT; MAINTENANCE; INSURANCE,Article
Medical Financial Hardship Intensity and Financial Sacrifice Associated with Cancer in the United States,"Han, Xuesong; Zhao, Jingxuan; Zheng, Zhiyuan; de Moor, Janet S.; Virgo, Katherine S.; Yabroff, K. Robin; AMER ASSOC CANCER RESEARCH; Han, Xuesong; Zhao, Jingxuan; Zheng, Zhiyuan; Yabroff, K. Robin; de Moor, Janet S.; Virgo, Katherine S.; Han, Xuesong; Virgo, Katherine; Zheng, Zhiyuan; Yabroff, K. Robin; Virgo, Katherine; Zhao, jingxuan",2020,CANCER EPIDEMIOLOGY BIOMARKERS & PREVENTION,10.1158/1055-9965.EPI-19-0460,WOS:000521285500005,USA,"Background: With rising costs of cancer care, this study aims to estimate the prevalence of, and factors associated with, medical financial hardship intensity and financial sacrifices due to cancer in the United States.",0,0,AFFORDABLE CARE ACT; HEALTH-INSURANCE COVERAGE; QUALITY-OF-LIFE; SUPPORT PROGRAM; COST; SURVIVORS; POPULATION; TOXICITY; BURDEN; COMMUNICATION,Article
The Impact of the Affordable Care Act on Cancer Survivorship,"Leopold, Christine; Park, Elyse R.; Nekhlyudov, Larissa; LIPPINCOTT WILLIAMS & WILKINS; Leopold, Christine; Nekhlyudov, Larissa; Leopold, Christine; Nekhlyudov, Larissa; Park, Elyse R.; Park, Elyse R.; Nekhlyudov, Larissa; Leopold, Christine; Leopold, Christine; Leopold, Christine; Leopold, Christine",2017,CANCER JOURNAL,N/A,WOS:000402076400006,USA,"In 2010, the Patient Protection and Affordable Care Act (ACA) was implemented with the aim of expanding access to quality, affordable care. In this review, we describe the ACA provisions that are most relevant for cancer survivors, provide available published evidence, and offer insights for future research. We found that provisions focusing on access to preventive care, access to quality and coordinated care, and coverage expansion and increased affordability suggest beneficial effects. However, we identified research gaps specifically addressing the intended and unintended consequences of the ACA on cancer survivorship care. Whether or not the ACA continues in its current form, research should address the effects of enhanced preventive services, innovative models of care, and payment structures that promote quality of care, as well as access to affordable, equitable care for a growing population of cancer survivors.",0,0,Health Economics; Pricing of medicines; Health Technology Assessment; Healthcare decision-making; High cost medicines; Cost-effectiveness analysis; Affordable Care Act; cancer survivorship; health care access; health care coverage; DEDUCTIBLE HEALTH PLAN; AMERICAN-SOCIETY; CHILDHOOD-CANCER; PATIENT PROTECTION; UNITED-STATES; ADULT SURVIVORS; ECONOMIC BURDEN; MEDICAL-CARE; FOLLOW-UP; PARTICIPANTS PERCEPTIONS,Review
Implications of missingness in self-reported data for estimating racial and ethnic disparities in Medicaid quality measures,"Yee, Kimberly; Hoopes, Megan; Giebultowicz, Sophia; Elliott, Marc N.; McConnell, K. John; WILEY; Yee, Kimberly; Hoopes, Megan; Giebultowicz, Sophia; Elliott, Marc N.; McConnell, K. John; Yee, Kimberly; Yee, Kimberly; Hoopes, Megan; Hoopes, Megan; Elliott, Marc N",2022,HEALTH SERVICES RESEARCH,10.1111/1475-6773.14025,WOS:000830876100001,USA,"Objective To assess the feasibility and implications of imputing race and ethnicity for quality and utilization measurement in Medicaid. Data Sources and Study Setting 2017 Oregon Medicaid claims from the Oregon Health Authority and electronic health records (EHR) from OCHIN, a clinical data research network, were used. Study Design We cross-sectionally assessed Hispanic-White, Black-White, and Asian-White disparities in 22 quality and utilization measures, comparing self-reported race and ethnicity to imputed values from the Bayesian Improved Surname Geocoding (BISG) algorithm. Data Collection Race and ethnicity were obtained from self-reported data and imputed using BISG. Principal Findings 42.5%/4.9% of claims/EHR were missing self-reported data; BISG estimates were available for >99% of each and had good concordance (0.87-0.95) with Asian, Black, Hispanic, and White self-report. All estimated racial and ethnic disparities were statistically similar in self-reported and imputed EHR-based measures. However, within claims, BISG estimates and incomplete self-reported data yielded substantially different disparities in almost half of the measures, with BISG-based Black-White disparities generally larger than self-reported race and ethnicity data. Conclusions BISG imputation methods are feasible for Medicaid claims data and reduced missingness to <1%. Disparities may be larger than what is estimated using self-reported data with high rates of missingness.",0,0,Bayesian imputation; health care disparities; HEDIS; Medicaid; quality of health care; race factors; AFFORDABLE CARE ACT; INSURANCE-COVERAGE; HEALTH; ACCESS; RACE/ETHNICITY; IMPUTATION; IMPACT; RACE,Article
Alternative Payment and Care-Delivery Models in Oncology: A Systematic Review,"Aviki, Emeline M.; Schleicher, Stephen M.; Mullangi, Samyukta; Matsoukas, Konstantina; Korenstein, Deborah; WILEY; Aviki, Emeline M.; Schleicher, Stephen M.; Korenstein, Deborah; Aviki, Emeline M.; Schleicher, Stephen M.; Korenstein, Deborah; Mullangi, Samyukta; Matsoukas, Konstantina; Aviki, Emeline M.; Mullangi, Samyukta; Matsoukas, Konstantina; Aviki, Emeline",2018,CANCER,10.1002/cncr.31367,WOS:000442572000006,USA,"Rising US health care costs have led to the creation of alternative payment and care-delivery models designed to maximize outcomes and/or minimize costs through changes in reimbursement and care delivery. The impact of these interventions in cancer care is unclear. This review was undertaken to describe the landscape of new alternative payment and care-delivery models in cancer care. In this systematic review, 22 alternative payment and/or care-delivery models in cancer care were identified. These included 6 bundled payments, 4 accountable care organizations, 9 patient-centered medical homes, and 3 other interventions. Only 12 interventions reported outcomes; the majority (n = 7; 58%) improved value, 4 had no impact, and 1 reduced value, but only initially. Heterogeneity of outcomes precluded a meta-analysis. Despite the growth in alternative payment and delivery models in cancer, there is limited evidence to evaluate their efficacy. (C) 2018 American Cancer Society.",0,0,Affordable Care Act; alternative care delivery models; alternative payment models; cancer; cancer delivery; health care delivery; value-based cancer care; value-based health care delivery; value-based payment models; MEDICAL HOME; CANCER CARE; QUALITY; ORGANIZATIONS; ASSOCIATION; IMPACT; STATE,Review
A Cost-effectiveness Study of the Impact of the Affordable Care Act on Depression Outcomes in the United States,"Mohit, Babak; INT CTR MENTAL HEALTH POLICY & ECONOMICS-ICMPE; Mohit, Babak; Mohit, Babak; Mohit, Babak",2018,JOURNAL OF MENTAL HEALTH POLICY AND ECONOMICS,N/A,WOS:000458135200004,USA,Objective: Two separate changes in insurance regulation have altered mental health delivery to Americans: (i) the Mental Health Parity and Addiction Equity Act (MHPA 2008) and (ii) the Patient Protection and Affordable Care Act (ACA 2010). This study aims to model and provide estimates for the costs and effects of depression that are impacted by these regulations.,0,0,MENTAL-DISORDERS; HEALTH PARITY; PREVALENCE; MEDICAID; ANXIETY; EQUITY; TRENDS; STEPS; AGE,Article
