title,authors,year,journal,doi,uid,countries,abstract,citations,references,keywords,subtypeDescription
The influence of medical cost controls implemented by Taiwan's national health insurance program on doctor-patient relationships,"Chiu, Jhih-Ling; WILEY-BLACKWELL; Chiu, Jhih-Ling",2015,INTERNATIONAL JOURNAL OF HEALTH PLANNING AND MANAGEMENT,10.1002/hpm.2256,WOS:000351394800006,Taiwan,"To prevent medical costs from rising, the National Health Insurance administration implemented the global budget system for financial reform, effective 1 July 2004. Since the implementation of this system, patients have been required to pay for some medicines to limit costs to the system. More recently, as they have faced constant increases in health insurance fees and also faced an increase in the number of medical expenses they must pay during an economic recession and a rise in unemployment, would the economic burden on the people of Taiwan not be increased? Even though National Health Insurance is a form of social insurance, does it guarantee social equality? The value of the healthcare industry is irreplaceable, so the most critical concern is whether worsening doctor-patient relationships will worsen healthcare quality. In short, while the global budget system saves on National Health Insurance costs, whether its implementation has affected healthcare quality is also worth exploring. This commentary also hopes to serve as a reference for the implementation of national health insurance in the United States. Copyright (c) 2014 John Wiley & Sons, Ltd.",0,0,medical cost control; global budget system; doctor-patient relationship; health insurance,Article
Cost drivers for managing dialysis facilities in a large chain in Taiwan,"Cho, Chia-Ching; Chiu, AnAn; Huang, Shaio Yan; Liu, Shuen-Zen; EMERALD GROUP PUBLISHING LTD; Cho, Chia-Ching; Huang, Shaio Yan; Chiu, AnAn; Liu, Shuen-Zen; Chiu, AnAn",2018,MANAGEMENT DECISION,10.1108/MD-06-2017-0550,WOS:000445453400009,Taiwan,"Purpose As the rise in expenditures will be even faster when the baby-boom generation soon reaches healthcare-dependent ages, healthcare providers are facing cost management decision of achieving superior performance. Taiwan provides a unique environment that the dialysis service providers face only one medical buyer. The purpose of this paper is to discuss cost factors of dialysis facilities.",0,0,Healthcare; Cost management; Cost driver; Dialysis service; DATA QUALITY ASSESSMENT; HEALTH-CARE; OWNERSHIP STRUCTURE; AGENCY COSTS; FIRM,Article
Analysis of gynecologic cancer patients visiting emergency department: a population-based cohort study in Taiwan,"Tang, P. L.; Huang, W. C.; Liu, W. S.; Chang, K. C.; I R O G CANADA, INC; Tang, P. L.; Huang, W. C.; Liu, W. S.; Chang, K. C.; Chang, K. C.",2017,EUROPEAN JOURNAL OF GYNAECOLOGICAL ONCOLOGY,10.12892/ejgo3350.2017,WOS:000406893500006,Taiwan,"Purpose: To investigate the characteristics of gynecologic cancer patients visiting the emergency department (ED). Materials and Methods: A retrospective cohort of gynecologic cancer patients in ED visits from 2000 to 2012 was analyzed using the Longitudinal Health Insurance Database 2000 (LHID2000) which randomly selected 1,000,000 beneficiaries from the year 2000 Registry of Beneficiaries (n = 23.72 million). Results: There were 5,893 ED visits by 1,400 gynecologic cancer patients. The mean age was 55.22 14.60 years. The mean number of ED visits was 4.21 +/- 5.18. 657 (46.93%) patients that were admitted to hospital; 70.57% ED visits occurred in medical center. Abdominal pain (19.04%), complications of surgical and medical care (13.28%) and intestinal obstruction without mention of hernia (10.69%) are the most three common presenting symptoms except other symptoms, signs, and ill-defined conditions (24.79%); 62.56% of the medications prescribed in ED visits are of gastrointestinal category. The overall survival rate of ED visits was significantly lower than that of no ED visits (p < 0.0001). Conclusions: Relatively low rate of hospital admission may indicate unnecessary ED visits resulting in healthcare costs. Abdominal pain is the most common specific symptoms at presentation. Most medications belong to the gastrointestinal category reminding us of the importance of nutrition support. ED visits were a significant poor prognostic factor for overall survival.",0,0,Gynecologic cancer; Emergency department; Admittance; Taiwan National Health Insurance Research Database (NHIRD); UNITED-STATES; ADMISSIONS; CARE; CHEMOTHERAPY; MORTALITY; QUALITY; LIFE; ROOM; END,Article
Web-Based Remote Monitoring Systems for Self-Managing Type 2 Diabetes: A Systematic Review,"Mushcab, Hayat; Kernohan, W. George; Wallace, Jonathan; Martin, Suzanne; MARY ANN LIEBERT, INC; Mushcab, Hayat; Kernohan, W. George; Martin, Suzanne; Wallace, Jonathan; Mushcab, Hayat; Martin, Suzanne; Kernohan, George; Kernohan, George; Mushcab, Hayat; Wallace, Jonathan",2015,DIABETES TECHNOLOGY & THERAPEUTICS,10.1089/dia.2014.0296,WOS:000363943000011,North Ireland,"This systematic review aims to evaluate evidence for viability and impact of Web-based telemonitoring for managing type 2 diabetes mellitus. A review protocol included searching Medline, EMBASE, CINAHL, AMED, the Cochrane Library, and PubMed using the following terms: telemonitoring, type 2 diabetes mellitus, self-management, and web-based Internet solutions. The technology used, trial design, quality of life measures, and the glycated hemoglobin (HbA1c) levels were extracted. This review identified 426 publications; of these, 19 met preset inclusion criteria. Ten quasi-experimental research designs were found, of which seven were pre-posttest studies, two were cohort studies, and one was an interrupted time-series study; in addition, there were nine randomized controlled trials. Web-based remote monitoring from home to hospital is a viable approach for healthcare delivery and enhances patients' quality of life. Six of these studies were conducted in South Korea, five in the United States, three in the United Kingdom, two in Taiwan, and one each in Spain, Poland, and India. The duration of the studies varied from 4 weeks to 18 months, and the participants were all adults. Fifteen studies showed positive improvement in HbA1c levels. One study showed high acceptance of the technology among participants. It remains challenging to identify clear evidence of effectiveness in the rapidly changing area of remote monitoring in diabetes care. Both the technology and its implementations are complex. The optimal design of a telemedicine system is still uncertain, and the value of the real-time blood glucose transmissions is still controversial.",0,0,GLYCOSYLATED HEMOGLOBIN; TITRATION SYSTEM; BLOOD-GLUCOSE; MOBILE PHONE; PRIMARY-CARE; MANAGEMENT; TELEMEDICINE; TIME; INTERVENTIONS; LESSONS,Review
Treatment-related Problems and Countermeasures for Patients Undergoing Maintenance Hemodialysis Following Tropical Cyclones: A Scoping Review,"Yang, Fengxue; Zhu, Linfang; Li, Sijian; CAMBRIDGE UNIV PRESS; Yang, Fengxue; Zhu, Linfang; Li, Sijian; Zhu, Linfang; yang, fengxue; Yang, Fengxue",2024,DISASTER MEDICINE AND PUBLIC HEALTH PREPAREDNESS,10.1017/dmp.2024.70,WOS:001314641300001,Peoples R China,"Background Patients undergoing maintenance hemodialysis face heightened vulnerability during disasters like tropical cyclones, yet there is sparse research on their treatment-related challenges and countermeasures. This scoping review aims to highlight the issues maintenance hemodialysis patients encounter following tropical cyclones.Methods A systematic scoping review of 19 articles from 2000 to 2023 was conducted, evaluating eligibility against predefined criteria.Results Hemodialysis patients encounter substantial challenges during and after tropical cyclones in the United States, Puerto Rico, Australia, and Taiwan. Thematic analysis identified 3 themes related to ""challenges"" (Hemodialysis health-related challenges, socially relevant challenges, and challenges of management inefficiencies). ""Recommendations"" comprised 4 themes and 4 phases across the ""mitigation phase"" (fortifying healthcare infrastructure and mobilizing community-focused risk mitigation initiatives), ""preparedness"" (emergency plan development, training, and patient education), ""response"" (activation of emergency plans and providing emergency healthcare services), and ""recovery"" (intersectoral collaboration for recovery and rebuilding).Conclusion This scoping review underscores challenges confronted by patients undergoing maintenance hemodialysis post-tropical cyclones, highlighting the urgent need for targeted strategies to ensure the continuity of dialysis care during and after such disasters.",0,0,cyclonic storms; kidney failure; hemodialysis; EMERGENCY PREPAREDNESS; DISASTER PREPAREDNESS; DIALYSIS SERVICES; HURRICANE SANDY; CARE; STRESS; IMPACT; CHILD,Review
Pretravel preparation and factors associated with willingness to seek pretravel consultation among Taiwanese travelers,"Chuang, Pei-Ni; Yang, Chia-Jung; Huang, Hsien-Liang; Chang, Che-Jui Jerry; Lee, Yi-Chen; Cheng, Shao-Yi; Chiu, Tai-Yuan; Tsai, Jaw-Shiun; Peng, Jen-Kuei; ELSEVIER SCI LTD; Chuang, Pei-Ni; Chang, Che-Jui Jerry; Yang, Chia-Jung; Huang, Hsien-Liang; Cheng, Shao-Yi; Chiu, Tai-Yuan; Tsai, Jaw-Shiun; Peng, Jen-Kuei; Huang, Hsien-Liang; Cheng, Shao-Yi; Chiu, Tai-Yuan; Tsai, Jaw-Shiun; Peng, Jen-Kuei; Lee, Yi-Chen; Tsai, Jaw-Shiun; Peng, Jen-Kuei; Tsai, Jaw-Shiun; Peng, Jen-Kuei; CHENG, SHAO-YI; Peng, Jen-Kuei; Huang, HsienLiang; Cheng, Shao-yi",2022,TRAVEL MEDICINE AND INFECTIOUS DISEASE,10.1016/j.tmaid.2022.102397,WOS:000835945300006,Taiwan,"Background: Although globalization promotes economic development, cross-border infectious disease trans-mission is still a serious threat to health. Taiwan is geographically close to Southeast and South Asia, but the needs and expectations of Taiwanese travelers with regard to travel medicine are still largely unknown. This study aimed to clarify the pretravel preparations, needs, willingness to seek pretravel consultation, and factors associated with willingness, in order to provide valuable information for improvement of healthcare service.Methods: Data were collected with anonymous structured questionnaires distributed to 477 visitors who tried to get travel health information from New Southbound Health Center between June and November 2019. A multivariate stepwise logistic regression analysis was applied to identify factors associated with the visitors' willingness to seek pretravel consultation.Results: A total of 304 questionnaires (64%) were collected. Eighty-three percent of the respondents were willing to seek pretravel consultation. A higher level of education (odds ratio 3.6 [95% CI 1.58-8.22]), having a plan to obtain travel medical insurance (2.5 [1.18-5.28]), concern with gastrointestinal diseases (2.0 [1.04-3.94]), concern with mosquito-borne diseases (2.0 [2.07-3.95]), and concern with noncommunicable diseases (2.2 [1.02-4.96]) were independent factors associated with willingness to seek pretravel consultation.: Conclusions: We found that most of the travelers were willing to seek pretravel consultation. Our study high-lighted the need to enhance awareness about travel-related illness among these travelers. Strategies should be tailored according to these findings to help prevent epidemics and improve healthcare service in the future.",0,0,Travel health; Pretravel consultation; Infectious disease; Cross -border transmission; Risk management; Healthcare service; INTERNATIONAL TRAVELERS; JAPANESE TRAVELERS; HEALTH KNOWLEDGE; VISIT FRIENDS; UNITED-STATES; ATTITUDES; VACCINATION; INFECTION; RELATIVES; BEHAVIOR,Article
Incremental Healthcare Service Utilization for Open-angle Glaucoma: A Population-Based Study,"Chung, Shiu-Dong; Ho, Jau-Der; Lin, Herng-Ching; Kao, Li-Ting; Tsai, Ming-Chieh; LIPPINCOTT WILLIAMS & WILKINS; Chung, Shiu-Dong; Chung, Shiu-Dong; Ho, Jau-Der; Ho, Jau-Der; Lin, Herng-Ching; Tsai, Ming-Chieh; Kao, Li-Ting; Tsai, Ming-Chieh; Tsai, Ming-Chieh; Kao, Li-Ting; Chen, Chih-Hao",2015,JOURNAL OF GLAUCOMA,10.1097/IJG.0000000000000222,WOS:000356375700015,Taiwan,"Purpose:To investigate differences in the utilization of healthcare services between subjects with open-angle glaucoma (OAG) and comparison subjects without OAG using Taiwan's National Health Insurance population-based database.Patients and Methods:The study comprised 2204 subjects with OAG and 2204 sex-matched and age-matched subjects without OAG. We individually followed each subject for a 1-year period to evaluate their healthcare resource utilization. Outcome variables of the healthcare resource utilization were as follows: numbers of outpatient visits and inpatient days and the mean costs of outpatient and inpatient treatment. In addition, we divided healthcare resource utilization into ophthalmologic and nonophthalmologic services.Results:As for the utilization of ophthalmologic services, OAG subjects had significantly more outpatient visits (7.4 vs. 1.3, P<0.001) and significantly higher outpatient costs (US$272 vs. US$39, P<0.001) than comparison subjects. For nonophthalmologic services, OAG subjects also had significantly more outpatient visits (29.4 vs. 21.8, P<0.001) and significantly higher outpatient costs (US$1263 vs. US$847, P<0.001) than comparison subjects. Furthermore, OAG subjects incurred significantly higher inpatient costs compared with comparison subjects (US$434 vs. US$234, P<0.001). For all healthcare services, OAG subjects had significantly more outpatient visits (36.8 vs. 23.1, P<0.001) and significantly higher outpatient (US$1535 vs. US$887, P<0.001) and total (US$2245 vs. US$1122, P<0.001) costs than comparison subjects. In other words, the total cost was about 2-fold greater for OAG subjects than comparison subjects.Conclusions:We concluded that subjects with OAG had significantly higher utilization of all healthcare services than comparison subjects.",0,0,open-angle glaucoma; utilization; costs; glaucoma; MOORFIELDS COLLABORATIVE GLAUCOMA; INSURANCE RESEARCH DATABASE; RESOURCE UTILIZATION; UNITED-STATES; COSTS; PREVALENCE; EYE; DISEASE; EUROPE; MULTICENTER,Article
An international systems-theoretic comparison of hospital accreditation: developing an implementation typology,"Chuang, Sheuwen; Howley, Peter P.; Gonzales, Shawon S.; OXFORD UNIV PRESS; Chuang, Sheuwen; Chuang, Sheuwen; Howley, Peter P.; Gonzales, Shawon S.; Chuang, Sheuwen; Howley, Professor Peter; Chuang, Sheuwen",2019,INTERNATIONAL JOURNAL FOR QUALITY IN HEALTH CARE,10.1093/intqhc/mzy189,WOS:000482402400009,Taiwan; Australia,"Objective The integration of quality indicators into the accreditation process has been recognized as a promising strategy worldwide. This study was to explore the implementation patterns of hospital accreditation through the lens of a systems-theory based model, and determine an international accreditation implementation typology.",0,0,hospital accreditation; quality measurement system; continuous quality improvement; systems-theory; QUALITY-OF-CARE; IMPROVEMENT; INDICATORS,Article
Ethical case interventions for adult patients,"Schildmann, Jan; Nadolny, Stephan; Haltaufderheide, Joschka; Gysels, Marjolein; Vollmann, Jochen; Bausewein, Claudia; WILEY; Schildmann, Jan; Nadolny, Stephan; Nadolny, Stephan; Nadolny, Stephan; Haltaufderheide, Joschka; Vollmann, Jochen; Gysels, Marjolein; Bausewein, Claudia; Schildmann, Jan; Bausewein, Claudia; Schildmann, Jan; Haltaufderheide, Joschka; Nadolny, Stephan; Haltaufderheide, Joschka; Gysels, Marjolein",2019,COCHRANE DATABASE OF SYSTEMATIC REVIEWS,10.1002/14651858.CD012636.pub2,WOS:000478017500019,Germany; Netherlands,Background,0,0,CLINICAL ETHICS; MORAL DISTRESS; CONSULTATION SERVICE; NONBENEFICIAL TREATMENT; HEALTH; COMMITTEES; OUTCOMES; COMPETENCES; EXPERIENCE; QUESTIONS,Review
Common Bacterial Infections and Risk of Dementia or Cognitive Decline: A Systematic Review,"Muzambi, Rutendo; Bhaskaran, Krishnan; Brayne, Carol; Davidson, Jennifer A.; Smeeth, Liam; Warren-Gash, Charlotte; IOS PRESS; Muzambi, Rutendo; Bhaskaran, Krishnan; Davidson, Jennifer A.; Smeeth, Liam; Warren-Gash, Charlotte; Brayne, Carol; Muzambi, Rutendo; Bhaskaran, Krishnan; Bhaskaran, Krishnan; Smeeth, Liam; Brayne, Carol; Brayne, Carol; Muzambi, Rutendo; Warren-Gash, Charlotte",2020,JOURNAL OF ALZHEIMERS DISEASE,10.3233/JAD-200303,WOS:000562140000030,England,"Background: Bacterial infections may be associated with dementia, but the temporality of any relationship remains unclear.",0,0,Cognition; dementia; infections; prevention; systematic review; ALZHEIMERS-DISEASE; FUNCTIONAL DISABILITY; AMYLOID-BETA; IMPAIRMENT; ASSOCIATION; HOSPITALIZATION; DELIRIUM; SEPSIS; TRENDS; CARE,Review
