title,authors,year,journal,doi,uid,countries,abstract,citations,references,keywords,subtypeDescription
"Breastfeeding practice, breastfeeding policy and hospitalisations for infectious diseases in early and later childhood: a register-based study in Uppsala County, Sweden","Videholm, Samuel; Wallby, Thomas; Silfverdal, Sven-Arne; BMJ PUBLISHING GROUP; Videholm, Samuel; Silfverdal, Sven-Arne; Wallby, Thomas; Videholm, Samuel; Videholm, Samuel; Silfverdal, Sven Arne; SILFVERDAL, Sven; Videholm, Samuel",2021,BMJ OPEN,10.1136/bmjopen-2020-046583,WOS:000657356400008,Sweden,"Objective To examine the association between breastfeeding practice and hospitalisations for infectious diseases in early and later childhood, in particular, to compare exclusive breast feeding 4-5 months with exclusive breastfeeding 6 months or more. Thereby, provide evidence to inform breastfeeding policy. Design A register-based cohort study. Setting A cohort was created by combining the Swedish Medical Birth Register, the National Inpatient Register, the Cause of Death Register, the Total Population Register, the Longitudinal integration database for health insurance and labour market studies, with the Uppsala Preventive Child Health Care database. Patients 37 825 term and post-term singletons born to women who resided in Uppsala County (Sweden) between 1998 and 2010. Main outcome measures Number of hospitalisations for infectious diseases in early (<2 years) and later childhood (2-4 years). Results The risk of hospitalisations for infectious diseases decreased with duration of exclusive breastfeeding until 4 months of age. In early childhood, breast feeding was associated with a decreased risk of enteric and respiratory infections. In comparison with exclusive breast feeding 6 months or more, the strongest association was found between no breastfeeding and enteric infections (adjusted incidence rate ratios, aIRR 3.32 (95% CI 2.14 to 5.14)). In later childhood, breast feeding was associated with a lower risk of respiratory infections. In comparison with children exclusively breastfed 6 months or more, the highest risk was found in children who were not breastfed (aIRR 2.53 (95% CI 1.51 to 4.24)). The risk of hospitalisations for infectious diseases was comparable in children exclusively breastfed 4-5 months and children exclusively breastfed 6 months or more. Conclusions Our results support breastfeeding guidelines that recommend exclusive breastfeeding for at least 4 months.",0,0,infectious diseases; nutrition; public health; epidemiology; community child health,Article
Universal health coverage and equal access in Sweden: a century-long perspective on macro-level policy,"Fredriksson, Mio; BMC; Fredriksson, Mio; Fredriksson, Mio",2024,INTERNATIONAL JOURNAL FOR EQUITY IN HEALTH,10.1186/s12939-024-02193-5,WOS:001233940300001,Sweden,"Background When today's efforts to achieve universal health coverage are mainly directed towards low-income settings, it is perhaps easy to forget that countries considered to have universal, comprehensive and high-performing health systems have also undergone this journey. In this article, the aim is to provide a century-long perspective to illustrate Sweden's long and ongoing journey towards universal health coverage and equal access to healthcare.Methods The focus is on macro-level policy. A document analysis is divided into three broad eras (1919-1955; 1955-1989; 1989-) and synthesises seven points in time when policies relevant to overarching goals and regulation of universal health coverage and equal access were proposed and/or implemented. The development is analysed and concluded in relation to two egalitarian goals in the context of health: equality of access and equal treatment for equal need.Results Over the past century, macro-level policy evolved from the concept of creating access for the neediest and those reliant on wages for their survival to a mandatory insurance with equal right to healthcare for all. However, universal health coverage was not achieved until 1955, and individuals had to rely on their personal financial resources to cover the cost at the time of care utilization until the 1970s. It was not until 1983 that legislation explicitly stated that access to healthcare should be equal for the entire population (horizontal equity), while a vertical equity-principle was not added until 1997. Subsequently, ideas of free choice and privatization have gained significance. For instance, they aim to increase service access, addressing the Swedish health system's Achilles' heel in this regard. However, the principle of equal access for all is now being challenged by the emergence of private health insurance, which offers quicker access to services.Conclusions: brief summary and potential implications It can be concluded that there is no perpetual Swedish healthcare model and various dimensions of access have been the focus of policy discussion. The discussion on access barriers has shifted from financial to personal and organizational ones. Today, Sweden still ranks high in terms of affordability and equity in international comparisons: although not as well as a decade ago. Whether this marks the beginning of a new trend intertwined with a decline in Sweden's welfare 'exceptionalism', or is a temporary decline remains to be assessed in the future.",0,0,Universal health coverage; Equal access; Sweden; Swedish model; Horizontal equity; Vertical equity; WELFARE-STATE; CHOICE; CARE; EUROPE; EQUITY; WILL,Article
A COMPARATIVE STUDY ON THE PROTECTION OF CITIZENS' RIGHT TO HEALTH FOCUS ON THE PUBLIC HEALTH POLICY OF KOREA AND THE USA,"Roh, Hochang; Kim, Jongho; NATL TAIWAN UNIV PRESS; Roh, Hochang; Kim, Jongho; Roh, Hochang",2019,ASIAN JOURNAL OF WTO & INTERNATIONAL HEALTH LAW AND POLICY,N/A,WOS:000462949600006,South Korea,"The Constitution of the Republic of Korea adopts the principle of social state as a constitutional ideology and sets the right to health as the fundamental right of the people. In order to implement the citizens' right to health, Korea has adopted national health insurance, in particular public methods, in which the state directly intervenes in the medical market. All Koreans are compulsorily enrolled in National Health Insurance, and pay their premiums in proportion to their income to the National Health Insurance Corporation. All medical institutions are also enforced in the national health insurance system. Under this system, anyone who needs medical care can receive universal basic medical treatment at low cost. National health insurance in Korea has institutionalized that, at the very least, it should not be deprived of even the least opportunity to enjoy health because of economic barriers. In Korea, the universal health insurance system has been accepted as natural because of the combination of solidarity and shared responsibility.",0,0,social state; right to health; national health insurance; solidarity; Obamacare; social insurance; federalism; fundamental right; CONSTITUTION; CARE,Article
Special medical outpatient care-3.5 years of outpatient specialist care in rheumatology An inventory,"Sollacher, Anna; Froschauer, Sonja; Bredow, Laura; Zinke, Silke; SPRINGER HEIDELBERG; Sollacher, Anna; Froschauer, Sonja; Bredow, Laura; Zinke, Silke; Froschauer, Sonja",2022,ZEITSCHRIFT FUR RHEUMATOLOGIE,10.1007/s00393-022-01197-2,WOS:000781194700001,Germany,"Background In 2012 the outpatient specialist medical care (ASV) was introduced as an intersectoral, interdisciplinary, outpatient care concept. As from 19 April 2018 there is the possibility to form teams for the ASV for rheumatic diseases in adults as well as in children and adolescents.. Material and methods Analysis of previously unpublished data of the National Confederation of Statutory Health Insurance (GKV-SV) and of data of the ASV service department and a comparison with data of standard healthcare services and with the previous care concept of outpatient care in hospitals (ABK). Results After its introduction for 3.5 years, the ASV in rheumatology for adult care has developed into a significant healthcare model for rheumatologists in private practices and hospitals. There were 57 teams consisting of 458 rheumatologists in ASV rheumatism for adults, which represent 44% of all rheumatologists involved in adult care. For children and adolescents, there were 7 teams with 19 pediatric rheumatologists, i.e. 8% of pediatric rheumatologists in health care. The number of patients treated was still significantly lower than the potential, but showed a strong increase. Almost 64,000 adults and 811 children and adolescents were treated in the ASV in the second quarter of 2021. Outlook Whether the facilitation of outpatient care and the introduction of hybrid diagnosis-related groups planned in the coalition agreement will spur the ASV development remains to be seen.",0,0,Rheumatological diseases; Outpatient treatment; Inpatient treatment; Adults; Children and adolescents,Article
Sub-Ethnic and Geographic Variations in Out-of-Pocket Private Health Insurance Premiums Among Mid-Life Asians,"Choi, Sunha; SAGE PUBLICATIONS INC; Choi, Sunha; Choi, Sunha",2017,JOURNAL OF AGING AND HEALTH,10.1177/0898264316635563,WOS:000394674800003,USA,"Objective: This study examined out-of-pocket premium burden of mid-life Asian Americans by comparing six sub-groups of Asians after controlling for geographic clustering at the county and state levels. Method: The 2007-2011 National Health Interview Survey was linked to community-level data and analyzed for 4,628 Asians (ages 50-64), including 697 Asian Indians, 1,125 Chinese, 1,393 Filipinos, 434 Japanese, 524 Koreans, and 455 Vietnamese. Non-Hispanic Whites were included as a comparison group (n = 48,135). Three-level multilevel modeling (state > county > individual) was conducted. Results: Koreans and Vietnamese were found as vulnerable sub-groups considering their lower private health insurance rates and higher uninsured rates. Among those with private insurance, Asians, specifically Filipinos, paid significantly less than non-Hispanic Whites. Moderate but significant variations in the county- and state-level variance in out-of-pocket premiums were found, especially among mid-life Asians. Discussion: This study demonstrates the importance of examining within-group heterogeneity and geographic variations in understanding premium burden among mid-life Asians.",3,0,health insurance; mid-life adults; Asian Americans; CANCER INCIDENCE; UNITED-STATES; MEDICARE; POPULATIONS; AMERICANS; COVERAGE; ADULTS,Article
Insurance Coverage and Health Outcomes in Young Adults With Mental Illness Following the Affordable Care Act Dependent Coverage Expansion,"Kozloff, Nicole; Sommers, Benjamin D.; PHYSICIANS POSTGRADUATE PRESS; Kozloff, Nicole; Sommers, Benjamin D.; Kozloff, Nicole; Sommers, Benjamin D.; Kozloff, Nicole; Kozloff, Nicole; Sommers, Benjamin",2017,JOURNAL OF CLINICAL PSYCHIATRY,10.4088/JCP.16m11357,WOS:000410111300012,USA; Canada,"Objective: As a provision of the Affordable Care Act, young adults were able to remain on their parents' health insurance plans until age 26. We examined the impact of the 2010 dependent coverage expansion on insurance coverage and health outcomes among young adults with mental illness.",0,0,UNITED-STATES; ACCESS; DISORDERS; MORTALITY; IMPACT; ONSET,Article
What should health insurance cover? A comparison of Israeli and US approaches to benefit design under national health reform,"Gannot, Rachel Nissanholtz; Chinitz, David P.; Rosenbaum, Sara; CAMBRIDGE UNIV PRESS; Gannot, Rachel Nissanholtz; Gannot, Rachel Nissanholtz; Chinitz, David P.; Rosenbaum, Sara; Gannot, Rachel Nissanholtz; NISSANHOLTZ-GANNOT, RACHEL; Nissanholtz - Gannot, Rachel",2018,HEALTH ECONOMICS POLICY AND LAW,10.1017/S1744133117000287,WOS:000427493200005,Israel; USA,"What health insurance should cover and pay for represents one of the most complex questions in national health policy. Israel shares with the US reliance on a regulated insurance market and we compare the approaches of the two countries regarding determining health benefits. Based on review and analysis of literature, laws and policy in the United States and Israel. The Israeli experience consists of selection of a starting point for defining coverage; calculating the expected cost of covered benefits; and creating a mechanism for updating covered benefits within a defined budget. In implementing the Affordable Care Act, the US rejected a comprehensive and detailed approach to essential health benefits. Instead, federal regulators established broadly worded minimum standards that can be supplemented through more stringent state laws and insurer discretion. Notwithstanding differences between the two systems, the elements of the Israeli approach to coverage, which has stood the test of time, may provide a basis for the United States as it renews its health reform debate and considers delegating decisions about coverage to the states. Israel can learn to emulate the more forceful regulation of supplemental and private insurance that characterizes health policy in the United States.",0,0,CARE,Article
Economic and sanitary crisis and performance of health and insurance plans: similarities and singularities between Brazil and the United States,"Alves Riani Costa, Danielle Conte; Bahia, Ligia; CADERNOS SAUDE PUBLICA; Alves Riani Costa, Danielle Conte; Bahia, Ligia; Alves Riani Costa, Danielle Conte; Alves Riani Costa, Danielle Conte; Costa, Danielle; Conte Alves Riani Costa, Danielle; Bahia, Ligia",2022,CADERNOS DE SAUDE PUBLICA,10.1590/0102-311XPT000122,WOS:000882958700001,Brazil,"The economic crisis that began in the United States in 2008 and its impact in Brazil starting in 2014 preceded the health crisis triggered by the COVID-19 pandemic. Considering these three time intervals, this article analyzes the susceptibility of health plan and insurance companies to economic cycles of recession in Brazil and the United States. There is evidence of a relationship between periods of economic crisis and retraction of actions and services in national health systems. However, both the United States and Brazil showed a growth in the number of health and insurance plans. The vectors driving the expansion of the private market in both countries have similarities and singularities. The ""Obamacare"" marks the beginning of the inclusion of population segments in the coverage of programs that use private care schemes, funded with government resources. In Brazil, despite negative general economic indices and reduction in the public health budget, health plan companies increased revenues and profits, even in the context of the pandemic and the growing economic crisis in the country. Business strategies to attract foreign investors were combined with actions to obtain credits from public institutions and increase tax deductions and exemptions, preserving financial gains. A comparison between the impacts of the financial crisis on the Brazilian and American private health markets allowed us to identify the weaknesses of our universal public system absorbed by market rationality.",0,0,Health Systems; Supplemental Health; Prepaid Health Plans; Health Insurance; Economic Recession,Article
Challenges raised by the economic evaluation of CAR-T-cell therapies. The review by the French National Authority for Health,"Raimond, Veronique; Kaltenbach, Emmanuelle; Adam, Christophe; Lazzarotto, Sebastien; Le Gales, Catherine; Perrier, Lionel; Wittwer, Jerome; ELSEVIER MASSON, CORP OFF; Raimond, Veronique; Kaltenbach, Emmanuelle; Adam, Christophe; Lazzarotto, Sebastien; Le Gales, Catherine; Perrier, Lionel; Wittwer, Jerome; Adam, Christophe; Lazzarotto, Sebastien; Le Gales, Catherine; Perrier, Lionel; Wittwer, Jerome; Raimond, Veronique; Wittwer, Jérôme; Raimond, Véronique; Perrier, Lionel; Kaltenbach, Emmanuelle; Perrier, Lionel; Raimond, Veronique",2021,BULLETIN DU CANCER,10.1016/j.bulcan.2021.09.001,WOS:000728168200018,France,"Since 2013, the process of pricing of innovative drugs by the French National Health Insurance has considered both cost-effectiveness and budget impact. CAR-T cell therapies were first subject to economic evaluation from 2019 in France. We aim to describe the process and results of the economic evaluation of tisagenlecleucel and axicabtagene ciloleucel as well as the challenges these evaluations raised. Evaluations submitted by the firms were reviewed by HAS and submitted to the Committee of Economic Evaluation and Public Health (CEESP). The CEESP issued opinions related to: (1) the methodological quality of economic evidence and, (2) the cost-effectiveness and budget impact of the drugs. The CEESP invalidated the estimated incremental cost-utility ratios (ICUR) of tisagenlecleucel due to the insufficient clinical evidence and methodological quality to extrapolate the long-term progression of the disease after treatment and compare tisagenlecleucel with alternatives. The CEESP concluded that tisagenlecleucel was not proven cost-effective. The estimated ICUR of axicabtagene ciloleucel at rectangle 114,509/QALY vs. chemotherapies was associated with an acceptable level of methodological quality despite being based on a weak indirect comparison and limited data on quality of life. The CEESP considered axicabtagene ciloleucel ICUR to be ""very high"" and questioned the societal/community willingness-to-pay of the claimed price. The primary source of uncertainty surrounding the ICUR estimates of both drugs was the lack of hindsight on effectiveness. The economic evaluation of CAR-T cell therapies highlights the risk of inefficient resource allocation driven by limited clinical data. It calls for payment schemes accounting for this risk and effective collection of post-marketing data.",0,0,Cost-effectiveness; Budget impact; CAR-T; Health technology; assessment,Article
An International Perspective on Health Information Exchange: Adoption in OECD Countries With Different Health Care System Configurations,"Guerrazzi, Claudia; SAGE PUBLICATIONS INC; Guerrazzi, Claudia; Guerrazzi, Claudia; Guerrazzi Young, Claudia; Guerrazzi, Claudia",2020,MEDICAL CARE RESEARCH AND REVIEW,10.1177/1077558719858245,WOS:000548587300001,USA,"The sharing of information among various care providers is becoming an essential feature of health care systems, and many countries are now adopting policies to foster health information exchange, defined as the electronic transfer of data or information among health care organizations involved in the delivery of care. Given the increasing adoption of this type of policy in several Organization for Economic Cooperation and Development countries, it is important to compare experiences from different countries, because policy adoption in one country can be explained more comprehensively and coherently through comparison with similar policies adopted in other nations. To make a more meaningful cross-country comparison, this article identifies a taxonomy of health systems, and it analyzes institutional and resource-based factors related to health information exchange adoption and how they differ in three main types of health systems: the National Health Service, social health insurance, and private health insurance.",0,0,health information exchange; international health system comparison; cross-country comparison; institutional theory; resource-based view; RESOURCE-BASED VIEW; INSTITUTIONAL ISOMORPHISM; COMPETITIVE ADVANTAGE; ORGANIZATIONS; INNOVATIONS; TRANSFORMATION; COORDINATION; TECHNOLOGY; CHALLENGES; MANAGEMENT,Review
