title,authors,year,journal,doi,uid,countries,abstract,citations,references,keywords,subtypeDescription
Comparison of the Proportion and Healthcare Utilisation of Adult Patients with Uncontrolled Severe Asthma versus Non-Severe Asthma Seen in a Southeast Asian Hospital-Based Respiratory Specialist Clinic,"Tay, Tunn Ren; Wong, Hang Siang; Ihsan, Rosna; Toh, Hsiao Peng; Choo, Xuening; Tee, Augustine K. H.; ACAD MEDICINE SINGAPORE; Tay, Tunn Ren; Wong, Hang Siang; Ihsan, Rosna; Toh, Hsiao Peng; Choo, Xuening; Tee, Augustine K. H.; Tay, Tunn Ren; Tee, Augustine",2017,ANNALS ACADEMY OF MEDICINE SINGAPORE,,WOS:000410257100002,Singapore,"Introduction: Understanding the burden of uncontrolled severe asthma is essential for disease-targeted healthcare planning. There is a scarcity of data regarding the proportion, healthcare utilisation and costs of patients with uncontrolled severe asthma in Asia. This study aimed to plug the knowledge gap in this area. Materials and Methods: Consecutive patients with asthma managed in our respiratory specialist clinic were evaluated prospectively. Healthcare utilisation comprising unscheduled asthma-related primary care visits, emergency department (ED) visits and hospital admissions were obtained from the national health records system. We defined uncontrolled severe asthma as poor symptom control (Asthma Control Test score <20); 2 or more asthma exacerbations requiring >= 3 days of systemic corticosteroids in the previous year; 1 or more serious asthma exacerbation requiring hospitalisation in the previous year; or airflow limitation with pre-bronchodilator forced expiratory volume in 1 second (FEND <80% predicted despite high dose inhaled corticosteroids and another controller medication. Results: Of the 423 study participants, 49 (11.6%) had uncontrolled severe asthma. Compared to non-severe asthma, patients with uncontrolled severe asthma were older and more likely to be female and obese. They had a median of 2 (interquarfile range: 0 to 3) exacerbations a year, with 51% having >= 2 exacerbations in the past 12 months. They were responsible for 43.9% of the hospital admissions experienced by the whole study cohort. Mean annual direct asthma costs per patient was S$2952 +/- S$4225 in uncontrolled severe asthma vs S$841 +/- S$815 in non severe asthma. Conclusion: Approximately 12% of patients with asthma managed in a hospital-based respiratory specialist clinic in Singapore have uncontrolled severe asthma. They account for a disproportionate amount of healthcare utilisation and costs. Healthcare strategies targeting these patients are urgently needed.",15,0,Cost; Exacerbations; Singapore; DIFFICULT; COSTS; IDENTIFICATION; EPIDEMIOLOGY; PREVALENCE; BURDEN; TRENDS; COHORT; UK,Article
Trauma-Informed Approaches in Primary Healthcare and Community Mental Healthcare: A Mixed Methods Systematic Review of Organisational Change Interventions,"Lewis, Natalia V.; Bierce, Angel; Feder, Gene S.; Macleod, John; Turner, Katrina M.; Zammit, Stan; Dawson, Shoba; WILEY; Lewis, Natalia V.; Bierce, Angel; Feder, Gene S.; Macleod, John; Turner, Katrina M.; Dawson, Shoba; Lewis, Natalia V.; Feder, Gene S.; Turner, Katrina M.; Zammit, Stan; Lewis, Natalia V.; Feder, Gene S.; Turner, Katrina M.; Zammit, Stan; Macleod, John; Turner, Katrina M.; Zammit, Stan; Lewis, Natalia V.; Lewis, Natalia V.; Lewis, Natalia V.; Macleod, John; Lewis, Natalia V; Feder, Gene; Lewis, Natalia; Turner, Katrina; Dawson, Shoba; Zammit, Stanley",2023,HEALTH & SOCIAL CARE IN THE COMMUNITY,10.1155/2023/4475114,WOS:000991614100001,England; Wales,"A trauma-informed approach is a framework for organisational (synonym system) change interventions that address the universal prevalence and impact of trauma. This mixed methods systematic review assessed the effects of trauma-informed approaches on psychological, behavioural, and health outcomes in health-care providers and adult patients in primary care and community mental healthcare. We searched five databases and grey literature and consulted experts for reports published in January 1990 to June 2021. The quantitative descriptive and qualitative framework syntheses were integrated through a line of argument and mapped onto a logic model. We included six nonrandomised studies that evaluated eight interventions with varied theoretical developments, components, and outcomes. The most common components were budget allocation, workforce development, identification/response to violence and trauma, and evaluation. Evidence for intervention effects was limited and conflicting. Four studies reported improvement in provider readiness and sense of community, while three reported conflicting effects on provider behaviour regarding delivery of trauma-informed care. Four studies reported some improvement in patient readiness for disease management and access to services; however, the evidence for patient satisfaction was conflicting. Two studies found that patients and providers felt safe. While one study reported improvement in patient quality of life and chronic pain, another found no effect on substance use, and three studies reported conflicting effects on mental health. Intervention mechanisms included a package of varied components, tailoring to the organisational needs, capacities and preferences, staff education and self-care, creating safe environments, and shared decision-making. Intervention effects were moderated by contextual (health system values, policies, governance, business models, trauma-informed movement, organisational culture, and social determinants of health) and intervention factors (buy-in from all staff, collective learning through conversations, equal attention to staff and patient well-being, and sustainable funding). No studies measured adverse events/harm, cost effectiveness, or providers' health. We need more methodologically robust evaluations of trauma-informed organisational change interventions.",12,0,COOCCURRING DISORDERS; WOMEN; FRAMEWORK; OUTCOMES,Article
A machine learning approach for predictive models of adverse events following spine surgery,"Han, Summer S.; Azad, Tej D.; Suarez, Paola A.; Ratliff, John K.; ELSEVIER SCIENCE INC; Han, Summer S.; Azad, Tej D.; Suarez, Paola A.; Ratliff, John K.; Ratliff, John K.; Azad, Tej",2019,SPINE JOURNAL,10.1016/j.spinee.2019.06.018,WOS:000492692400003,USA,"BACKGROUND: Rates of adverse events following spine surgery vary widely by patient-, diagnosis-, and procedure-related factors. It is critical to understand the expected rates of complications and to be able to implement targeted efforts at limiting these events.",9,0,Spine surgery; Adverse event; Prediction model; Risk adjustment; EARLY COMPLICATIONS; PREOPERATIVE DIAGNOSIS; MEDICAID STATUS; RATES; RISK,Article
Strengths and limitations of early warning scores: A systematic review and narrative synthesis,"Downey, C. L.; Tahir, W.; Randell, R.; Brown, J. M.; Jayne, D. G.; PERGAMON-ELSEVIER SCIENCE LTD; Downey, C. L.; Tahir, W.; Jayne, D. G.; Randell, R.; Brown, J. M.; Downey, C. L.; Jayne, David; brown, julia; Tahir, Wasif; Downey, Candice",2017,INTERNATIONAL JOURNAL OF NURSING STUDIES,10.1016/j.ijnurstu.2017.09.003,WOS:000418627800010,England,"Background: Early warning scores are widely used to identify deteriorating patients. Whilst their ability to predict clinical outcomes has been extensively reviewed, there has been no attempt to summarise the overall strengths and limitations of these scores for patients, staff and systems. This review aims to address this gap in the literature to guide improvements for the optimization of patient safety.",7,0,Early warning scores; Limitations; Strengths; Systematic review; Vital signs; IN-HOSPITAL MORTALITY; CRITICALLY-ILL PATIENTS; LENGTH-OF-STAY; SCORING SYSTEM; VITAL SIGNS; MEDICAL PATIENTS; PHYSIOLOGICAL-PARAMETERS; CARDIOPULMONARY ARREST; EARLY RECOGNITION; CARE,Review
Linking State Intervention and Health Equity Differently: The Universalization of Health Care in South Korea and Taiwan,"Yi, Ilcheong; Sohn, Hyuk-Sang; Kim, Taekyoon; INST KOREAN STUDIES; Yi, Ilcheong; Sohn, Hyuk-Sang; Sohn, Hyuk-Sang; Kim, Taekyoon; Sohn, Hyuk-Sang; Sohn, Hyuk-Sang; Yi, Ilcheong; Yi, Ilcheong",2015,KOREA OBSERVER,,WOS:000362156200004,Switzerland; South Korea,"This study sets out to compare the process of the universalization of health insurance in South Korea and Taiwan, with a particular focus on the similarities of the commercial elements, such as the dominance of a private provider and user fees. What were both the constraints on, and the challenges to government policies to establish universal health insurance with commercial elements? Are there differences between the cases of these two countries? If there are, what caused those differences? What role have the state, market and civil society institutions played in shaping the health systems of these countries? To answer these questions, this paper analyzes the roles of historical institutional legacies, competitive election, active civil society, the education of doctors and nurses, the allocation of medical human resources in the labor market, the medical device industry, public and private hospitals and inter-sectoral policy measures, with a focus on the linkages within and between the health system and other sectors. It is fair to argue that the different modes of government interventions in various sectors and their varying degrees, in terms of enforcement, resulted in the universal health systems of the two countries being qualitatively different, and resulted in different consequences as regards health equity.",5,0,Universalization; Health System; National Health Insurance; State Intervention; Transformative Social Policy,Article
"The impact of <i>i</i>-PUSH on maternal and child health care utilization, health outcomes, and financial protection: study protocol for a cluster randomized controlled trial based on financial and health diaries data","Abajobir, Amanuel; de Groot, Richard; Wainaina, Caroline; Njeri, Anne; Maina, Daniel; Njoki, Silvia; Mbaya, Nelson; Donfouet, Hermann Pythagore Pierre; Pradhan, Menno; Janssens, Wendy; Sidze, Estelle M.; BMC; Abajobir, Amanuel; Wainaina, Caroline; Njeri, Anne; Maina, Daniel; Njoki, Silvia; Mbaya, Nelson; Donfouet, Hermann Pythagore Pierre; Sidze, Estelle M.; de Groot, Richard; Pradhan, Menno; Janssens, Wendy; Pradhan, Menno; Janssens, Wendy; Abajobir, Amanuel; Nderitu, Daniel Maina; Nderitu, Daniel; Sidze, Estelle; Abajobir, Amanuel Alemu; Janssens, Wendy",2021,TRIALS,10.1186/s13063-021-05598-7,WOS:000696216400006,Kenya; Netherlands,"Background: Universal Health Coverage ensures access to quality health services for all, with no financial hardship when accessing the needed services. Nevertheless, access to quality health services is marred by substantial resource shortages creating service delivery gaps in low-and middle-income countries, including Kenya. The Innovative Partnership for Universal Sustainable Healthcare (i-PUSH) program, developed by AMREF Health Africa and PharmAccess Foundation (PAF), aims to empower low-income women of reproductive age and their families through innovative digital tools. This study aims to evaluate the impact of i-PUSH on maternal and child health care utilization, women's health including their knowledge, behavior, and uptake of respective services, as well as women's empowerment and financial protection. It also aims to evaluate the impact of the LEAP training tool on empowering and enhancing community health volunteers' health literacy and to evaluate the impact of the M-TIBA health wallet on savings for health and health insurance uptake.",3,0,Maternal and child health; Health care utilization; Out-of-pocket health expenditures; Health insurance; Universal Health Coverage; Cluster randomized controlled trial; Digital tools; Mobile health; Kenya; INSURANCE,Article
Effectiveness of mechanical chest compression for out-of-hospital cardiac arrest patients in an emergency department,"Lin, Ching-Kuo; Huang, Mei-Chin; Feng, Yu-Tung; Jeng, Wei-Hsuan; Chung, Te-Cheng; Lau, Yu-Wa; Cheng, Kuang-I; ELSEVIER TAIWAN; Lin, Ching-Kuo; Jeng, Wei-Hsuan; Chung, Te-Cheng; Lau, Yu-Wa; Lin, Ching-Kuo; Jeng, Wei-Hsuan; Chung, Te-Cheng; Lau, Yu-Wa; Lin, Ching-Kuo; Jeng, Wei-Hsuan; Chung, Te-Cheng; Lau, Yu-Wa; Huang, Mei-Chin; Feng, Yu-Tung; Cheng, Kuang-I; Cheng, Kuang-I; Cheng, Kuang-I; Cheng, Kuang-I",2015,JOURNAL OF THE CHINESE MEDICAL ASSOCIATION,10.1016/j.jcma.2015.01.005,WOS:000357346300007,Taiwan,"Background: To increase the chance of restoring spontaneous circulation, cardiopulmonary resuscitation (CPR) with high-quality chest compressions is needed. We hypothesized that, in a municipal hospital emergency department, the outcome in nontraumatic out-of-hospital cardiac arrest patients treated with standard CPR followed by mechanical chest compression (MeCC) was not inferior to that followed by manual chest compression (MaCC). The purposes of the study were to test our hypothesis and investigate whether the use of MeCC decreased human power demands for CPR.",2,0,cardiac arrest; cardiopulmonary resuscitation; emergency department crowding; mechanical chest compression; CARDIOPULMONARY-RESUSCITATION; CARDIOVASCULAR CARE; QUALITY; SATISFACTION; ASSOCIATION; ADMISSION; SWEDEN; SYSTEM; TIMES,Article
Trauma-Informed Care: a Strategy to Improve Primary Healthcare Engagement for Persons with Criminal Justice System Involvement,"Chaudhri, Simran; Zweig, Kimberly Caramanica; Hebbar, Preetha; Angell, Sonia; Vasan, Ashwin; SPRINGER; Chaudhri, Simran; Zweig, Kimberly Caramanica; Hebbar, Preetha; Vasan, Ashwin; Chaudhri, Simran; Zweig, Kimberly Caramanica; Hebbar, Preetha; Angell, Sonia; Vasan, Ashwin; Angell, Sonia; Vasan, Ashwin; Vasan, Ashwin; Chaudhri, Simran",2019,JOURNAL OF GENERAL INTERNAL MEDICINE,10.1007/s11606-018-4783-1,WOS:000469884700057,USA,"Trauma is pervasive in the USA, but disproportionately present in individuals and communities burdened by poverty, violence, and exposure to the criminal justice system. Engagement in clinical care, especially community-based primary care, is particularly important in the immediate period following community reentry from incarceration, where opportunities to engage clients in services are essential for improved health and reduced recidivism. Trauma-informed care offers an important and innovative opportunity for healthcare systems and primary care providers to improve quality of care and the patient experience, thereby increasing longitudinal engagement of marginalized and hard-to-reach patient populations like persons with criminal justice system exposure. Trauma-informed care implementation includes educating providers and transforming practices to incorporate safety, trust, peer support, collaboration, empowerment, and cultural perspectives into everyday operations and care delivery. While comprehensive trauma-informed care involves transformation on a system level, trauma-informed approaches can also be adopted by the individual provider to improve the clinical consultation. By recognizing the role of trauma and its impact on an individual's physical, emotional, and behavioral health, providers and clients can build mutual trust, focus on individual growth, and begin to foster healing.",2,0,trauma; trauma-informed care; criminal justice; patient engagement; quality of care; implementation; primary care; POSTTRAUMATIC-STRESS-DISORDER; PERCEIVED DISCRIMINATION; CHILDHOOD; DEATH; EXPERIENCES; MORTALITY; EXPOSURE; RELEASE; IMPACT; PRISON,Article
Extracranial-Intracranial Bypass for Moyamoya Disease: The Influence of Racial and Socioeconomic Disparities on Outcomes - A National Inpatient Sample Analysis,"Rios-Zermeno, Jorge; Ghaith, Abdul Karim; El Hajj, Victor Gabriel; Soltan, Fatima; Greco, Elena; Michaelides, Loizos; Lin, Michelle P.; Meschia, James F.; Akinduro, Oluwaseun O.; Bydon, Mohamad; Bendok, Bernard R.; Tawk, Rabih G.; ELSEVIER SCIENCE INC; Rios-Zermeno, Jorge; Greco, Elena; Michaelides, Loizos; Akinduro, Oluwaseun O.; Tawk, Rabih G.; Ghaith, Abdul Karim; Bydon, Mohamad; Ghaith, Abdul Karim; Bydon, Mohamad; El Hajj, Victor Gabriel; Soltan, Fatima; Lin, Michelle P.; Meschia, James F.; Bendok, Bernard R.; Tawk, Rabih G.; Akinduro, Oluwaseun; Ghaith, Abdul; Lin, Michelle; Greco, Elena; Greco, Elena; El-Hajj, Victor Gabriel; Rios Zermeno, Jorge; El-Hajj, Victor Gabriel; Ghaith, Abdul Karim",2024,WORLD NEUROSURGERY,10.1016/j.wneu.2023.12.005,WOS:001192350900001,USA; Sweden; England,"- BACKGROUND: Extracranial-intracranial (EC-IC) bypass is an established therapeutic option for Moyamoya disease (MMD). However, little is known about the effects of racial and ethnic disparities on outcomes. This study assessed trends in EC-IC bypass outcomes among MMD patients stratified by race and ethnicity. - METHODS: Utilizing the US National Inpatient Sample, we identified MMD patients undergoing EC-IC bypass between 2002 and 2020. Demographic and hospital-level data were collected. Multivariable analysis was conducted to identify independent factors associated with outcomes. Trend analysis was performed using piecewise joinpoint regression. - RESULTS: Out of 14,062 patients with MMD, 1771 underwent EC-IC bypass. Of these, 60.59% were White, 17.56% were Black, 12.36% were Asians, 8.47% were Hispanic, and 1.02% were Native Americans. Nonhome discharge was noted in 21.7% of cases, with a 6.7% death and 3.8% postoperative neurologic complications rates. EC-IC bypass was more commonly performed in Native Americans (23.38%) and Asians (17.76%). Hispanics had the longest mean length of stay (8.4 days) and lower odds of nonhome discharge compared to Whites (odds ratio: 0.64; 95% confidence interval: 0.40-1.03; P [ 0.04). Patients with Medicaid, private insurance, self-payers, and insurance paid by other governments had lower odds of nonhome discharge than those with Medicare. - CONCLUSION: This study highlights racial and socioeconomic disparities in EC-IC bypass for patients with MMD. Despite these disparities, we did not find any significant difference in the quality of care. Addressing these disparities is essential for optimizing MMD outcomes.",2,0,Extracranial-intracranial bypass; Moyamoya; Social disparities; SURGICAL-MANAGEMENT; UNITED-STATES; CRANIOTOMY; DISCHARGE,Article
Preterm delivery among first-time Mexico-born mothers: a binational population-based comparison of deliveries in California and Mexico,"Guendelman, Sylvia; Thornton, Dorothy; Perez-Cuevas, Ricardo; Walsh, Julia; BMJ PUBLISHING GROUP; Guendelman, Sylvia; Walsh, Julia; Thornton, Dorothy; Walsh, Julia; Perez-Cuevas, Ricardo; Guendelman, Sylvia; Perez-Cuevas, Ricardo",2015,JOURNAL OF EPIDEMIOLOGY AND COMMUNITY HEALTH,10.1136/jech-2014-204020,WOS:000346161300022,USA; Mexico,"Background While studies have attributed the favourable birth outcomes of Mexico-born mothers in the USA to a 'healthy immigrant effect' that confers protection to immigrants, a comparison of immigrants with the source population in Mexico has been lacking. We compared preterm delivery (PTD) rates of Mexico-born immigrants who delivered in California with Mexico-born women who delivered in Mexico (WIMX) and with a subgroup who delivered in the five top immigrant sending states in Mexico.",2,0,LOW-BIRTH-WEIGHT; FOREIGN-BORN; US-BORN; PREGNANCY OUTCOMES; HEALTH; WOMEN; ETHNICITY; PARADOX; ORIGIN; ACCULTURATION,Article
