title,authors,year,journal,doi,uid,countries,abstract,citations,references,keywords,subtypeDescription
Comparison of the Proportion and Healthcare Utilisation of Adult Patients with Uncontrolled Severe Asthma versus Non-Severe Asthma Seen in a Southeast Asian Hospital-Based Respiratory Specialist Clinic,"Tay, Tunn Ren; Wong, Hang Siang; Ihsan, Rosna; Toh, Hsiao Peng; Choo, Xuening; Tee, Augustine K. H.; ACAD MEDICINE SINGAPORE; Tay, Tunn Ren; Wong, Hang Siang; Ihsan, Rosna; Toh, Hsiao Peng; Choo, Xuening; Tee, Augustine K. H.; Tay, Tunn Ren; Tee, Augustine",2017,ANNALS ACADEMY OF MEDICINE SINGAPORE,,WOS:000410257100002,Singapore,"Introduction: Understanding the burden of uncontrolled severe asthma is essential for disease-targeted healthcare planning. There is a scarcity of data regarding the proportion, healthcare utilisation and costs of patients with uncontrolled severe asthma in Asia. This study aimed to plug the knowledge gap in this area. Materials and Methods: Consecutive patients with asthma managed in our respiratory specialist clinic were evaluated prospectively. Healthcare utilisation comprising unscheduled asthma-related primary care visits, emergency department (ED) visits and hospital admissions were obtained from the national health records system. We defined uncontrolled severe asthma as poor symptom control (Asthma Control Test score <20); 2 or more asthma exacerbations requiring >= 3 days of systemic corticosteroids in the previous year; 1 or more serious asthma exacerbation requiring hospitalisation in the previous year; or airflow limitation with pre-bronchodilator forced expiratory volume in 1 second (FEND <80% predicted despite high dose inhaled corticosteroids and another controller medication. Results: Of the 423 study participants, 49 (11.6%) had uncontrolled severe asthma. Compared to non-severe asthma, patients with uncontrolled severe asthma were older and more likely to be female and obese. They had a median of 2 (interquarfile range: 0 to 3) exacerbations a year, with 51% having >= 2 exacerbations in the past 12 months. They were responsible for 43.9% of the hospital admissions experienced by the whole study cohort. Mean annual direct asthma costs per patient was S$2952 +/- S$4225 in uncontrolled severe asthma vs S$841 +/- S$815 in non severe asthma. Conclusion: Approximately 12% of patients with asthma managed in a hospital-based respiratory specialist clinic in Singapore have uncontrolled severe asthma. They account for a disproportionate amount of healthcare utilisation and costs. Healthcare strategies targeting these patients are urgently needed.",15,0,Cost; Exacerbations; Singapore; DIFFICULT; COSTS; IDENTIFICATION; EPIDEMIOLOGY; PREVALENCE; BURDEN; TRENDS; COHORT; UK,Article
Trauma-Informed Approaches in Primary Healthcare and Community Mental Healthcare: A Mixed Methods Systematic Review of Organisational Change Interventions,"Lewis, Natalia V.; Bierce, Angel; Feder, Gene S.; Macleod, John; Turner, Katrina M.; Zammit, Stan; Dawson, Shoba; WILEY; Lewis, Natalia V.; Bierce, Angel; Feder, Gene S.; Macleod, John; Turner, Katrina M.; Dawson, Shoba; Lewis, Natalia V.; Feder, Gene S.; Turner, Katrina M.; Zammit, Stan; Lewis, Natalia V.; Feder, Gene S.; Turner, Katrina M.; Zammit, Stan; Macleod, John; Turner, Katrina M.; Zammit, Stan; Lewis, Natalia V.; Lewis, Natalia V.; Lewis, Natalia V.; Macleod, John; Lewis, Natalia V; Feder, Gene; Lewis, Natalia; Turner, Katrina; Dawson, Shoba; Zammit, Stanley",2023,HEALTH & SOCIAL CARE IN THE COMMUNITY,10.1155/2023/4475114,WOS:000991614100001,England; Wales,"A trauma-informed approach is a framework for organisational (synonym system) change interventions that address the universal prevalence and impact of trauma. This mixed methods systematic review assessed the effects of trauma-informed approaches on psychological, behavioural, and health outcomes in health-care providers and adult patients in primary care and community mental healthcare. We searched five databases and grey literature and consulted experts for reports published in January 1990 to June 2021. The quantitative descriptive and qualitative framework syntheses were integrated through a line of argument and mapped onto a logic model. We included six nonrandomised studies that evaluated eight interventions with varied theoretical developments, components, and outcomes. The most common components were budget allocation, workforce development, identification/response to violence and trauma, and evaluation. Evidence for intervention effects was limited and conflicting. Four studies reported improvement in provider readiness and sense of community, while three reported conflicting effects on provider behaviour regarding delivery of trauma-informed care. Four studies reported some improvement in patient readiness for disease management and access to services; however, the evidence for patient satisfaction was conflicting. Two studies found that patients and providers felt safe. While one study reported improvement in patient quality of life and chronic pain, another found no effect on substance use, and three studies reported conflicting effects on mental health. Intervention mechanisms included a package of varied components, tailoring to the organisational needs, capacities and preferences, staff education and self-care, creating safe environments, and shared decision-making. Intervention effects were moderated by contextual (health system values, policies, governance, business models, trauma-informed movement, organisational culture, and social determinants of health) and intervention factors (buy-in from all staff, collective learning through conversations, equal attention to staff and patient well-being, and sustainable funding). No studies measured adverse events/harm, cost effectiveness, or providers' health. We need more methodologically robust evaluations of trauma-informed organisational change interventions.",12,0,COOCCURRING DISORDERS; WOMEN; FRAMEWORK; OUTCOMES,Article
Preterm delivery among first-time Mexico-born mothers: a binational population-based comparison of deliveries in California and Mexico,"Guendelman, Sylvia; Thornton, Dorothy; Perez-Cuevas, Ricardo; Walsh, Julia; BMJ PUBLISHING GROUP; Guendelman, Sylvia; Walsh, Julia; Thornton, Dorothy; Walsh, Julia; Perez-Cuevas, Ricardo; Guendelman, Sylvia; Perez-Cuevas, Ricardo",2015,JOURNAL OF EPIDEMIOLOGY AND COMMUNITY HEALTH,10.1136/jech-2014-204020,WOS:000346161300022,USA; Mexico,"Background While studies have attributed the favourable birth outcomes of Mexico-born mothers in the USA to a 'healthy immigrant effect' that confers protection to immigrants, a comparison of immigrants with the source population in Mexico has been lacking. We compared preterm delivery (PTD) rates of Mexico-born immigrants who delivered in California with Mexico-born women who delivered in Mexico (WIMX) and with a subgroup who delivered in the five top immigrant sending states in Mexico.",2,0,LOW-BIRTH-WEIGHT; FOREIGN-BORN; US-BORN; PREGNANCY OUTCOMES; HEALTH; WOMEN; ETHNICITY; PARADOX; ORIGIN; ACCULTURATION,Article
Pediatric and Adult Physician Networks in Affordable Care Act Marketplace Plans,"Wong, Charlene A.; Kan, Kristin; Cidav, Zuleyha; Nathenson, Robert; Polsky, Daniel; AMER ACAD PEDIATRICS; Wong, Charlene A.; Wong, Charlene A.; Cidav, Zuleyha; Nathenson, Robert; Polsky, Daniel; Cidav, Zuleyha; Kan, Kristin; Kan, Kristin; Kan, Kristin; Nathenson, Robert; Cidav, Zuleyha; Kan, Kristin",2017,PEDIATRICS,10.1542/peds.2016-3117,WOS:000398602400033,USA,OBJECTIVES: To describe and compare pediatric and adult specialty physician networks in marketplace plans.,2,0,HEALTH-CARE; SPECIALTY CARE; ACCESS; INSURANCE; CHILDREN; WORKFORCE; ADEQUACY; COVERAGE; QUALITY; NARROW,Article
"Impact of Care Coordination on 30-Day Readmission, Mortality, and Costs for Heart Failure","Chang, Guann-Ming; Tung, Yu-Chi; MANAGED CARE & HEALTHCARE COMMUNICATIONS LLC; Tung, Yu-Chi; Tung, Yu-Chi; Tung, Yu-Chi",2024,AMERICAN JOURNAL OF MANAGED CARE,10.37765/ajmc.2024.89533,WOS:001416139700002,Taiwan,"OBJECTIVES: Although coordination of care has become the main focus of health care reform efforts to improve outcomes and decrease costs, limited information is available concerning the impact of care coordination on 30-day outcomes and costs. We used nationwide, population-based data to examine the influence of care coordination on 30-day readmission, mortality, and costs for heart failure (HF).STUDY DESIGN: We analyzed 20,713 patients with HF 18 years or older discharged from hospitals in 2016 using Taiwan's National Health Insurance Research Database. The coordination of care among a patient's outpatient physicians was measured with care density.METHODS: Multilevel regression models were used after adjustment for patient and hospital characteristics to explore the impact of care density on 30-day readmission, mortality, and costs.RESULTS: Patients with high care coordination had lower odds of 30-day readmission (OR, 0.90; 95% CI, 0.82-0.98) and mortality (OR, 0.83; 95% CI, 0.70-0.99) and lower costs (cost ratio [CR], 0.84; 95% CI, 0.79-0.90) compared with those with low care coordination. Patients with medium care coordination had lower costs (CR, 0.92; 95% CI, 0.86-0.98) than those with low care coordination. CONCLUSIONS: High care coordination is associated with decreased 30-day readmission, mortality, and costs for HF. Enhancing coordination of care has the potential to increase the value of care. It is important to monitor coordination of care and develop strategies to maintain high levels of care coordination for HF.",1,0,PROFILING HOSPITAL PERFORMANCE; QUALITY-OF-CARE; AFTER-DISCHARGE; OUTCOMES; CONTINUITY; RATES; ASSOCIATION; DEATH,Article
Reflections on current status of blood transfusion transplant viral safety in UK/Europe and on novel strategies for enhancing donors/recipients healthcare in promising era of advanced cell therapy/regenerative medicine,"Seghatchian, Jerard; PERGAMON-ELSEVIER SCIENCE LTD; Seghatchian, Jerard; Seghatchian, Jerard",2019,TRANSFUSION AND APHERESIS SCIENCE,10.1016/j.transci.2019.06.007,WOS:000484872100039,England,"In this report, a personal view is provided on the current achievements and challenges with unresolved issues regarding the viral and transfusion safety of blood in the UK and Europe. Advances in plasma fractionation processes and the use of alternative strategies to reshape treatment of bleeding disorders are also explored. The relationships between the cellular storage lesion and transfusion outcomes using newer tools such as -omics are explored. The use of some newer developments in the promising areas of diagnosis, development, and research [DDR] strategies for improving healthcare of both donors and recipients are discussed using the current transfusion transplant practices in the UK as an example. Other key sections include: a concise presentation of the ""Big Six Parameters"" for enhancing the safety of transfusion / transplant practice; surmounting the unresolved issues of blood viral safety and food borne diseases, the circulatory role of the donor-gut microbiome in transfusion-induced immunomodulation, and the use of extracellular vesicles [EV] in routine aspects of the cell lesion and in the clinical performance of red cells. These topics are discussed together with the concept of using cell microparticles in drug delivery and the promising role of novel blood products such as serum eye drops and platelet lysates in regenerative medicine. It is hoped that the information conveyed in this overview would be of educational value and serve the transfusion/ transplant services and those involved in related clinical-DDR strategies worldwide and cultivate future talents capable of serving patients.",1,0,Transfusion transplant organs tissues; Blood/transfusion safety; Food borne diseases TTI prion; UK DDR strategies; Quality/safety improvements; Universal LD/VIP; Uniformity standardisation harmonisation; Donor recipient process products' variabilities; Microparticles immune modulation drug delivery; Clotting concentrates/antibodies; Young vs aged BBC; Uraemia Pedi Thalsseamia Sickle diseases; Artificial intelligent; SERUM EYE DROPS; DRUG-DELIVERY; STORAGE; COMPONENTS; EFFICACY,Review
Clinical and cost-effectiveness analysis of mFOLOFX6 with or without a targeted drug among patients with metastatic colorectal cancer: inverse probability of treatment weighting,"Tsai, Hsiang-Lin; Shi, Hon-Yi; Chen, Yen-Cheng; Huang, Ching-Wen; Su, Wei-Chih; Chang, Tsung-Kun; Li, Ching-Chun; Chen, Po-Jung; Yeh, Yung-Sung; Yin, Tzu-Chieh; Wang, Jaw-Yuan; E-CENTURY PUBLISHING CORP; Tsai, Hsiang-Lin; Chen, Yen-Cheng; Huang, Ching-Wen; Su, Wei-Chih; Chang, Tsung-Kun; Li, Ching-Chun; Chen, Po-Jung; Yin, Tzu-Chieh; Wang, Jaw-Yuan; Tsai, Hsiang-Lin; Huang, Ching-Wen; Wang, Jaw-Yuan; Shi, Hon-Yi; Shi, Hon-Yi; Shi, Hon-Yi; Shi, Hon-Yi; Chen, Yen-Cheng; Su, Wei-Chih; Chang, Tsung-Kun; Wang, Jaw-Yuan; Chang, Tsung-Kun; Yeh, Yung-Sung; Yeh, Yung-Sung; Yeh, Yung-Sung; Yin, Tzu-Chieh; Yin, Tzu-Chieh; Wang, Jaw-Yuan; Wang, Jaw-Yuan; Wang, Jaw-Yuan; Wang, Jaw-Yuan; Wang, Jaw-Yuan; Wang, Jaw-Yuan; Wang, Jaw-Yuan; Wang, Jaw-Yuan; Wang, Jaw-Yuan; Shi, Hon-Yi; Wang, Xiuxing",2023,AMERICAN JOURNAL OF CANCER RESEARCH,,WOS:001108758900011,Taiwan,"This study investigated the cost-effectiveness and quality of life (QoL) within 1 year of receiving mFOLOFX6 with or without a targeted drug (bevacizumab or ramucirumab) as second-line treatment among patients with metastatic colorectal cancer (mCRC) following the failure of FOLFIRI + bevacizumab as first-line treatment. This prospective cohort study included patients who received a diagnosis of mCRC between March 2015 and May 2020. QoL was evaluated before treatment and at 6 months and 1 year posttreatment. All related variables were controlled using the inverse probability of treatment weighting method. Generalized estimating equations with the differencein-difference method was used to explore changes in QoL. The incremental cost-utility ratio (ICUR) of the two groups was simulated using the annual-cycle Markov decision tree model. Finally, 39 and 76 patients were included in the targeted and nontargeted agent groups, respectively. At 6 months after treatment, QoL of the two groups improved significantly, but the targeted agent group had significantly better QoL than did the nontargeted agent group at 1 year posttreatment (P < 0.05). When the time frame was set to 20 years, the ICUR of the targeted agent group compared with the nontargeted agent group was US$32,052 per quality-adjusted life years. Addition of a targeted drug to the second-line mFOLOFX6 regimen not only improved the patients' QoL but was also more cost effective when the willingness-to-pay threshold was set at US$33,004 (the per capita gross domestic product of Taiwan). These patients should be reimbursed for these targeted agents by the National Health Insurance scheme in Taiwan.",1,0,Metastatic colorectal cancer (mCRC); mFOLFOX6; quality of life (QoL); cost-effective; Markov model; FLUOROURACIL-BASED THERAPY; IRINOTECAN; COMBINATION; BEVACIZUMAB; FOLFIRI; RAMUCIRUMAB; OXALIPLATIN; AFLIBERCEPT; IMPACT; INDEX,Article
The effectiveness of case management and nursing counselling among caregivers of patients with dementia: A pilot study,"Yu, Mei-Ling; Chen, Hung Ju; Chen, Kee-Hsin; Sung, Jia-Ying; WILEY; Yu, Mei-Ling; Chen, Hung Ju; Sung, Jia-Ying; Yu, Mei-Ling; Chen, Kee-Hsin; Chen, Hung Ju; Sung, Jia-Ying; Chen, Kee-Hsin; Sung, Jia-Ying; Sung, Jia-Ying; yu, meiling; Chen, Kee-Hsin; Chen, Kee-Hsin",2024,INTERNATIONAL JOURNAL OF HEALTH PLANNING AND MANAGEMENT,10.1002/hpm.3838,WOS:001295552700001,Taiwan,"According to the data released by the Taiwan Ministry of Health and Welfare in 2021, in 2019, 235,000 patients sought medical treatment for dementia-related diseases at the National-Health-Insurance-participating hospitals and clinics for more than three outpatient visits or had been hospitalised, and the number had increased by 15,000 from the previous year (Ministry of Health and Welfare, 2021). This implies that families are affected, causing tremendous physical, psychological, and economic pressures and burdens on the caregivers and families of the patient. The estimated social cost of caring for dementia families increased from $1.3 trillion in 2019 to $2.8 trillion in 2030 (World Health Organisation, 2021). Thus, long-term care for the dementia population has become a critical issue in medical care and social services in Taiwan and worldwide. In 2017, Taiwan Ministry of Health and Welfare has been starting Dementia care policy with 10 years long-term care plan through set up dementia care centre. The purpose of this study is to investigate the effectiveness of dementia care centre for reducing the burden and improving the quality of life for caregivers of dementia patients. This pilot study adopts a quasi-experimental research design and uses purposive sampling to select in house informal caregivers of dementia patients who are part of a dementia collaborative care programme at a medical centre in the northern region and were willing to participate in this study. Upon enrolment in the study, subjects were given a pre-test, followed by a one-hour face-to-face nursing consultation and assessment after 2 weeks. Subsequently, a telephone nursing consultation was conducted once a month for 3 months. Two weeks after completing all counselling sessions, a post-test was administered to measure the caregiver burden with The Chinese version of the Caregiver Burden Inventory and the quality of life for caregivers with The 'Chinese Health Questionnaire CHQ-12'. After providing case management and nursing counselling, the total caregiver burden score significantly decreased from an average of 40.1 (SD = 21.6) at the pre-test to an average of 38.6 (SD = 21.4) at the post-test, reaching statistical significance (p < 0.01). The results of this study showed that providing dementia caregivers with case management and nursing consultation services helps improve the overall caregiver burden (particularly emotional burden and physical burden) as well as the health questionnaire scores. However, the social burden and time burden did not improve after receiving case management and counselling among caregivers; instead, post-test scores of these aspects were significantly higher.",0,0,caregiver burden; case management; dementia; nursing counselling; BURDEN,Article
Challenges and conditions for successfully implementing and adopting the telematics infrastructure in German outpatient healthcare: A qualitative study applying the NASSS framework,"Nordmann, Kim; Sauter, Stefanie; Redlich, Marie-Christin; Moebius-Lerch, Patricia; Schaller, Michael; Fischer, Florian; SAGE PUBLICATIONS LTD; Nordmann, Kim; Sauter, Stefanie; Redlich, Marie-Christin; Moebius-Lerch, Patricia; Schaller, Michael; Fischer, Florian; Nordmann, Kim; Nordmann, Kim; Schneider, Stefan",2024,DIGITAL HEALTH,10.1177/20552076241259855,WOS:001277803100001,Germany,"Background Germany's healthcare system provides high-quality, universal health coverage to almost all residents. However, a major challenge lies in the strong separation of healthcare structures, which hinders efficient interprofessional and intersectoral communication and collaboration. The mandatory nationwide implementation of the telematics infrastructure may offer a solution to enhance healthcare professionals' communication and collaboration.Objective Our study aims to elicit participants' perceptions of and attitudes towards the implementation and usage of the telematics infrastructure in fostering interprofessional communication and collaboration between home-care nursing services and general practitioner practices.Methods We conducted interviews with seven members of general practitioner practices and 10 in home-care nursing services. Using thematic content analysis, we identified five themes, of which four along with 10 subthemes were integrated into Greenhalgh et al.'s 'nonadoption, abandonment, scale-up, spread and sustainability' framework.Results Participants recognised the potential of digital technology to enhance interprofessional communication and collaboration. However, this potential largely depended on individual healthcare actors' willingness to seek information, invest and adapt. Attitudes towards the telematics infrastructure varied widely from hopeful confidence to outright rejection. Home-care nursing services generally viewed the telematics infrastructure with optimism, while general practitioners expressed reservations, particularly due to technological disruptions, lack of user-friendliness, and organisational structures.Conclusion Our findings highlight the potential of digital technology to enhance interprofessional communication. Successful implementation of technological innovations, however, goes beyond technological aspects and involves social, political and organisational processes. Future implementation strategies for such innovations in healthcare should involve users early and ensure clear communication.",0,0,Nurses; general practitioner; communication; collaboration; ambulant care; health telematics; eHealth strategy; INTERPROFESSIONAL COLLABORATION; INFORMATION; MANAGEMENT,Article
The Impacts of Medicaid Expansion on Rural Low-Income Adults: Lessons From the Oregon Health Insurance Experiment,"Allen, Heidi; Wright, Bill; Broffman, Lauren; SAGE PUBLICATIONS INC; Allen, Heidi; Wright, Bill; Broffman, Lauren; Allen, Heidi",2018,MEDICAL CARE RESEARCH AND REVIEW,10.1177/1077558716688793,WOS:000432238900005,USA,"Medicaid expansions through the Affordable Care Act began in January 2014, but we have little information about what is happening in rural areas where provider access and patient resources might be more limited. In 2008, Oregon held a lottery for restricted access to its Medicaid program for uninsured low-income adults not otherwise eligible for public coverage. The Oregon Health Insurance Experiment used this opportunity to conduct the first randomized controlled study of a public insurance expansion. This analysis builds off of previous work by comparing rural and urban survey outcomes and adds qualitative interviews with 86 rural study participants for context. We examine health care access and use, personal finances, and self-reported health. While urban and rural populations have unique demographic profiles, rural populations appear to have benefited from Medicaid as much as urban. Qualitative interviews revealed the distinctive challenges still facing low-income uninsured and newly insured rural populations.",0,0,medicaid; rural; access; Affordable Care Act; URBAN DISPARITIES; UNITED-STATES; CARE; ACCESS; US; PATTERNS; QUALITY; STAGE; AREAS,Article
