title,authors,year,journal,doi,uid,countries,abstract,citations,references,keywords,subtypeDescription
Maturity assessment and maturity models in health care: A multivocal literature review,"Tarhan, Ayca Kolukisa; Garousi, Vahid; Turetken, Oktay; Soylemez, Mehmet; Garossi, Sonia; SAGE PUBLICATIONS LTD; Tarhan, Ayca Kolukisa; Soylemez, Mehmet; Garousi, Vahid; Turetken, Oktay; Garossi, Sonia; Tarhan, Ayca Kolukisa; KOLUKISA, AYÇA; Garousi, Vahid; Turetken, Oktay; Turetken, Oktay",2020,DIGITAL HEALTH,10.1177/2055207620914772,WOS:000523514600001,Turkey; North Ireland; Netherlands; England,Background,0,0,Maturity models; maturity assessment; health care; multivocal literature review; WEB-OF-SCIENCE; GOOGLE-SCHOLAR; PROCESS MANAGEMENT; GREY LITERATURE; INFORMATION; GUIDELINES; SCOPUS,Review
Potential Dietary Supplement-drug Interactions: Fat-soluble Vitamins,"Mahmood, Batool I.; Alassaf, Fawaz A.; COLEGIO FARMACEUTICOS PROVINCIA DE BUENOS AIRES; Mahmood, Batool I.; Alassaf, Fawaz A.; Alassaf, Fawaz A.; Alassaf, Fawaz A.; Alassaf, Fawaz A.; Alassaf, Fawaz",2023,LATIN AMERICAN JOURNAL OF PHARMACY,N/A,WOS:001155943900001,Iraq,"Dietary supplement marketing and use have exploded in popularity over the last two decades. Dietary supplements can interact with prescription and over-the-counter drugs in various ways. Some supplements can interfere with the way a drug is absorbed or metabolized, or they can increase or decrease the effectiveness of a drug. Some drugs can affect the metabolism of supplements, making them more or less potent. The existing clinical data concerning dietary supplement adverse events and drug interactions can be ambiguous and often contradictory, which makes it difficult for healthcare providers to counsel patients about supplements. This review was designed based on data obtained from relevant online research articles using the phrases dietary supplements -drug interactions, and fat-soluble vitamins up to June 2022 on PubMed and Google Scholar. The goal of this review was to look at the known fat-soluble vitamin supplement -drug interactions. Such an overview would make it easier for healthcare providers to communicate these documented interactions and contraindications to their patients, preventing significant adverse events and improving therapeutic outcomes.",0,0,supplement-drug interactions; vitamin A; vitamin D; vitamin E; vitamin K; SAFETY; MULTIVITAMIN; EFFICACY; ADULTS,Article
"Bromelain-based enzymatic burn debridement: A systematic review of clinical studies on patient safety, efficacy and long-term outcomes","Shoham, Yaron; Gasteratos, Konstantinos; Singer, Adam J.; Krieger, Yuval; Silberstein, Eldad; Goverman, Jeremy; WILEY; Shoham, Yaron; Krieger, Yuval; Silberstein, Eldad; Gasteratos, Konstantinos; Singer, Adam J.; Goverman, Jeremy; Shoham, Yaron; Singer, Adam; Krieger, Yuval; Shoham, Yaron; Shoham, Yaron; Goverman, Jeremy",2023,INTERNATIONAL WOUND JOURNAL,10.1111/iwj.14308,WOS:001029373700001,Israel; Greece; USA,"In 2012 the European Medicines Agency approved a pineapple stem-derived Bromelain-based debridement concentrate of proteolytic enzymes (NexoBrid & REG;, MediWound Ltd, Yavne, Israel) for adult deep burns. Over 10 000 patients have been successfully treated with NexoBrid & REG; globally, including in the US. The aim of our study is to perform a systematic review of the current literature on Nexobrid & REG; outcomes. We conducted a literature search in PubMed, Google Scholar, Embase, and other search engines (2013-2023). The online screening process was performed by two independent reviewers with the Covidence tool. The protocol was reported using the Preferred Reporting Items for Systematic Review and Meta-Analyses, and it was registered at the International Prospective Register of Systematic Reviews of the National Institute for Health Research. We identified 103 relevant studies of which 34 were found eligible. The included studies report the positive effects of Nexobrid & REG; on burn debridement, functional and cosmetic outcomes, scarring, and quality of life. Also, they validate the high patient satisfaction thanks to enhanced protocols of analgosedation and/or locoregional anaesthesia during Bromelain-based debridement. Two studies investigate potential risks (coagulopathy, burn wound infection) which concluded there is no strong evidence of these adverse events. NexoBrid & REG; is a safe, selective, non-surgical eschar removal treatment modality. The benefits of Bromelain-based debridement are faster debridement and healing times, reduced operations, length of stay, cases of sepsis, blood transfusions, and prevention of compartment syndrome. Existing evidence suggests that the indications and the role of Bromelain-based debridement are expanding to cover ""off-label"" cases with significant benefits to the global healthcare economy.",0,0,bromelain; enzymatic debridement; learning curve; NexoBrid; review; selective; spontaneous healing; INDUCED COMPARTMENT SYNDROME; EARLY EXCISION; ESCHAR REMOVAL; UNITED-KINGDOM; NEXOBRID(R); MANAGEMENT; AGENT; TISSUE; DEEP; SKIN,Review
Artificial Intelligence in Business-to-Customer Fashion Retail: A Literature Review,"Goti, Aitor; Querejeta-Lomas, Leire; Almeida, Aitor; de la Puerta, Jose Gaviria; Lopez-de-Ipina, Diego; MDPI; Goti, Aitor; Querejeta-Lomas, Leire; Almeida, Aitor; de la Puerta, Jose Gaviria; Lopez-de-Ipina, Diego; Goti, Aitor; Lopez-de-Ipina, Diego; Almeida, Aitor; Ferreira, Manuel Alberto M.; López-de-Ipiña, Diego; Goti, Aitor",2023,MATHEMATICS,10.3390/math11132943,WOS:001028379300001,Spain,"Many industries, including healthcare, banking, the auto industry, education, and retail, have already undergone significant changes because of artificial intelligence (AI). Business-to-Customer (B2C) e-commerce has considerably increased the use of AI in recent years. The purpose of this research is to examine the significance and impact of AI in the realm of fashion e-commerce. To that end, a systematic review of the literature is carried out, in which data from the Web Of Science and Scopus databases were used to analyze 219 publications on the subject. The articles were first categorized using AI techniques. In the realm of fashion e-commerce, they were divided into two categories. These categorizations allowed for the identification of research gaps in the use of AI. These gaps offer potential and possibilities for further research.",0,0,AI; fashion; business-to-customer; retail; NEURAL-NETWORKS; MODEL; DESIGN; SYSTEM; RECOMMENDATIONS; GENERATION; COVID-19; BEHAVIOR; IMPACT; ONLINE,Review
Health technology assessment for digital health Technologies in India: a framework for action,"John, Denny; Majumdar, Abhirup Dutta; Pillai, Rakesh N.; Khatoon, Sajda; Bhattacharya, Paramita; Mukherjee, Nirmalya; Menon, Jaideep C.; Pavithran, K.; Kumar, Anand; Jakovljevic, Mihajlo; CAMBRIDGE UNIV PRESS; John, Denny; Majumdar, Abhirup Dutta; Pillai, Rakesh N.; Khatoon, Sajda; Bhattacharya, Paramita; Mukherjee, Nirmalya; Menon, Jaideep C.; Pavithran, K.; Kumar, Anand; Jakovljevic, Mihajlo; John, Denny; John, Denny; Dutta Majumdar, Abhirup; Pavithran, Keechilat; Jakovljevic, Mihajlo",2024,INTERNATIONAL JOURNAL OF TECHNOLOGY ASSESSMENT IN HEALTH CARE,10.1017/S0266462324000345,WOS:001370411200001,India; Serbia,"Objectives The aim of this study is to understand the path for establishing digital health technologies-health technology assessment (DHT-HTA) in India.Methods A rapid review of HTA and DHT frameworks on PubMed (MEDLINE) and Google Scholar was conducted to identify DHT-HTA guidelines, and HTA processes in India. MS-Excel template was created with key domains for assessing DHT in resource-constrained settings based on studies and reports identified. Responses received from seventeen experts with varying expertise in DHT, HTA, clinical, and research were contacted using an online form. Following the principles of qualitative research rooted on grounded theory approach, themes and domains were derived for a framework which was again circulated through participants. Weightage for each theme was assigned based on the frequency of responses and qualifiers were used to interpret results. Inductively derived themes from these responses were clubbed together to identify macro-level systems requirements, and finally pre-requisites for setting up DHT-HTA framework was synthesized.Results HT are commonly perceived by experts (64.7 percent participants) as a technology strictly connected to health information. Real-world data (i.e., electronic health data) are recognized as a relevant tool in support of decision-making for clinical and managerial levels. Experts identified some pre-requisites for the establishment of DHT-HTA in the country in terms of infrastructure, contextual factors, training, finance, data security, and scale-up.Conclusion Our research not only identified the pre-requisites for the adoption of a DHT-HTA framework for India, but confirmed the need to address DHT-HTA's acceptability among. Hospitals and health insurance providers.",0,0,digital health; health technology assessment; decision-making; India; FUTURE; HTA,Article
A Machine Learning Model Based on Health Records for Predicting Recurrence After Microwave Ablation of Hepatocellular Carcinoma,"An, Chao; Yang, Hongcai; Yu, Xiaoling; Han, Zhi-Yu; Cheng, Zhigang; Liu, Fangyi; Dou, Jianping; Li, Bing; Li, Yansheng; Li, Yichao; Yu, Jie; Liang, Ping; DOVE MEDICAL PRESS LTD; An, Chao; Yang, Hongcai; Yu, Xiaoling; Han, Zhi-Yu; Cheng, Zhigang; Liu, Fangyi; Dou, Jianping; Yu, Jie; Liang, Ping; An, Chao; Yang, Hongcai; Yu, Xiaoling; Han, Zhi-Yu; Cheng, Zhigang; Liu, Fangyi; Dou, Jianping; Yu, Jie; Liang, Ping; Yang, Hongcai; Li, Bing; Li, Yansheng; Li, Yichao; Yu, Jie; Liang, Ping; Yu, Jie; Liang, Ping; , Chao; Li, Yansheng; An, Chao; Cheng, Zhigang",2022,JOURNAL OF HEPATOCELLULAR CARCINOMA,10.2147/JHC.S358197,WOS:000836361900001,Peoples R China,Background and Aim: Early recurrence (ER) presents a challenge for the survival prognosis of patients with hepatocellular carcinoma (HCC). The aim of this study was to investigate machine learning (ML) models using clinical data for predicting ER after microwave ablation (MWA).,0,0,microwave ablation; hepatocellular carcinoma; recurrence; machine learning; risk stratification,Article
"Cyber-Physical-Social Systems: Taxonomy, Challenges, and Opportunities","Pasandideh, Shabnam; Pereira, Pedro; Gomes, Luis; IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC; Pasandideh, Shabnam; Pereira, Pedro; Gomes, Luis; Pasandideh, Shabnam; Pereira, Pedro; Pasandideh, Shabnam; Pasandideh, Shabnam; Gomes, Luis; Gomes, Luis",2022,IEEE ACCESS,10.1109/ACCESS.2022.3167441,WOS:000788974000001,Portugal,"A Cyber-Physical-Social System (CPSS) is a novel paradigm of cyber-physical and cyber-social systems with a highly inhomogeneous and distributed nature integrating dynamic stochastic hybrid systems including computation, communication, sensing and actuation, and social systems.Their usage can be traced to homes such as smart homes, manufacturers in Industry 5.0, critical infrastructures, smart cities, medicines, healthcare systems, and many other examples. They can simplify and speed up tasks and provide a higher level of control and accessibility. In this study, we provide a systematic review of the definition of CPSS,and an uniform definition of CPSS. We propose a novel taxonomy to define CPSS to help future researches and system designing. The CPSS taxonomy aims to provide a comprehensive and understating of CPSS characteristics and aspects from system-to-system point of view. Furthermore, we discuss about social integration in CPSS and their relationships with CPS. We mention issues and opportunities in CPSS in the designing and implementing phases.",0,0,Taxonomy; Social networking (online); Business; Cyberspace; Social computing; Smart cities; Computational modeling; System of systems; taxonomy cyber-physical-social systems; human-in-the-loop; social systems; SMART CITIES; DATA FUSION; FRAMEWORK; FUTURE; OPTIMIZATION; SENSORS; STATE; CITY; CPS,Article
Natural Plant Products for he Treatmentof Neurological Disorders: Current Knowledge,"Parvez, Mohammad Khalid; BENTHAM SCIENCE PUBL LTD; Parvez, Mohammad Khalid; Parvez, Mohammad Khalid; Parvez, Prof. Mohammad",2018,CURRENT DRUG METABOLISM,10.2174/1389200218666170710190249,WOS:000432709500006,Saudi Arabia,"Background: In recent decades, complementary and alternative medicine (CAM) has become very popular in the treatment of several chronic diseases. Natural products as one of the CAM modalities offer potential opportunities to discover lead compounds for novel drug development. The use of CAM or natural products in the prevention of neurodegenerative diseases is comparatively a newer area.",0,0,Complementary and alternative medicine; natural products; neurological disorders; neuroprotection; Parkinson's Disease; Alzheimer's disease; TANSHINONE IIA; PARKINSONS-DISEASE; OXIDATIVE STRESS; NEUROPATHIC PAIN; ISCHEMIC-STROKE; UP-REGULATION; PICROSIDE-II; MPTP MODEL; CAFFEINE; GINSENG,Review
Awareness about barriers to medication adherence in cardiovascular patients and strategies used in clinical practice by Portuguese clinicians: a nationwide study,"Aguiar, Joao; Ribeiro, Manuel; Pedro, Ana Rita; Martins, Ana Paula; da Costa, Filipa Alves; SPRINGER; Aguiar, Joao; da Costa, Filipa Alves; Ribeiro, Manuel; Pedro, Ana Rita; Martins, Ana Paula; da Costa, Filipa Alves; da Costa, Filipa Alves; da Costa, Filipa Alves; Ribeiro, Manuel; Pedro, Ana Rita; Aguiar, João; Costa, Filipa; Costa, FA; Correia, Ana",2021,INTERNATIONAL JOURNAL OF CLINICAL PHARMACY,10.1007/s11096-020-01174-2,WOS:000584018700001,Portugal,"Background Although much is known about cardiovascular patients' medication adherence, the extent to which clinicians perceive non-adherence as a barrier in clinical practice is little explored. Objective To evaluate knowledge and awareness about potential barriers to medication adherence, and to evaluate strategies used in clinical practice by Portuguese clinicians on how to foster medication adherence of patients undergoing secondary cardiovascular prevention. Setting Nominal Group Technique (NGT) at the University of Lisbon; online survey addressed to physicians working in primary and secondary care in Portugal. Method A narrative literature review was conducted in Pubmed to identify studies describing interventions targeted at physicians to manage medication adherence. The NGT included 12 allied healthcare professionals with recognized expertise in medication adherence and was organised in four phases, resulting in survey development. The survey was used in a cross-sectional national study where clinicians reported their knowledge and perceptions about patients' medication adherence and their daily practice. Main outcome measures Knowledge and awareness about barriers to medication adherence; and practice patterns. Results A total of 296 papers were identified, 26 of which were included. Four main topics were selected to be used in the NGT: adherence determinants, detecting non-adherence, fostering adherence, and educating physicians. NGT resulted in a survey, reaching 451 physicians, mostly practicing in primary care. Most had specific education on medication adherence and considered patient interviews and prescription records the most useful assessment methods. Nonetheless, many recognised often using clinical judgement to evaluate adherence in practice. Barriers to medication adherence were perceived to occur often during implementation. Most perceived reasons for uncontrolled hypertension were non-adherence to lifestyle recommendations and to medication. Less than half the physicians asked their patients if medication was taken. More useful enabling strategies included reducing daily doses, reviewing therapeutic options and motivational interventions. Conclusions Clinicians seem well informed about the importance of medication adherence and aware of problems encountered in practice. Limited time during medical appointment may be a barrier for better patient support.",0,0,Cardiovascular secondary prevention; Medical education; Medical practice; Medication adherence; Portugal; PRIMARY-CARE; COMMUNICATION; INTERVENTIONS; NONADHERENCE; METAANALYSIS; DISEASE,Article
A Patient-Centered Description of Severe Asthma: Patient Understanding Leading to Assessment for a Severe Asthma Referral (PULSAR),"Winders, Tonya A.; Wilson, Andrew M.; Fletcher, Monica J.; McGuinness, Anthony; Price, David B.; ADIS INT LTD; Winders, Tonya A.; Wilson, Andrew M.; Wilson, Andrew M.; Wilson, Andrew M.; Fletcher, Monica J.; Fletcher, Monica J.; McGuinness, Anthony; Price, David B.; Price, David B.; Price, David B.; Winders, Tonya A.; Fletcher, Monica; Price, David",2019,PATIENT-PATIENT CENTERED OUTCOMES RESEARCH,10.1007/s40271-019-00371-0,WOS:000481773600009,Austria; England; Scotland; Singapore,"Background Although severe asthma can be life-threatening, many patients are unaware they have this condition. Objectives Patient Understanding Leading to Assessment for a Severe Asthma Referral (PULSAR) is a novel, multidisciplinary working group aiming to develop and disseminate a global, patient-centered description of severe asthma to improve patient understanding of severe asthma and effect a change in patient behavior whereby patients are encouraged to visit their healthcare professional, when appropriate. Methods Current definitions from patient organization websites, asthma guidelines, and medication information for key asthma drugs were assessed and informed a multidisciplinary working group, convened to identify common concepts and terminology used to define severe asthma. A patient-centered description of severe asthma and patient checklist were drafted based on working-group discussions and reviewed by an external behavioral scientist for patient understanding and relevance. These were tested using an online US/Canadian survey. Results The patient-centered description of severe asthma and patient checklist were reviewed and re-drafted by the authors. The text was simplified following the behavioral-scientist review. The survey (n = 153) included 105 patients with severe asthma. Of those with severe asthma, 92.2% of patients reported that the description was consistent with their experiences of severe asthma and 92.6% of patients reported that the PULSAR initiative would encourage them to visit their healthcare provider. Conclusion A patient-centered description of severe asthma has been developed and tested using patients with severe asthma; this description will allow patients to assess whether they might have severe asthma and prompt them to visit their healthcare provider, if appropriate.",0,0,DEFINITION; GUIDELINES,Article
