title,authors,year,journal,doi,uid,countries,abstract,citations,references,keywords,subtypeDescription
Psychometric properties of the Braden scale to assess pressure injury risk in intensive care: A systematic review,"Mehicic, Aldiana; Burston, Adam; Fulbrook, Paul; ELSEVIER SCI LTD; Mehicic, Aldiana; Burston, Adam; Fulbrook, Paul; Mehicic, Aldiana; Burston, Adam; Fulbrook, Paul; Fulbrook, Paul; Burston, Adam; Burston, Adam; Fulbrook, Paul; Burston, Adam; Burston, Adam",2024,INTENSIVE AND CRITICAL CARE NURSING,10.1016/j.iccn.2024.103686,WOS:001216442700001,Australia; South Africa,"Objective: To analyse the psychometric properties of the Braden scale to assess pressure injury risk in adults in intensive care. Design: A systematic review was conducted, with literature searches undertaken in five electronic databases. No date limits were applied. Selection, data extraction and risk of bias assessment were completed by two reviewers independently. A customised data extraction template was used, with risk of bias conducted using the COSMIN Risk of Bias checklist. Data were analysed using narrative synthesis. Results: Thirty-four studies met inclusion criteria. Two studies reported internal consistency with Cronbach's alpha ranging from poor (0.43) to good (0.85). For interrater reliability, only four studies reported intraclass correlation, ranging from 0.66 to 0.96 for Braden sum score. Three studies reported convergent validity, with strong associations found between the COMHON Index (r = 0.70), Cubbin-Jackson scale (r = 0.80), and Norton scale (r = 0.77), but contrasting associations with the Waterlow score (r = 0.22 to 0.72). A large majority of studies reported predictive validity (n = 29), with wide variability. Several studies investigated optimal cut-off scores, with the majority indicating this was in the range of 12-14. Conclusions: This review demonstrates inconsistency in the psychometric properties of the Braden scale in ICU settings. Further research is needed to determine suitability of the Braden scale for ICU before it can be recommended as standard for clinical practice, including comparison with other ICU-specific risk assessment tools. Implications for clinical practice: When used in ICU, the reliability, validity and reported cut-off scores of the Braden scale are variable. As a predictive tool, the scale should be used cautiously. In ICU, the value of the Braden scale resides in its ability to identify patients that are most at risk of developing a pressure injury and to implement preventative measures to mitigate identified risk factors.",0,0,Braden scale; Intensive care; Pressure injury; Risk assessment; Systematic review; CRITICALLY-ILL PATIENTS; PREDICTIVE-VALIDITY; ULCER RISK; INTERRATER RELIABILITY; AGREEMENT; ACCURACY; WATERLOW; JACKSON; TRAUMA; SCORES,Review
The validity of diagnostic cut-offs for commercial and in-house scrub typhus IgM and IgG ELISAs: A review of the evidence,"Saraswati, Kartika; Phanichkrivalkosil, Meghna; Day, Nicholas P. J.; Blacksell, Stuart D.; PUBLIC LIBRARY SCIENCE; Saraswati, Kartika; Phanichkrivalkosil, Meghna; Day, Nicholas P. J.; Blacksell, Stuart D.; Saraswati, Kartika; Day, Nicholas P. J.; Blacksell, Stuart D.; Saraswati, Kartika; Blacksell, Stuart D.; Blacksell, Stuart D.; Phanichkrivalkosil, Meghna; Blacksell, Stuart; Saraswati, Kartika",2019,PLOS NEGLECTED TROPICAL DISEASES,10.1371/journal.pntd.0007158,WOS:000459970700047,Thailand; England; Indonesia,"Background Scrub typhus is a neglected tropical disease that causes acute febrile illness. Diagnosis is made based upon serology, or detection of the causative agent-Orientia tsutsugamushi-using PCR or in vitro isolation. The enzyme-linked immunosorbent assay (ELISA) is an objective and reproducible means of detecting IgM or IgG antibodies. However, lack of standardization in ELISA methodology, as well as in the choice of reference test with which the ELISA is compared, calls into question the validity of cut-offs used in diagnostic accuracy studies and observational studies.",0,0,LINKED-IMMUNOSORBENT-ASSAY; ORIENTIA-TSUTSUGAMUSHI; IMMUNOFLUORESCENCE ASSAY; CLINICAL PROFILE; RAPID TEST; TEST KIT; MANIFESTATIONS; RICKETTSIAE; EXPRESSION; ANTIBODIES,Review
Endoscopic scoring indices for evaluation of disease activity in Crohn's disease,"Khanna, Reena; Nelson, Sigrid A.; Feagan, Brian G.; D'Haens, Geert; Sandborn, William J.; Zou, G. Y.; MacDonald, John K.; Parker, Claire E.; Jirath, Vipul; Levesque, Barrett G.; WILEY; Khanna, Reena; Feagan, Brian G.; MacDonald, John K.; Jirath, Vipul; Khanna, Reena; Feagan, Brian G.; Zou, G. Y.; Parker, Claire E.; Jirath, Vipul; Nelson, Sigrid A.; Sandborn, William J.; Levesque, Barrett G.; Feagan, Brian G.; MacDonald, John K.; Feagan, Brian G.; Jirath, Vipul; D'Haens, Geert; D'Haens, Geert; Sandborn, William J.; Feagan, Brian G.; Parker, Claire; Jairath, Vipul; Sandborn, William; Feagan, Brian; Zou, Guangyong; Tanida, Satoshi; Khanna, Reena; Zou, Guangyong",2016,COCHRANE DATABASE OF SYSTEMATIC REVIEWS,10.1002/14651858.CD010642.pub2,WOS:000389598200013,Canada; USA; Netherlands,Background,0,0,ADALIMUMAB-TREATED PATIENTS; POST-HOC ANALYSIS; FECAL CALPROTECTIN; CENTRAL READERS; ACTIVITY SCORES; INTEROBSERVER AGREEMENT; PROSPECTIVE MULTICENTER; MAINTENANCE TREATMENT; DEEP REMISSION; LACTOFERRIN,Review
The Value of Neuroimaging Techniques in the Translation and Trans-diagnostic Validation of Psychiatric Diagnoses - Selective Review,"Todeva-Radneva, Anna; Paunova, Rositsa; Kandilarova, Sevdalina; St Stoyanov, Drozdstoy; BENTHAM SCIENCE PUBL LTD; Todeva-Radneva, Anna; Paunova, Rositsa; Kandilarova, Sevdalina; St Stoyanov, Drozdstoy; Todeva-Radneva, Anna; Paunova, Rositsa; Kandilarova, Sevdalina; St Stoyanov, Drozdstoy; Todeva-Radneva, Anna; Todeva-Radneva, Anna; St. Stoyanov, Drozdstoj; Kandilarova, Sevdalina; Paunova, Rositsa; Paunova, Rositsa; Todeva-Radneva, Anna; Todeva'Radneva, Anna",2020,CURRENT TOPICS IN MEDICINAL CHEMISTRY,10.2174/1568026620666200131095328,WOS:000528283700005,Bulgaria,"Psychiatric diagnosis has long been perceived as more of an art than a science since its foundations lie within the observation, and the self-report of the patients themselves and objective diagnostic biomarkers are lacking. Furthermore, the diagnostic tools in use not only stray away from the conventional medical framework but also remain invalidated with evidence-based concepts. However, neuroscience, as a source of valid objective knowledge has initiated the process of a paradigm shift underlined by the main concept of psychiatric disorders being ""brain disorders"". It is also a bridge closing the explanatory gap among the different fields of medicine via the translation of the knowledge within a multi-disciplinary framework.",0,0,Translation; fMRI; Psychiatry; Neuroimaging; Trans-diagnostic validation; Biomarkers; STATE FUNCTIONAL CONNECTIVITY; GENERALIZED ANXIETY DISORDER; MAJOR DEPRESSIVE DISORDER; RESEARCH DOMAIN CRITERIA; VENTROMEDIAL PREFRONTAL CORTEX; STRUCTURAL BRAIN CHANGES; VOXEL-BASED MORPHOMETRY; DEFAULT MODE NETWORK; BIPOLAR DISORDER; WHITE-MATTER,Review
Assessment of Instruments for Measurement of Delirium Severity A Systematic Review,"Jones, Richard N.; Cizginer, Sevdenur; Pavlech, Laura; Albuquerque, Asha; Daiello, Lori A.; Dharmarajan, Kumar; Gleason, Lauren J.; Helfand, Benjamin; Massimo, Lauren; Oh, Esther; Okereke, Olivia I.; Tabloski, Patricia; Rabin, Laura A.; Yue, Jirong; Marcantonio, Edward R.; Fong, Tamara G.; Hshieh, Tammy T.; Metzger, Eran D.; Erickson, Kristen; Schmitt, Eva M.; Inouye, Sharon K.; Racine, Annie; Schulman-Green, Dena; Travison, Thomas; Vasunilashorn, Sarinnapha; Abrantes, Tatiana; Armstrong, Brett; Bertrand, Sylvia; Butters, Angelee; D'Aquila, Madeline; Gallagher, Jacqueline; Kettell, Jennifer; Nee, Jacqueline; Parisi, Katelyn; Vella, Margaret; Xu, Guoquan; Weiner, Lauren; Gou, Yun; Tommet, Douglas; Brown, Charles H.; Cizginer, Sevdenur; Clark, Diane; Flaherty, Joseph H.; Gleason, Anne; Kolanowski, Ann M.; Neufeld, Karen J.; O'Connor, Margaret G.; Pisani, Margaret A.; Robinson, Thomas; Verghese, Joe; Wald, Heidi; Gordon, Sharon M.; Better Assessment Illness BASIL; AMER MEDICAL ASSOC; Jones, Richard N.; Helfand, Benjamin; Jones, Richard N.; Daiello, Lori A.; Helfand, Benjamin; Cizginer, Sevdenur; Cizginer, Sevdenur; Pavlech, Laura; Albuquerque, Asha; Fong, Tamara G.; Hshieh, Tammy T.; Erickson, Kristen; Schmitt, Eva M.; Inouye, Sharon K.; Dharmarajan, Kumar; Gleason, Lauren J.; Helfand, Benjamin; Massimo, Lauren; Oh, Esther; Okereke, Olivia I.; Okereke, Olivia I.; Okereke, Olivia I.; Fong, Tamara G.; Tabloski, Patricia; Rabin, Laura A.; Rabin, Laura A.; Yue, Jirong; Marcantonio, Edward R.; Inouye, Sharon K.; Marcantonio, Edward R.; Fong, Tamara G.; Hshieh, Tammy T.; Metzger, Eran D.; Inouye, Sharon K.; Racine, Annie; Travison, Thomas; Vasunilashorn, Sarinnapha; Hshieh, Tammy T.; Metzger, Eran D.; Fong, Tamara G.; Schmitt, Eva M.; Inouye, Sharon K.; Racine, Annie; Travison, Thomas; Abrantes, Tatiana; Bertrand, Sylvia; D'Aquila, Madeline; Kettell, Jennifer; Nee, Jacqueline; Parisi, Katelyn; Vella, Margaret; Xu, Guoquan; Gou, Yun; Gleason, Anne; Marcantonio, Edward R.; Fong, Tamara G.; Inouye, Sharon K.; Vasunilashorn, Sarinnapha; Armstrong, Brett; Butters, Angelee; Gallagher, Jacqueline; Weiner, Lauren; O'Connor, Margaret G.; Jones, Richard N.; Cizginer, Sevdenur; Tommet, Douglas; Hshieh, Tammy T.; Schulman-Green, Dena; Pisani, Margaret A.; Tabloski, Patricia; Brown, Charles H.; Neufeld, Karen J.; Clark, Diane; Flaherty, Joseph H.; Kolanowski, Ann M.; Robinson, Thomas; Wald, Heidi; Verghese, Joe; Gordon, Sharon M.; Inouye, Sharon K.; Tabloski, Patricia; Okereke, Olivia; Marcantonio, Edward; Irwin, David; , 月月; Pavlech, Laura; Inouye, Sharon; Helfand, Benjamin; Jones, Richard; Fong, Tamara; Schulman-Green, Dena",2019,JAMA INTERNAL MEDICINE,10.1001/jamainternmed.2018.6975,WOS:000457567500018,USA; Peoples R China,"IMPORTANCE Measurement of delirium severity has been recognized as highly important for tracking prognosis, monitoring response to treatment, and estimating burden of care for patients both during and after hospitalization. Rather than simply rating delirium as present or absent, the ability to quantify its severity would enable development and monitoring of more effective treatment approaches for the condition.",0,0,CONFUSION ASSESSMENT METHOD; METHODOLOGICAL QUALITY; SCORING SYSTEM; RATING-SCALE; VALIDATION; TOOLS; DEMENTIA; COHORT,Review
Expanded carrier screening: What conditions should we screen for?,"Goldberg, James D.; Pierson, Summer; Johansen Taber, Katherine; WILEY; Goldberg, James D.; Pierson, Summer; Johansen Taber, Katherine; Goldberg, James D.; Johansen Taber, Katherine",2023,PRENATAL DIAGNOSIS,10.1002/pd.6306,WOS:000916587300001,USA,"Carrier screening tests reproductive couples for their risk of having children affected by serious monogenic conditions. Carrier screening has historically been offered for certain conditions in high-risk populations. However, more recent evidence has shown that offering carrier screening to all patients, regardless of their ethnicity, more effectively and equitably identifies at-risk couples. Coupled with technology that enables screening for a nearly unlimited number of conditions, this expanded carrier screening (ECS) approach is now supported by professional society guidelines. Despite recent recommendations by the American College of Medical Genetics and Genomics to screen all patients who are pregnant or considering pregnancy for 113 conditions, questions remain about what conditions should be included on a core ECS panel. Here, we briefly review the history of carrier screening and guidelines on criteria for panel design. We then suggest which of these criteria are most critical, as well as thresholds to identify which conditions meet these criteria. Based on these interpretations, we recommend a core panel of 64 conditions that would identify the vast majority of at-risk couples. Widespread adoption of a core panel such as this would result in a marked improvement in the number of patients currently receiving comprehensive carrier screening.",3,0,CLINICAL VALIDITY; MEDICAL-GENETICS; AMERICAN-COLLEGE; STATEMENT; STANDARDS; VARIANTS; GENOMICS,Review
Evaluation of Direct Oral Anticoagulant Reversal Agents in Intracranial Hemorrhage A Systematic Review and Meta-analysis,"Chaudhary, Rahul; Singh, Amteshwar; Chaudhary, Rohit; Bashline, Michael; Houghton, Damon E.; Rabinstein, Alejandro; Adamski, Jill; Arndt, Richard; Ou, Narith N.; Rudis, Maria, I; Brown, Caitlin S.; Wieruszewski, Erin D.; Wanek, Matthew; Brinkman, Nathan J.; Linderbaum, Jane A.; Sorenson, Melissa A.; Atkinson, John L.; Thompson, Kristine M.; Aiyer, Aryan N.; McBane, Robert D.; AMER MEDICAL ASSOC; Chaudhary, Rahul; Bashline, Michael; Aiyer, Aryan N.; Singh, Amteshwar; Chaudhary, Rohit; Houghton, Damon E.; McBane, Robert D.; Houghton, Damon E.; Rabinstein, Alejandro; Adamski, Jill; Arndt, Richard; Ou, Narith N.; Rudis, Maria, I; Brown, Caitlin S.; Wieruszewski, Erin D.; Brinkman, Nathan J.; Rudis, Maria, I; Brown, Caitlin S.; Wieruszewski, Erin D.; Wanek, Matthew; Linderbaum, Jane A.; Sorenson, Melissa A.; Atkinson, John L.; Thompson, Kristine M.; Chaudhary, Rahul; SINGH, AMTESHWAR; Singh, Amteshwar; Houghton, Damon; Rabinstein, Alejandro",2022,JAMA NETWORK OPEN,10.1001/jamanetworkopen.2022.40145,WOS:000878765000001,USA; Australia,IMPORTANCE Direct oral anticoagulant (DOAC)-associated intracranial hemorrhage (ICH) has high morbidity and mortality. The safety and outcome data of DOAC reversal agents in ICH are limited.,0,0,PROTHROMBIN COMPLEX CONCENTRATE; ANDEXANET ALPHA; SINGLE-CENTER; RIVAROXABAN; DABIGATRAN; APIXABAN; WARFARIN; BIAS; IDARUCIZUMAB; COAGULATION,Review
The adult ADHD assessment quality assurance standard,"Adamou, Marios; Arif, Muhammad; Asherson, Philip; Cubbin, Sally; Leaver, Laurence; Sedgwick-Mueller, Jane; Mueller-Sedgwick, Ulrich; van Rensburg, Kobus; Kustow, James; FRONTIERS MEDIA SA; Adamou, Marios; Adamou, Marios; Arif, Muhammad; Asherson, Philip; Cubbin, Sally; Leaver, Laurence; Sedgwick-Mueller, Jane; Mueller-Sedgwick, Ulrich; Sedgwick-Mueller, Jane; Mueller-Sedgwick, Ulrich; Mueller-Sedgwick, Ulrich; Kustow, James; van Rensburg, Kobus; Asherson, Philip; Arif, Muhammad Saleem; Sedgwick, Jane Ann",2024,FRONTIERS IN PSYCHIATRY,10.3389/fpsyt.2024.1380410,WOS:001291950400001,England,"Background: Attention Deficit Hyperactivity Disorder (ADHD) frequently persists into adulthood. There are practice guidelines that outline the requirements for the assessment and treatment of adults. Nevertheless, guidelines specifying what constitutes a good quality diagnostic assessment and report and the competencies required to be a specialist assessor are lacking. This can lead to variation in the quality and reliability of adult ADHD assessments. Poor quality assessments may not be accepted as valid indicators of the presence of ADHD by other clinicians or services, resulting in wasteful re-assessments and delays in providing treatment. To address this issue the UK Adult ADHD Network (UKAAN) proposes a quality framework for adult ADHD assessments - the Adult ADHD Assessment Quality Assurance Standard (AQAS). Methods: The co-authors agreed on five questions or themes that then guided the development of a set of consensus statements. An initial draft was reviewed and amended in an iterative process to reach a final consensus. Results: What constitutes a high-quality diagnostic assessment and report was agreed by consensus of the co-authors. The resulting guideline emphasises the need to evaluate impairment, describes core competencies required by the assessor and highlights the importance of linking the diagnosis to an appropriate post-diagnostic discussion. Assessments should be completed in the context of a full psychiatric and neurodevelopmental review, and need good interview skills, using a semi-structured interview with open questioning and probing to elicit real life examples of symptoms and impairments. It is recommended that 2 hours or more is required for an adequate assessment including both the diagnostic assessment and initial post-assessment discussions. Conclusion: The AQAS has been developed as a practical resource to support reliable and valid diagnostic assessments of adult ADHD. It is intended to complement formal training. A secondary objective is to empower patients by providing them with evidence-based information on what to expect from an assessment and assessment report.",0,0,adult attention deficit hyperactivity disorder; adult ADHD; practice guidelines; diagnostic assessment; quality standard assessment; ATTENTION-DEFICIT/HYPERACTIVITY DISORDER; POSTTRAUMATIC-STRESS-DISORDER; EVIDENCE-BASED GUIDELINES; PSYCHIATRIC-DISORDERS; BRITISH-ASSOCIATION; COVID-19; RECOMMENDATIONS; ADOLESCENTS; MANAGEMENT,Review
Enhancing representativeness of patient-reported outcomes in routine radiation oncology care: a quality improvement protocol to address non-response,"Zeng, Chengbo; Martin, Neil E.; Pusic, Andrea L.; Edelen, Maria O.; Liu, Jason B.; BMJ PUBLISHING GROUP; Zeng, Chengbo; Pusic, Andrea L.; Edelen, Maria O.; Liu, Jason B.; Zeng, Chengbo; Martin, Neil E.; Pusic, Andrea L.; Edelen, Maria O.; Liu, Jason B.; Martin, Neil E.; Martin, Neil E.; Pusic, Andrea L.; Edelen, Maria O.; Liu, Jason B.; Zeng, Chengbo; Zeng, Chengbo; Zeng, Chengbo; Edelen, Maria; Zeng, Chengbo",2024,BMJ OPEN,10.1136/bmjopen-2024-097127,WOS:001379664700001,USA,"Introduction Non-response significantly undermines the representativeness of patient-reported outcome (PRO) data, thereby compromising its utility for facilitating high-value, equitable, patient-centred care in cancer clinics. Quality improvement studies are needed to assess the representativeness of PRO data collected in routine care, identify the underlying causes of non-response and develop novel methods to ensure data representativeness. Using a multilevel framework and a mixed-methods approach, we have three aims: (1) characterise the non-response of the Global-10 across clinic, provider and patient levels; (2) identify multilevel causes of non-response and potential strategies to improve representativeness in PRO collection; and (3) develop effective modifications to missing-data methods to enhance the representativeness of pre-existing PRO data. Methods and analysis Our primary data source is the Patient Reported Outcomes Measurement Information System Global-10, collected as part of routine care at the Radiation Oncology clinics within the Mass General Brigham (MGB) healthcare system. Other sources include (1) Harvard Catalyst for provider-specific data, (2) MGB administrative data, (3) public Centers for Medicare & Medicaid Services data and (4) the National Plan and Provider Enumeration System. We will conduct quantitative analyses to assess variations in Global-10 non-response across multilevel factors. Additionally, we will use qualitative interviews with patients and clinical professionals to understand the causes of non-response and to formulate strategies to expand the reach of PRO collection to underrepresented cancer patients, improve their completions and enhance overall data representativeness. Finally, we will integrate implementation science knowledge and findings from the first two aims into missing-data methods to manage non-response in the pre-existing Global-10 data and to evaluate their performance in preserving representativeness. Ethics and dissemination The study protocol was reviewed and approved by the Institutional Review Board at the Dana-Farber/Harvard Cancer Center (24-225). Written informed consent will be obtained from participants. Study findings will be disseminated through peer-reviewed publications and presentations at national and international conferences.",0,0,CLINICAL-TRIALS; CANCER; IMPUTATION,Article
Update on persistent symptoms associated with Lyme disease,"Oliveira, Carlos R.; Shapiro, Eugene D.; LIPPINCOTT WILLIAMS & WILKINS; Oliveira, Carlos R.; Shapiro, Eugene D.; Oliveira, Carlos R.; Shapiro, Eugene D.; Shapiro, Eugene D.; Shapiro, Eugene D.; Shapiro, Eugene D.; Shapiro, Eugene D.; Shapiro, Eugene D.; Oliveira, Carlos; Oliveira, Carlos R.; Oliveira, Catarina",2015,CURRENT OPINION IN PEDIATRICS,10.1097/MOP.0000000000000167,WOS:000347775600014,USA,Purpose of review,0,0,Lyme disease; post-treatment Lyme disease syndrome; xenodiagnosis; CHAIN-REACTION AMPLIFICATION; BORRELIA-BURGDORFERI; ERYTHEMA MIGRANS; CULTURE; DIAGNOSIS; SKIN,Review
