title,authors,year,journal,doi,uid,countries,abstract,citations,references,keywords,subtypeDescription
An EL-LDA based general color harmony model for photo aesthetics assessment,"Lu, Peng; Peng, Xujun; Zhu, Xinshan; Li, Ruifan; ELSEVIER; Lu, Peng; Li, Ruifan; Peng, Xujun; Zhu, Xinshan; Lu, Peng; Zhu, Xinshan; lu, peng; peng, xujun; LI, Ruifan",2016,SIGNAL PROCESSING,10.1016/j.sigpro.2014.12.008,WOS:000367754400066,Peoples R China; USA,"The goal of photo aesthetics assessment is to build a computational model which can estimate the aesthetics quality of digital images with respect to human's perception. As one of the most important features that determine the degree of image's aesthetics quality, color harmony has gained increasing attentions. To overcome the problems of most classical color harmony models, which are heavily relied on heuristic rules and ignore the semantic information of images, we propose a statistical learning framework in this paper to train a color harmony model from a large number of natural images. In this framework, the semantic label information, which indicates the content of each image, along with the visual features is used to facilitate the latent Dirichlet allocation (LDA) training. Then, the degree of color harmony can be estimated by using supervised/unsupervised models, which is applied to indicate the photo's aesthetics score. By using the proposed color harmony model, we attempt to uncover the underlying principles that generate pleasing color combinations based on natural images. The experimental results show that the proposed approach outperforms the conventional heuristic color harmony models for image aesthetics assessment. (C) 2014 Elsevier B.V. All rights reserved.",0,0,Color harmony; Aesthetics assessment; Image processing; QUALITY ASSESSMENT; GRAPH,Article
Unsupervised approaches for measuring textual similarity between legal court case reports,"Mandal, Arpan; Ghosh, Kripabandhu; Ghosh, Saptarshi; Mandal, Sekhar; SPRINGER; Mandal, Arpan; Mandal, Sekhar; Ghosh, Kripabandhu; Ghosh, Saptarshi; Mandal, Arpan; Ghosh, Saptarshi; Mandal, Arpan; Mandal, Arpan",2021,ARTIFICIAL INTELLIGENCE AND LAW,10.1007/s10506-020-09280-2,WOS:000604797500001,India,"In the domain of legal information retrieval, an important challenge is to compute similarity between two legal documents. Precedents (statements from prior cases) play an important role in The Common Law system, where lawyers need to frequently refer to relevant prior cases. Measuring document similarity is one of the most crucial aspects of any document retrieval system which decides the speed, scalability and accuracy of the system. Text-based and network-based methods for computing similarity among case reports have already been proposed in prior works but not without a few pitfalls. Since legal citation networks are generally highly disconnected, network based metrics are not suited for them. Till date, only a few text-based and predominant embedding based methods have been employed, for instance, TF-IDF based approaches, Word2Vec (Mikolov et al. 2013) and Doc2Vec (Le and Mikolov 2014) based approaches. We investigate the performance of 56 different methodologies for computing textual similarity across court case statements when applied on a dataset of Indian Supreme Court Cases. Among the 56 different methods, thirty are adaptations of existing methods and twenty-six are our proposed methods. The methods studied include models such as BERT (Devlin et al. 2018) and Law2Vec (Ilias 2019). It is observed that the more traditional methods (such as the TF-IDF and LDA) that rely on a bag-of-words representation performs better than the more advanced context-aware methods (like BERT and Law2Vec) for computing document-level similarity. Finally we nominate, via empirical validation, five of our best performing methods as appropriate for measuring similarity between case reports. Among these five, two are adaptations of existing methods and the other three are our proposed methods.",0,0,Legal information retrieval; Court case reports; Court case similarity; Topic modeling; Word2vec; Doc2vec; BERT; Law2vec,Article
Investigating the feasibility of differentiating MS active lesions from inactive ones using texture analysis and machine learning methods in DWI images,"Shekari, Farshad; Vard, Alireza; Adibi, Iman; Danesh-Mobarhan, Safieh; ELSEVIER SCI LTD; Shekari, Farshad; Vard, Alireza; Shekari, Farshad; Vard, Alireza; Adibi, Iman; Adibi, Iman; Danesh-Mobarhan, Safieh; Vard, Alireza; Vard, Alireza; Vard, Alireza",2024,MULTIPLE SCLEROSIS AND RELATED DISORDERS,10.1016/j.msard.2023.105363,WOS:001141570300001,Iran,"Background: Magnetic resonance imaging (MRI) is commonly used in conjunction with a gadolinium-based contrast agent (GBCA) to distinguish active multiple sclerosis (MS) lesions. However, recent studies have raised concerns regarding the long-term effects of the accumulation of GBCA in the body. Thus, the purpose of this study is to investigate the possibility of using texture analysis in diffusion-weighted imaging (DWI) and machine learning algorithms to discriminate active from inactive MS lesions without the use of GBCA.Methods: To achieve this purpose, we introduce an image processing pipeline. In the proposed pipeline, following registration and alignment of slices, MS lesions from DWI images are segmented and quantized. Next, different texture analysis methods are employed to extract texture features from the lesions. Then, a two-stage feature reduction method is applied, in which the first stage involves a statistical t-test and the second stage relies on principal component analysis (PCA), sequential forward selection (SFS), sequential backward selection (SBS), and ReliefF algorithms. Finally, we use five classifiers logistic regression (LR), support vector machine (SVM), decision tree (DT), K nearest neighbor (KNN), and linear discriminant analysis (LDA) in a 5-fold cross-validation procedure to determine active and inactive MS lesions.Results: In this study, we collected and prepared 255 active/inactive MS lesions from MRI scans of 34 patients diagnosed with MS, with a mean age of 35.56 +/- 10.89. Among 89 texture features extracted, 63 features showed statistically significant differences between the means of active and inactive lesions (P<0.05). The SVM classifier with the PCA feature reduction algorithm demonstrated the best performance with an average accuracy of 0.960 (+/- 0.024), specificity and precision of 1.0, sensitivity of 0.913 (+/- 0.053), and AUC of 0.957 (+/- 0.027).Conclusion: Our study indicates that DWI changes detected using texture analysis-based machine learning models can precisely differentiate active from inactive MS lesions. This finding provides valuable clinical information for the early diagnosis and effective monitoring of MS disease.",6,0,Multiple sclerosis; Active lesion; Texture analysis; Machine learning; MRI; BRAIN; GADOLINIUM,Article
Latent Dirichlet Allocation in predicting clinical trial terminations,"Geletta, Simon; Follett, Lendie; Laugerman, Marcia; BMC; Geletta, Simon; Follett, Lendie; Laugerman, Marcia; Geletta, Simon; Geletta, Simon; Geletta, Simon",2019,BMC MEDICAL INFORMATICS AND DECISION MAKING,10.1186/s12911-019-0973-y,WOS:000499414600002,USA,"Background This study used natural language processing (NLP) and machine learning (ML) techniques to identify reliable patterns from within research narrative documents to distinguish studies that complete successfully, from the ones that terminate. Recent research findings have reported that at least 10 % of all studies that are funded by major research funding agencies terminate without yielding useful results. Since it is well-known that scientific studies that receive funding from major funding agencies are carefully planned, and rigorously vetted through the peer-review process, it was somewhat daunting to us that study-terminations are this prevalent. Moreover, our review of the literature about study terminations suggested that the reasons for study terminations are not well understood. We therefore aimed to address that knowledge gap, by seeking to identify the factors that contribute to study failures. Method We used data from the repository, from which we extracted both structured data (study characteristics), and unstructured data (the narrative description of the studies). We applied natural language processing techniques to the unstructured data to quantify the risk of termination by identifying distinctive topics that are more frequently associated with trials that are terminated and trials that are completed. We used the Latent Dirichlet Allocation (LDA) technique to derive 25 ""topics"" with corresponding sets of probabilities, which we then used to predict study-termination by utilizing random forest modeling. We fit two distinct models - one using only structured data as predictors and another model with both structured data and the 25 text topics derived from the unstructured data. Results In this paper, we demonstrate the interpretive and predictive value of LDA as it relates to predicting clinical trial failure. The results also demonstrate that the combined modeling approach yields robust predictive probabilities in terms of both sensitivity and specificity, relative to a model that utilizes the structured data alone. Conclusions Our study demonstrated that the use of topic modeling using LDA significantly raises the utility of unstructured data in better predicating the completion vs. termination of studies. This study sets the direction for future research to evaluate the viability of the designs of health studies.",2,0,Clinical trials; Structured data; Unstructured data; Latent Dirichlet allocation; Prediction; FOR-DISEASE-CONTROL; PUBLICATION,Article
Detection of Unripe Kernels and Foreign Materials in Chickpea Mixtures Using Image Processing,"Salam, Somayeh; Kheiralipour, Kamran; Jian, Fuji; MDPI; Salam, Somayeh; Kheiralipour, Kamran; Jian, Fuji; Kheiralipour, Kamran; Jian, Fuji; Kheiralipour, Kamran",2022,AGRICULTURE-BASEL,10.3390/agriculture12070995,WOS:000831823100001,Iran; Canada,"The existence of dockage, unripe kernels, and foreign materials in chickpea mixtures is one of the main concerns during chickpea storage and marketing. Novel algorithms based on image processing were developed to detect undesirable, foreign materials, and matured chickpea kernels in the chickpea mixture. Images of 270 objects including 54 sound samples and 36 samples of each undesired object were prepared and features of these acquired images were extracted. Different models based on linear discriminant analysis (LDA), support vector machine (SVM), and artificial neural networks (ANN) methods were developed by using MATLAB. Three classification algorithms based on LDA, SVM, and ANN methods were developed. The classification accuracy in training, testing, and overall detection showed the superiority of ANN (99.4, 92.6, and 94.4%, respectively) and LDA (91.1, 94.0, and 91.9%, respectively) over the SVM (100, 53.7, and 88.5%, respectively). The developed image processing technique can be incorporated with a vision-based real-time system.",0,0,chickpea; impurity; separation; classification; image processing; PISTACHIO KERNEL; MATURITY; FRUITS,Article
Preliminary study non-destructive sorting techniques for pepper<i> (Capsicum</i><i> annuum</i> L.) using odor parameter,"Rasekh, Mansour; Karami, Hamed; Fuentes, Sigfredo; Kaveh, Mohammad; Rusinek, Robert; Gancarz, Marek; ELSEVIER; Rasekh, Mansour; Karami, Hamed; Fuentes, Sigfredo; Kaveh, Mohammad; Rusinek, Robert; Gancarz, Marek; Gancarz, Marek; Rasekh, Mansour; Karami, Hamed; Gancarz, Marek; Fuentes, Sigfredo; Karami, Hamed; Gancarz, Marek; Gancarz, Marek; Karami, Hamed; Rasekh, Mansour; Kaveh, Mohammad",2022,LWT-FOOD SCIENCE AND TECHNOLOGY,10.1016/j.lwt.2022.113667,WOS:000817765800006,Iran; Australia; Iraq; Poland,"Almost all fruits and vegetables sold in modern society are sorted and labeled, making it easier for customers to recognize the quality of the product, leading to more regular distribution and supply. Consequently, it facilitates the initial packaging and transportation of the product, and farmers will benefit from the added value. Therefore, it is necessary to develop sorting via affordable machines and easy to operate at the current technology level. Since electronic nose technology is new-emerging, it can be used in food quality control systems. In this study, the variety Padr ' on (Capsicum annuum L.) was evaluated. PCA, LDA, SVM and ANN methods were used to classify sweet and hot peppers. According to PCA, 98% of the variance in the data was detected by the first three components. SVM, ANN, and LDA all showed 100% accuracy in classification. The amounts of capsaicin in two types of sweet and hot peppers were predicted well and with high accuracy by three different methods: MLR, PCR, and PLSR. With this method, it is possible to reliably separate sweet and hot peppers based on odor parameters, and it is also possible to develop sorting machines according to the characteristics of odor.",0,0,Hot and sweet pepper; Sorting; HPLC-ES; MS; Electronic nose; ELECTRONIC-NOSE TECHNOLOGIES; STORAGE SHELF-LIFE; FRESHNESS; QUALITY; DISCRIMINATION; IDENTIFICATION; ADULTERATION; SENSORS,Article
Preliminary study to identify severe from moderate cases of COVID-19 using combined hematology parameters,"Wang, Changzheng; Deng, Rongrong; Gou, Liyao; Fu, Zhongxiao; Zhang, Xiaomei; Shao, Feng; Wang, Guanzhen; Fu, Weiyang; Xiao, Jianping; Ding, Mao; Li, Tao; Xiao, Xiulin; Li, Chengbin; AME PUBLISHING COMPANY; Wang, Changzheng; Fu, Zhongxiao; Ding, Mao; Li, Tao; Li, Chengbin; Deng, Rongrong; Gou, Liyao; Zhang, Xiaomei; Wang, Guanzhen; Xiao, Jianping; Shao, Feng; Fu, Weiyang; Xiao, Xiulin; Li, Chengbin; Xiao, Xiulin; Fu, Weiyang; Wang, Changzheng",2020,ANNALS OF TRANSLATIONAL MEDICINE,10.21037/atm-20-3391,WOS:000533657600023,Peoples R China,"Background: The third fatal coronavirus is the novel coronavirus (SARS-CoV-2) that causes novel coronavirus pneumonia (COVID-19) which first broke out in December 2019. Patients will develop rapidly if there is no any intervention, so the risk identification of severe patients is critical. The aim of this study was to investigate the characteristics and rules of hematology changes in patients with COVID-19, and to explore the possibility differentiating moderate and severe patients using conventional hematology parameters or combined parameters.",0,0,Neutrophil lymphocyte ratio (NLR); red cell volume distribution width-standard deviation (RDW-SD); novel coronavirus (SARS-CoV-2); COVID-19; severe pneumonia; combination parameter; linear discriminant analysis; receiver operating characteristic; RESPIRATORY SYNDROME; CLINICAL CHARACTERISTICS; CORONAVIRUS 2019-NCOV; WUHAN; SARS,Article
B&B PROMOTION MODEL CONSTRUCTION: A TOPIC-BASED TEXT MINING STUDY OF ONLINE CONSUMER REVIEWS,"Xu, Aiting; Zhang, Yingqi; Lin, Min; Jin, Canyang; Zhu, Yuhan; VILNIUS UNIV; Xu, Aiting; Zhang, Yingqi; Lin, Min; Jin, Canyang; Zhu, Yuhan; Zhu, Yuhan; Jin, Canyang",2021,TRANSFORMATIONS IN BUSINESS & ECONOMICS,N/A,WOS:000726733900005,Peoples R China,"Online reviews translated from consumer experience are an important dimension to be considered in B&B's reputation management. This study will analyse 209,163 online comments from Airbnb website through sentiment analysis, LDA theme model, semantic network and other methods, in order to explore the emotional differences generated by consumers in the process of commenting on B&B and the core concerns behind their emotions. Then, this paper establishes a B&B promotion model which considers the competitive barrier, competitive foundation and competitive advantage. The results showed that the main sources of negative sentiment were poor sound insulation effect, Lack of safety and Low level of cleanliness. Secondly, Effectiveness of communication, Symmetry of information, Accessibility of location are the key representative factors in bidirectional reviews. Finally, the more assets and advantages a positive review mentions, the more likely it is to inspire trust. The factors that contribute to these advantages include the surrounding facilities, a reasonable price. These research results will help to analyse the improvement points of B&B based on consumers' accommodation experience, develop promotion paths, and provide targeted guidance for B&B operators.",0,0,sentiment analysis; LDA topic model; B&B Promotion Model; opinion mining; WORD-OF-MOUTH; BIG DATA; CUSTOMER SATISFACTION; SENTIMENT ANALYSIS; MODERATING ROLE; HOTEL; DETERMINANTS; EXPERIENCE; AIRBNB; EXPECTATIONS,Review
Fast discrete curvelet transform and modified PSO based improved evolutionary extreme learning machine for breast cancer detection,"Muduli, Debendra; Dash, Ratnakar; Majhi, Banshidhar; ELSEVIER SCI LTD; Muduli, Debendra; Dash, Ratnakar; Majhi, Banshidhar; Muduli, Debendra; Dash, Ratnakar; Muduli, Debendra; Muduli, Debendra",2021,BIOMEDICAL SIGNAL PROCESSING AND CONTROL,10.1016/j.bspc.2021.102919,WOS:000696983600007,India,"A significant research area in medical imaging analysis is digital mammography breast cancer detection in the early stage. For breast mass classification into the benign or malignant category, an enhanced automated computer-aided diagnosis (CAD) model is suggested in this work, enabling radiologists to identify breast diseases correctly in less time. First, a fast discrete curvelet transform with wrapping (FDCT-WRP) is deployed to extract the curve-like features and create a feature set. Then, a combined feature reduction strategy called principal component analysis (PCA) and linear discriminant analysis (LDA) is used to produce more relevant and reduced feature sets. Finally, a new enhanced learning algorithm called MODPSO-ELM incorporates modified particle swarm optimization (MODPSO) and an extreme learning machine (ELM) proposed for the classification task. In the MODPSO-ELM algorithm, MODPSO is utilized to optimize the hidden node parameters (input weights and hidden biases) of single-hidden-layer feedforward neural networks (SLFN) and analytically determined the output weight. The proposed CAD model has been evaluated on three standard datasets with a 10 xk-fold stratified cross-validation (SCV) test. It is found from the experiment that the suggested CAD model yields the best outcome for the MIAS dataset and obtains an accuracy of 98.94% and 98.76% for DDSM and INbreast datasets, respectively. The experimental results indicate that the proposed model is superior to other state-of-theart models with a substantially reduced number of features with better classification accuracy.",3,0,FDCT-WRP; MODPSO; ELM; PCA; LDA; CAD; ROI; Mammogram classification; COMPUTER-AIDED DIAGNOSIS; BRAIN DETECTION SYSTEM; CLASSIFICATION; FEATURES; WAVELET; ALGORITHM; NETWORKS; LESIONS; MASSES,Article
Study of 'Fingerprints' for Green Tea from Different Planting Areas in Eastern China,"Liu, Hai-Yan; Ma, Lin; Li, Xing-Heng; Fan, Jun-Min; Lv, Xing-Ping; Cao, Zheng; Zhang, Xue-Song; BUREAU SCIENTIFIC PUBL; Liu, Hai-Yan; Li, Xing-Heng; Fan, Jun-Min; Lv, Xing-Ping; Cao, Zheng; Zhang, Xue-Song; Ma, Lin; Zhang, Xue-Song",2021,SOUTH AFRICAN JOURNAL OF CHEMISTRY-SUID-AFRIKAANSE TYDSKRIF VIR CHEMIE,10.17159/0379-4350/2021/v75a4,WOS:000667992000001,Peoples R China,"Green tea is one of the main teas in China, which is unfermented and retains more natural substances of fresh tea leaves. This is the preliminary study of application of 'fingerprints' based on differences in component composition of green tea. Five green teas from different areas in eastern China are analyzed, which are processed by microwave-assisted solvent (ethanol) extraction method to obtain tea polyphenols, flavonoids, polysaccharides, pigments (thearubigins, theaflavins, theabrownins). The results show that the component composition of five green teas are varied from each other; based on these contents varieties, we have constructed a 'fingerprint' and applied linear discriminant analysis (LDA) and hierarchical cluster analysis (HCA) to assist in the identification of these five green teas. This method does not require large, expensive instruments (such as high performance liquid chromatograph, gas chromatograph, mass spectrometer, etc.), and is easy to use, which provides a new avenue for the identification of tea.",1,0,Green tea; contents varities; identification; 'fingerprints'; DISCRIMINATION; METABOLITES; PESTICIDES; FLAVONOIDS; VARIETIES; QUALITY,Article
