title,authors,year,journal,doi,uid,countries,abstract,citations,references,keywords,subtypeDescription
Health-focused conversational agents in person-centered care: a review of apps,"Parmar, Pritika; Ryu, Jina; Pandya, Shivani; Sedoc, Joao; Agarwal, Smisha; NATURE PORTFOLIO; Parmar, Pritika; Ryu, Jina; Pandya, Shivani; Agarwal, Smisha; Sedoc, Joao; Agarwal, Smisha; Agarwal, Smisha; Ryu, Jina; Parmar, Pritika; pandya, shivani",2022,NPJ DIGITAL MEDICINE,10.1038/s41746-022-00560-6,WOS:000757409600001,USA,"Health-focused apps with chatbots (""healthbots"") have a critical role in addressing gaps in quality healthcare. There is limited evidence on how such healthbots are developed and applied in practice. Our review of healthbots aims to classify types of healthbots, contexts of use, and their natural language processing capabilities. Eligible apps were those that were health-related, had an embedded text-based conversational agent, available in English, and were available for free download through the Google Play or Apple iOS store. Apps were identified using 42Matters software, a mobile app search engine. Apps were assessed using an evaluation framework addressing chatbot characteristics and natural language processing features. The review suggests uptake across 33 low- and high-income countries. Most healthbots are patient-facing, available on a mobile interface and provide a range of functions including health education and counselling support, assessment of symptoms, and assistance with tasks such as scheduling. Most of the 78 apps reviewed focus on primary care and mental health, only 6 (7.59%) had a theoretical underpinning, and 10 (12.35%) complied with health information privacy regulations. Our assessment indicated that only a few apps use machine learning and natural language processing approaches, despite such marketing claims. Most apps allowed for a finite-state input, where the dialogue is led by the system and follows a predetermined algorithm. Healthbots are potentially transformative in centering care around the user; however, they are in a nascent state of development and require further research on development, automation and adoption for a population-level health impact.",0,0,RANDOMIZED CONTROLLED-TRIAL; EXERCISE COACH; BEHAVIORS; CHATBOTS; THERAPY,Review
Developing and Testing Automatic Models of Patient Communicative Health Literacy Using Linguistic Features: Findings from the ECLIPPSE study,"Crossley, Scott A.; Balyan, Renu; Liu, Jennifer; Karter, Andrew J.; McNamara, Danielle; Schillinger, Dean; ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD; Crossley, Scott A.; Balyan, Renu; McNamara, Danielle; Liu, Jennifer; Karter, Andrew J.; Schillinger, Dean; Crossley, Scott A.; Gomez Vergara, Walter",2021,HEALTH COMMUNICATION,10.1080/10410236.2020.1731781,WOS:000518397700001,USA,"Patients with diabetes and limited health literacy (HL) may have suboptimal communication exchange with their health care providers and be at elevated risk of adverse health outcomes. These difficulties are generally attributed to patients' reduced ability to both communicate and understand health-related ideas as well as physicians' lack of skill in identifying those with limited HL. Understanding and identifying patients with barriers posed by lower HL to improve healthcare delivery and outcomes is an important research avenue. However, doing so using traditional methods has proven difficult and infeasible to scale. This study using corpus analyses, expert human ratings of HL, and natural language processing (NLP) approaches to estimate HL at the individual patient level. The goal of the study is to better understand HL from a linguistic perspective and to open new research areas to enhance population management and individualized care. Specifically, this study examines HL as a function of patients' demonstrated ability to communicate health-related information to their providers via secure messages. The study develops an NLP-based HL model and validates the model by predicting patient-related events such as medical outcomes and hospitalizations. Results indicate that the developed model predicts human ratings of HL with similar to 80% accuracy. Validation indicates that lower HL patients are more likely to be nonwhite and have lower educational attainment. In addition, patients with lower HL suffered more negative health outcomes and had higher healthcare service utilization.",1,0,SELF-MANAGEMENT SUPPORT; DIABETES PATIENTS; PHYSICIANS; VALIDATION; STRATEGIES; ADHERENCE; QUALITY; LEXICON; CORPUS; MAIL,Article
Artificial Intelligence in Rheumatoid Arthritis: Current Status and Future Perspectives: A State-of-the-Art Review,"Momtazmanesh, Sara; Nowroozi, Ali; Rezaei, Nima; SPRINGER; Momtazmanesh, Sara; Nowroozi, Ali; Momtazmanesh, Sara; Nowroozi, Ali; Rezaei, Nima; Momtazmanesh, Sara; Rezaei, Nima; Rezaei, Nima; Rezaei, Nima; Nowroozi, Ali; Rezaei, Nima; Momtazmanesh, Sara",2022,RHEUMATOLOGY AND THERAPY,10.1007/s40744-022-00475-4,WOS:000826789600001,Iran,"Investigation of the potential applications of artificial intelligence (AI), including machine learning (ML) and deep learning (DL) techniques, is an exponentially growing field in medicine and healthcare. These methods can be critical in providing high-quality care to patients with chronic rheumatological diseases lacking an optimal treatment, like rheumatoid arthritis (RA), which is the second most prevalent autoimmune disease. Herein, following reviewing the basic concepts of AI, we summarize the advances in its applications in RA clinical practice and research. We provide directions for future investigations in this field after reviewing the current knowledge gaps and technical and ethical challenges in applying AI. Automated models have been largely used to improve RA diagnosis since the early 2000s, and they have used a wide variety of techniques, e.g., support vector machine, random forest, and artificial neural networks. AI algorithms can facilitate screening and identification of susceptible groups, diagnosis using omics, imaging, clinical, and sensor data, patient detection within electronic health record (EHR), i.e., phenotyping, treatment response assessment, monitoring disease course, determining prognosis, novel drug discovery, and enhancing basic science research. They can also aid in risk assessment for incidence of comorbidities, e.g., cardiovascular diseases, in patients with RA. However, the proposed models may vary significantly in their performance and reliability. Despite the promising results achieved by AI models in enhancing early diagnosis and management of patients with RA, they are not fully ready to be incorporated into clinical practice. Future investigations are required to ensure development of reliable and generalizable algorithms while they carefully look for any potential source of bias or misconduct. We showed that a growing body of evidence supports the potential role of AI in revolutionizing screening, diagnosis, and management of patients with RA. However, multiple obstacles hinder clinical applications of AI models. Incorporating the machine and/or deep learning algorithms into real-world settings would be a key step in the progress of AI in medicine.",0,0,Rheumatoid arthritis; Autoimmune diseases; Artificial intelligence; Deep learning; Diagnosis; Imaging; Machine learning; Natural language processing; Precision medicine; Treatment; ELECTRONIC MEDICAL-RECORDS; DISEASE-ACTIVITY; HEALTH-CARE; AUTOMATED ASSESSMENT; LOGISTIC-REGRESSION; CLINICAL-RESPONSE; PHYSICAL-ACTIVITY; AMERICAN-COLLEGE; BIG DATA; MACHINE,Review
Automatic medical protocol classification using machine learning approaches,"Lopez-Ubeda, Pilar; Diaz-Galiano, Manuel Carlos; Martin-Noguerol, Teodoro; Luna, Antonio; Urena-Lopez, L. Alfonso; Martin-Valdivia, M. Teresa; ELSEVIER IRELAND LTD; Lopez-Ubeda, Pilar; Diaz-Galiano, Manuel Carlos; Urena-Lopez, L. Alfonso; Martin-Valdivia, M. Teresa; Martin-Noguerol, Teodoro; Luna, Antonio; Lopez-Ubeda, Pilar; López-Úbeda, Pilar; Lopez Ubeda, Pilar; López, Alfonso; Martin-Valdivia, Maria-Teresa; Luna Alcala, Antonio; Ríos Luna, Antonio; Diaz-Galiano, Manuel",2021,COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE,10.1016/j.cmpb.2021.105939,WOS:000623110300009,Spain,"Background and objective: Assignment of medical imaging procedure protocols requires extensive knowledge about patient's data, usually included in radiological request forms and radiological reports. Assignment of protocol is required prior to radiological study acquisition, determining procedure for each patient. The automation of this protocol assignment process could improve the efficiency of patient's diagnosis. Artificial intelligence has proven to be of great help in these healthcare-related problems, and specifically the application of Natural Language Processing (NLP) techniques for extracting information from text reports has been successfully used in automatic text classification tasks. Methods: In this paper, machine learning classification models based on NLP have been developed using patient's data present in radiological reports and radiological imaging protocols. We have used a real corpus provided by the private medical center ""HT medica"" composed of almost 70 0,0 0 0 Computed Tomography (CT) and Magnetic Resonance Imaging (MRI) examinations obtained during routine clinical use. We have compared several models including traditional machine learning methods such as support vector machine and random forest, neural networks and transfer language techniques.",6,0,Spanish radiological report; Image protocol; Automatic protocol assignment; Natural language processing; Machine learning algorithm; Textual multiclass classification task; RADIOLOGY,Article
Improved Identification of Venous Thromboembolism From Electronic Medical Records Using a Novel Information Extraction Software Platform,"Dantes, Raymund B.; Zheng, Shuai; Lu, James J.; Beckman, Michele G.; Krishnaswamy, Asha; Richardson, Lisa C.; Chernetsky-Tejedor, Sheri; Wang, Fusheng; LIPPINCOTT WILLIAMS & WILKINS; Dantes, Raymund B.; Chernetsky-Tejedor, Sheri; Zheng, Shuai; Chernetsky-Tejedor, Sheri; Wang, Fusheng; Lu, James J.; Beckman, Michele G.; Krishnaswamy, Asha; Richardson, Lisa C.; Dantes, Raymund B.; Wang, Fusheng; Wang, Fusheng; Richardson, Lisa",2018,MEDICAL CARE,10.1097/MLR.0000000000000831,WOS:000441914700001,USA,"Introduction:The United States federally mandated reporting of venous thromboembolism (VTE), defined by Agency for Healthcare Research & Quality Patient Safety Indicator 12 (AHRQ PSI-12), is based on administrative data, the accuracy of which has not been consistently demonstrated. We used IDEAL-X, a novel information extraction software system, to identify VTE from electronic medical records and evaluated its accuracy.Methods:Medical records for 13,248 patients admitted to an orthopedic specialty hospital from 2009 to 2014 were reviewed. Patient encounters were defined as a hospital admission where both surgery (of the spine, hip, or knee) and a radiology diagnostic study that could detect VTE was performed. Radiology reports were both manually reviewed by a physician and analyzed by IDEAL-X.Results:Among 2083 radiology reports, IDEAL-X correctly identified 176/181 VTE events, achieving a sensitivity of 97.2% [95% confidence interval (CI), 93.7%-99.1%] and specificity of 99.3% (95% CI, 98.9%-99.7%) when compared with manual review. Among 422 surgical encounters with diagnostic radiographic studies for VTE, IDEAL-X correctly identified 41 of 42 VTE events, achieving a sensitivity of 97.6% (95% CI, 87.4%-99.6%) and specificity of 99.8% (95% CI, 98.7%-100.0%). The performance surpassed that of AHRQ PSI-12, which had a sensitivity of 92.9% (95% CI, 80.5%-98.4%) and specificity of 92.9% (95% CI, 89.8%-95.3%), though only the difference in specificity was statistically significant (P<0.01).Conclusion:IDEAL-X, a novel information extraction software system, identified VTE from radiology reports with high accuracy, with specificity surpassing AHRQ PSI-12. IDEAL-X could potentially improve detection and surveillance of many medical conditions from free text of electronic medical records.",0,0,venous thromboembolism; natural language processing; machine learning; quality improvement; PATIENT SAFETY INDICATOR; DEEP-VEIN THROMBOSIS; PULMONARY-EMBOLISM,Article
A Keyword Approach to Identify Adverse Events Within Narrative Documents From 4 Italian Institutions,"Piscitelli, Antonio; Bevilacqua, Luciana; Labella, Barbara; Parravicini, Elena; Auxilia, Francesco; LIPPINCOTT WILLIAMS & WILKINS; Piscitelli, Antonio; Bevilacqua, Luciana; Labella, Barbara; Parravicini, Elena; Auxilia, Francesco; Auxilia, Francesco; Piscitelli, Antonio; auxilia, francesco",2022,JOURNAL OF PATIENT SAFETY,10.1097/PTS.0000000000000783,WOS:000733885200057,Italy,"Objectives Existing methods for measuring adverse events in hospitals intercept a restricted number of events. Text mining refers to a range of techniques to extract data from narrative sources. The goal of this study was to evaluate the performance of an automated approach for extracting adverse event keywords from within electronic health records. Methods The study involved 4 medical centers in the Region of Lombardy. A starting set of keywords was trained in an iterative process to develop queries for 7 adverse events, including those used by the Agency for Healthcare Research and Quality as patient safety indicators. We calculated positive predictive values of the 7 queries and performed an error analysis to detect reasons for false-positive cases of pulmonary embolism, deep vein thrombosis, and urinary tract infection. Results Overall, 397,233 records were collected (34,805 discharge summaries, 292,593 emergency department notes, and 69,835 operation reports). Positive predictive values were higher for postoperative wound dehiscence (83.83%) and urinary tract infection (73.07%), whereas they were lower for deep vein thrombosis (5.37%), pulmonary embolism (13.63%), and postoperative sepsis (12.28%). The most common reasons for false positives were reporting of past events (42.25%), negations (22.80%), and conditions suspected by physicians but not confirmed by a diagnostic test (11.25%). Conclusions The results of our study demonstrated the feasibility of using an automated approach to detect multiple adverse events in several data sources. More sophisticated techniques, such as natural language processing, should be tested to evaluate the feasibility of using text mining as a routine method for monitoring adverse events in hospitals.",0,0,adverse event; keywords; electronic health record; ELECTRONIC HEALTH RECORDS; AUTOMATED IDENTIFICATION; SURVEILLANCE,Article
Cognitive Computing-Based Mammographic Image Classification on an Internet of Medical,"Mansour, Romany F.; Althobaiti, Maha M.; TECH SCIENCE PRESS; Mansour, Romany F.; Althobaiti, Maha M.; Mansour, Romany F.; Althobaiti, Maha; Mansour, Romany",2022,CMC-COMPUTERS MATERIALS & CONTINUA,10.32604/cmc.2022.026515,WOS:000779567700032,Egypt; Saudi Arabia,"Recently, the Internet of Medical Things (IoMT) has become a research hotspot due to its various applicability in medical field. However, the data analysis and management in IoMT remain challenging owing to the existence of a massive number of devices linked to the server environment, generating a massive quantity of healthcare data. In such cases, cognitive computing can be employed that uses many intelligent technologies-machine learning (ML), deep learning (DL), artificial intelligence (AI), natural language processing (NLP) and others-to comprehend data expansively. Furthermore, breast cancer (BC) has been found to be a major cause of mortality among ladies globally. Earlier detection and classification of BC using digital mammograms can decrease the mortality rate. This paper presents a novel deep learning-enabled multi-objective mayfly optimization algorithm (DLMOMFO) for BC diagnosis and classification in the IoMT environment. The goal of this paper is to integrate deep learning (DL) and cognitive computing-based techniques for e-healthcare applications as a part of IoMT technology to detect and classify BC. The proposed DL-MOMFO algorithm involved Adaptive Weighted Mean Filter (AWMF)-based noise removal and contrast-limited adaptive histogram equalisation (CLAHE)-based contrast improvement techniques to improve the quality of the digital mammograms. In addition, a U-Net architecture-based segmentation method was utilised to detect diseased regions in the mammograms. Moreover, a SqueezeNet-based feature extraction and a fuzzy support vector machine (FSVM) classifier were used in the presented technique. To enhance the diagnostic performance of the presented method, the MOMFO algorithm was used to effectively tune the parameters of the SqueezeNet and FSVM techniques. The DL-MOMFO revealed that the DL-MOMFO technique outperformed existing techniques.",0,0,Cognitive computing; breast cancer; digital mammograms; image processing; internet of medical things; smart healthcare; BREAST-CANCER,Article
Navigating the future: machine learning's role in revolutionizing antimicrobial stewardship and infection prevention and control,"Hanna, John J.; Medford, Richard J.; LIPPINCOTT WILLIAMS & WILKINS; Hanna, John J.; Medford, Richard J.; Hanna, John J.; Medford, Richard J.; Medford, Richard J.; Hanna, John; Hanna, John",2024,CURRENT OPINION IN INFECTIOUS DISEASES,10.1097/QCO.0000000000001028,WOS:001256263800004,USA,"Purpose of reviewThis review examines the current state and future prospects of machine learning (ML) in infection prevention and control (IPC) and antimicrobial stewardship (ASP), highlighting its potential to transform healthcare practices by enhancing the precision, efficiency, and effectiveness of interventions against infections and antimicrobial resistance.Recent findingsML has shown promise in improving surveillance and detection of infections, predicting infection risk, and optimizing antimicrobial use through the development of predictive analytics, natural language processing, and personalized medicine approaches. However, challenges remain, including issues related to data quality, model interpretability, ethical considerations, and integration into clinical workflows.SummaryDespite these challenges, the future of ML in IPC and ASP is promising, with interdisciplinary collaboration identified as a key factor in overcoming existing barriers. ML's role in advancing personalized medicine, real-time disease monitoring, and effective IPC and ASP strategies signifies a pivotal shift towards safer, more efficient healthcare environments and improved patient care in the face of global antimicrobial resistance challenges.",0,0,antimicrobial stewardship; artificial intelligence; infection prevention and control; machine learning; COVID-19; MEDICINE,Review
Investigating classification supervised learning approaches for the identification of critical patients' posts in a healthcare social network,"Carnevale, Lorenzo; Celesti, Antonio; Fiumara, Giacomo; Galletta, Antonino; Villari, Massimo; ELSEVIER; Carnevale, Lorenzo; Celesti, Antonio; Fiumara, Giacomo; Galletta, Antonino; Villari, Massimo; Villari, Massimo; Celesti, Antonio; Galletta, Antonino; Carnevale, Lorenzo; Carnevale, Lorenzo; Fiumara, Giacomo; Galletta, Antonino; Fiumara, Giacomo",2020,APPLIED SOFT COMPUTING,10.1016/j.asoc.2020.106155,WOS:000529902300017,Italy,"Nowadays, Healthcare Social Networks (HSNs) offer the possibility to enhance patient care and education. However, they also present potential risks for patients due to the possible distribution of poor-quality or wrong information along with their bad interpretation. On one hand doctors and practitioners want to promote the exchange of information among patients about a specific disease, but on the other hand they do not have enough time to read patients' posts and moderate them when required. In this paper, we investigate and compare different supervised learning classifiers that we adopted for the classification of critical patients' posts who can trigger the intervention of the medical personnel. In particular, by considering different Bayesian, Linear and Support Vector Machine (SVM) classifiers we analyze their accuracy considering different n-grams datasets preparation approaches in order to identify the best approach for the identification of critical patients' posts in a Healthcare Social Network. (C) 2020 Elsevier B.V. All rights reserved.",12,0,Machine Learning; Natural language processing; Healthcare; Social network; Classification; Regression; USER SIMILARITY; MEDIA; PROFESSIONALS,Article
Patients Decision Aid System Based on FHIR Profiles,"Semenov, Ilia; Kopanitsa, Georgy; Denisov, Dmitry; Alexandr, Yakovenko; Osenev, Roman; Andreychuk, Yury; SPRINGER; Semenov, Ilia; Denisov, Dmitry; Osenev, Roman; Andreychuk, Yury; Kopanitsa, Georgy; Alexandr, Yakovenko; Kopanitsa, Georgy; Kopanitsa, Georgy",2018,JOURNAL OF MEDICAL SYSTEMS,10.1007/s10916-018-1016-4,WOS:000440484400001,Russia,"Patients are becoming more and more involved in clinical decision-making process. Several factors support this process. Advances in omics allows individualization of diagnosis and treatment. Patient awareness and easy availability of data on the Internet allows patients to become informed decision makers when it comes even to disease management. Mass media emphasize the issue of medical errors, making patients demanding for quality in medical care. In some healthcare settings, patents face a problem of interpreting medical data and making decisions on treatment tactics without having a doctor, who could potentially support them. Delegating this task to a Patient Decision Aide system can add automatically generated recommendations to result reports without adding significant workload on the doctors, increase patients' motivation and support their decisions. We have implemented a patient decision aid system based on the productions rules, which: Collects data from available sources; Automatically analyses and interprets laboratory test results; Recommends running additional tests for a more precise diagnostic; Delivers automatically generated reports to doctors and patients in a natural language. To achieve semantic interoperability with other systems we have implemented a FHIR engine. The knowledge base has been organized as a graph structure. The application is structured as a set of lightly coupled services, which implement the logic of the decision support system. In total, we have modelled 365 nodes of test components, 5084 nodes of inference rules, 49932 connections and 3072 blocks of text for medical certificates. The findings of the research provide a deep understanding of how the semantically interoperable clinical decision support systems are implemented. Advances in notification the patients with the elements of patient decision aid is important for clinical data management, and for patients' empowerment and protection. We suppose that the system empowering patients in such way can play a meaningful role in helping patients to make informed decisions during the process of diagnostics and treatment.",0,0,Medical informatics; telemedicine; expert system; methods of inference; case-based reasoning; medical standard; Decision support; Laboratory information system; Telemedicine; First order predicates; ELECTRONIC HEALTH RECORDS; SUPPORT-SYSTEM; PERSONALIZED MEDICINE; EMERGENCY-DEPARTMENT; LABORATORY TESTS; CLINICAL-TRIAL; IMPLEMENTATION; INFORMATION; MANAGEMENT; KNOWLEDGE,Article
