title,authors,year,journal,doi,uid,countries,abstract,citations,references,keywords,subtypeDescription
Data Processing and Text Mining Technologies on Electronic Medical Records: A Review,"Sun, Wencheng; Cai, Zhiping; Li, Yangyang; Liu, Fang; Fang, Shengqun; Wang, Guoyan; HINDAWI LTD; Sun, Wencheng; Cai, Zhiping; Fang, Shengqun; Li, Yangyang; Liu, Fang; Wang, Guoyan; Cai, Zhiping; Cai, Zhiping; Cai, Zhiping",2018,JOURNAL OF HEALTHCARE ENGINEERING,10.1155/2018/4302425,WOS:000430670100001,Peoples R China,"Currently, medical institutes generally use EMR to record patient's condition, including diagnostic information, procedures performed, and treatment results. EMR has been recognized as a valuable resource for large-scale analysis. However, EMR has the characteristics of diversity, incompleteness, redundancy, and privacy, which make it difficult to carry out data mining and analysis directly. Therefore, it is necessary to preprocess the source data in order to improve data quality and improve the data mining results. Different types of data require different processing technologies. Most structured data commonly needs classic preprocessing technologies, including data cleansing, data integration, data transformation, and data reduction. For semistructured or unstructured data, such as medical text, containing more health information, it requires more complex and challenging processing methods. The task of information extraction for medical texts mainly includes NER (named-entity recognition) and RE (relation extraction). This paper focuses on the process of EMR processing and emphatically analyzes the key techniques. In addition, we make an in-depth study on the applications developed based on text mining together with the open challenges and research issues for future work.",21,0,EXTRACTION; INFORMATION; ASSERTIONS; SYSTEM; RULE,Review
The effect of consultations performed by specialised nurses or advanced nurse practitioners on patient and organisational outcomes in patients with complex health conditions: An umbrella review,"Deschodt, Mieke; Heeren, Pieter; Cerulus, Marie; Duerinckx, Nathalie; Pape, Eva; van Achterberg, Theo; Vanclooster, Annick; Dauvrin, Marie; Detollenaere, Jens; van den Heede, Koen; Dobbels, Fabienne; PERGAMON-ELSEVIER SCIENCE LTD; Deschodt, Mieke; Cerulus, Marie; Deschodt, Mieke; Heeren, Pieter; Cerulus, Marie; Duerinckx, Nathalie; Vanclooster, Annick; Heeren, Pieter; Duerinckx, Nathalie; van Achterberg, Theo; Dobbels, Fabienne; Duerinckx, Nathalie; Pape, Eva; Dauvrin, Marie; Detollenaere, Jens; van den Heede, Koen; Deschodt, Mieke; Heeren, Pieter; van Achterberg, Theo; van Achterberg, Theo; Van den Heede, Koen",2024,INTERNATIONAL JOURNAL OF NURSING STUDIES,10.1016/j.ijnurstu.2024.104840,WOS:001288856000001,Belgium,"Background: Policymakers and researchers often suggest that nurses may play a crucial role in addressing the evolving needs of patients with complex conditions, by taking on advanced roles and providing nursing consultations. Nursing consultations vary widely across settings and countries, and their activities range from complementing to substituting traditional physician-led consultations or usual care. Objective: This study was aimed at describing the effects of nursing consultations with patients with complex conditions in any setting on patient outcomes (quality of life, physical status, psychosocial health, health behaviour, medication adherence, mortality, anthropometric and physiological outcomes, and patient satisfaction) and organisational outcomes (health resource use and costs). Design: Umbrella review. Methods: We followed the Joanna Briggs Institute method for umbrella reviews. We searched PubMed, Embase, Cochrane Database of Systematic Reviews and CINAHL to identify relevant articles published in English, Dutch, French, Spanish or German between January 2013 and February 2023. We included systematic literature reviews, with or without meta-analyses, that included randomised controlled trials conducted in high-income countries. Reviews were eligible if they pertained to consultations led by specialised nurses or advanced nurse practitioners. Article selection, data extraction and quality appraisal were performed independently by at least two reviewers. Results: We included 50 systematic reviews based on 473 unique trials. For all patient outcomes, nursing consultations achieved effects at least equivalent to those of physician-led consultations or usual care (i.e., non- inferiority). For quality of life, health behaviour, medication adherence, mortality and patient satisfaction, more than half the meta-analyses found statistically significant effects in favour of nursing consultations (i.e., superiority). Cost results must be interpreted with caution, because very few and heterogeneous cost-related data were extracted, and the methodological quality of the cost analyses was questionable. Narrative syntheses confirmed the overall conclusions of the meta-analyses. Conclusions: The effects of nursing consultations on patients with complex health conditions across healthcare settings appear to be at least similar to physician-led consultations or usual care. Nursing consultations appear to be more effective than physician-led consultations or usual care in terms of quality of life, health behaviour, mortality, patient satisfaction and medication adherence. Further analysis of the primary data is necessary to determine the patient populations and settings in which nursing consultations are most effective. Moderate study quality, diversity amongst and within systematic reviews, and quality of reporting hamper the strength of the findings. (c) 2024 Elsevier Ltd. All rights are reserved, including those for text and data mining, AI training, and similar technologies.",0,0,Health services; Nurse-led clinics; Patient outcome assessment; Referral and consultation; Review; PRIMARY-CARE; COST-EFFECTIVENESS; MANAGEMENT INTERVENTIONS; CLINICAL-EFFECTIVENESS; TRANSITIONAL CARE; INTEGRATED CARE; CHRONIC DISEASE; METAANALYSIS; MORBIDITY; IMPACT,Review
Sentimental analysis of Facebook reviews: Does hospitality matter in senior living?,"Zhong, YunYing (Susan); Zhang, TingTing; Ronzoni, Giulio; ELSEVIER SCI LTD; Zhong, YunYing (Susan); Zhang, TingTing; Ronzoni, Giulio; Zhong, YunYing (Susan); Zhang, Tingting",2023,INTERNATIONAL JOURNAL OF HOSPITALITY MANAGEMENT,10.1016/j.ijhm.2022.103384,WOS:001023531800001,USA,"The U.S. senior living industry is increasingly innovating through bridging hospitality and healthcare practices. This study aimed to examine the role of hospitality in the senior living setting from the consumer's perspectives, focusing on residents and their family and friends. Using text mining and sentiment analysis on Facebook reviews, the study uncovered five factors that affected satisfaction, dissatisfaction, and recommendation behavior: service delivery, built environment, social environment, hospitality amenities, and cost. Results indicated the relevance of hospitality, its specific meanings, and its effects on different resident-based outcomes in senior living. This research represents one of the few studies that attempt to broaden the applicability of hospitality to other service sectors and promote interdisciplinary research between senior living and hospitality.",0,0,Hospitality definition; Senior living; Facebook review; Sentiment analysis; Text mining; Recommendation; Satisfaction; Dissatisfaction; BIG DATA; SERVICE; CARE; SATISFACTION; PERCEPTIONS; CUSTOMERS; INDUSTRY; QUALITY; IMPACT; SCALE,Article
Impact of Surgical Residency Integration on Trauma and Acute Care Surgery Outcomes: A Retrospective Analysis,"Louis, Mena; Gibson, Brian; Krause, Morgan; ELSEVIER SCIENCE INC; Louis, Mena; Gibson, Brian; Krause, Morgan; Krause, Morgan; Louis, Mena; Krause, Morgan",2024,JOURNAL OF SURGICAL EDUCATION,10.1016/j.jsurg.2024.06.009,WOS:001291802700001,USA,"BACKGROUND: In the context of surgical education reform, the integration of residency programs represents a significant milestone. Concerns about potential disruptions to patient care metrics amid these changes necessitate empirical investigation. METHODS: This study assessed the impact of integrating surgical residency programs on patient outcomes within Trauma and Acute Care Surgery services. Pre- and postintegration data were meticulously analyzed to evaluate key metrics, including length of hospital stay, recovery rates, and complication rates. RESULTS: Contrary to initial concerns, the introduction of residency programs did not yield significant alterations in patient care metrics. Analysis revealed consistent outcomes pre- and post-integration, indicating the resilience of patient care amidst educational reforms. Despite the introduction of a high-stakes training environment, patient outcomes remained stable. CONCLUSION: The study highlights the compatibility educational advancements with the preservation of optimal patient care standards in Trauma and Acute Care Surgery services. Demonstrating the stability of patient care metrics in the face of educational reforms offers valuable insights for healthcare institutions considering similar initiatives. Overall, these findings contribute to the discourse on the value of surgical residency programs, reinforcing the importance of maintaining high-quality patient care standards while advancing surgical education. ( Association Directors in Published Elsevier Inc. All rights are reserved, including those for text and data mining, AI training, and similar technologies.)",0,0,acute care surgery; patient outcomes; recovery rates; complication rates; Surgical residency integration; trauma,Article
Predictors of the quality of life in siblings of children with chronic diseases,"Eidi, Fatemeh; Taklimi, Mahshid Mirzaie; Taheri-Ezbarami, Zahra; Faraji-Nesfechi, Elnaz; Leili, Ehsan Kazemnejad; ELSEVIER SCIENCE INC; Eidi, Fatemeh; Taklimi, Mahshid Mirzaie; Taheri-Ezbarami, Zahra; Faraji-Nesfechi, Elnaz; Leili, Ehsan Kazemnejad; Taklimi, Mahshid Mirzaie; ezbrami, zahra",2024,JOURNAL OF PEDIATRIC NURSING-NURSING CARE OF CHILDREN & FAMILIES,10.1016/j.pedn.2024.08.012,WOS:001370506100001,Iran,"Purpose: Advances in medical sciences have contributed to the increase in children living with chronic diseases. The diagnosis of a chronic disease in a child can affect the quality of life of all family members, including siblings. Therefore, this study aimed to identify the predictors of quality of life among siblings aged 8 to 12 years who have a brother or sister with chronic diseases. Methods: In this case-control study conducted in Rasht, 85 siblings of children with chronic diseases as the case group and 172 siblings of healthy children as the control group were recruited using cluster sampling. The two groups were matched for age and gender. Data were collected using the Pediatric Quality of Life Inventory (PedsQL TM) and a demographic questionnaire. The collected data were analyzed using Mann-Whitney U, Kruskal-Wallis, and logistic regression analysis tests via SPSS version 16. Results: The mean quality of life scores in the case and control groups were 88.86 +/- 10.33 and 87.39 +/- 10.89, respectively, indicating a desirable level within both groups. No statistically significant difference was found in this regard between the two groups. Based on the logistic regression analysis, three variables of number of family members (P = 0.03), mother's education level (P = 0.025), and family's income level (P = 0.023) were identified as significant predictors of quality of life. In this regard, it was found that the number of family members and the mother's education level were positively related to the quality of life, increasing the mean scores by 2.32 and 1.48, respectively. Conversely, a higher family income level was associated with a decrease in quality of life scores by 0.543. Conclusions: The study found that the quality of life among siblings of children with chronic diseases is good, comparable to that of their peers. The findings imply that the chronicity of the disease does not significantly impair siblings' adaptation and overall well-being. Practice implications: The findings of this study can be used in various fields, including healthcare management, nursing clinical services, nursing education, and nursing research. (c) 2024 Elsevier Inc. All rights are reserved, including those for text and data mining, AI training, and similar technologies.",0,0,Quality of life; Siblings; Chronic disease; Child; CHRONIC ILLNESS; PSYCHOLOGICAL ADJUSTMENT,Article
Secure Secondary Use of Clinical Data with Cloud-based NLP Services Towards a Highly Scalable Research Infrastructure,"Christoph, J.; Griebel, L.; Leb, I.; Engel, I.; Koepcke, F.; Toddenroth, D.; Prokosch, H. -U.; Laufer, J.; Marquardt, K.; Sedlmayr, M.; GEORG THIEME VERLAG KG; Christoph, J.; Griebel, L.; Leb, I.; Engel, I.; Koepcke, F.; Toddenroth, D.; Prokosch, H. -U.; Sedlmayr, M.; Laufer, J.; Marquardt, K.; Sedlmayr, M.; Sedlmayr, Martin; Sedlmayr, Martin",2015,METHODS OF INFORMATION IN MEDICINE,10.3414/ME13-01-0133,WOS:000355057800013,Germany,"Objectives: The secondary use of clinical data provides large opportunities for clinical and translational research as well as quality assurance projects. For such purposes, it is necessary to provide a flexible and scalable infrastructure that is compliant with privacy requirements. The major goals of the cloud4health project are to define such an architecture, to implement a technical prototype that fulfills these requirements and to evaluate it with three use cases.",0,0,Cloud-computing; secondary use; text-mining; privacy; natural language processing; software design; ELECTRONIC HEALTH RECORDS; INFORMATICS; NETWORK; LOINC,Article
Feature Based Sentiment Analysis for Service Reviews,"Abirami, Ariyur Mahadevan; Askarunisa, Abdulkhader; GRAZ UNIV TECHNOLGOY, INST INFORMATION SYSTEMS COMPUTER MEDIA-IICM; Abirami, Ariyur Mahadevan; Askarunisa, Abdulkhader; Abirami, Ariyur Mahadevan; A M, ABIRAMI; Abirami, A",2016,JOURNAL OF UNIVERSAL COMPUTER SCIENCE,N/A,WOS:000384890800004,India,"Sentiment Analysis deals with the analysis of emotions, opinions and facts in the sentences which are expressed by the people. It allows us to track attitudes and feelings of the people by analyzing blogs, comments, reviews and tweets about all the aspects. The development of Internet has strong influence in all types of industries like tourism, healthcare and any business. The availability of Internet has changed the way of accessing the information and sharing their experience among users. Social media provide this information and these comments are trusted by other users. This paper recognizes the use and impact of social media on healthcare industry by analyzing the users' feelings expressed in the form of free text, thereby gives the quality indicators of services or features related with them. In this paper, a sentiment classifier model using improved Term Frequency Inverse Document Frequency (TFIDF) method and linear regression model has been proposed to classify online reviews, tweets or customer feedback for various features. The model involves the process of gathering online user reviews about hospitals and analyzes those reviews in terms of sentiments expressed. Information Extraction process filters irrelevant reviews, extracts sentimental words of features identified and quantifies the sentiment of features using sentiment dictionary. Emotionally expressed positive or negative words are assigned weights using the classification prescribed in the dictionary. The sentiment analysis on tweets/reviews is done for various features using Natural Language Processing (NLP) and Information Retrieval (IR) techniques. The proposed linear regression model using the senti-score predicts the star rating of the feature of service. The statistical results show that improved TF-IDF method gives better accuracy when compared with TF and TF-IDF methods, used for representing the text. The senti-score obtained as a result of text analysis (user feedback) on features gives not only the opinion summarization but also the comparative results on various features of different competitors. This information can be used by business to focus on the low scored features so as to improve their business and ensure a very high level of user satisfaction.",0,0,Sentiment analysis; Opinion mining; Sentiment classifier; TF-IDF; Linear regression; online reviews; SOCIAL MEDIA,Review
"Impact of a pharmacist-driven COPD clinic on outcomes related to COPD in a federally qualified health center (Reprinted from J Am Pharm Assoc, vol 64, pg 512-516, 2024)","Glover, Lacey H.; Skelley, Jessica W.; Cimino, Lauren H.; Berry, Russell B.; ELSEVIER; Glover, Lacey H.; Glover, Lacey H.; Skelley, Jessica W.; Glover, Lacey H.; Skelley, Jessica W.; Skelley, Jessica W.; Cimino, Lauren H.; Berry, Russell B.; Berry, Russell B.; Glover, Lacey H.; Glover, Lacey",2024,JOURNAL OF THE AMERICAN PHARMACISTS ASSOCIATION,10.1016/j.japh.2024.102170,WOS:001325619900026,USA,"Background: Chronic obstructive pulmonary disease (COPD) affects many patients across the United States. Morbidity related to COPD can lead to increased financial strain to health care system. The United States is also shifting toward value-based payments, which rely on satisfying quality measures. Pharmacists are equipped with knowledge in adjusting medications based on symptom burden and guideline recommendations in COPD and are equipped with the proper knowledge to address quality measures.",0,0,,Article
Types of Social Support That Colorectal Cancer Survivors Need by Treatment Phase,"Yoon, Jaehee; Jeong, Donghoon; Son, Heesook; LIPPINCOTT WILLIAMS & WILKINS; Yoon, Jaehee; Jeong, Donghoon; Son, Heesook; Son, Heesook; Son, Heesook; Yoon, Jaehee; YOON, JAEHEE",2023,CANCER NURSING,10.1097/NCC.0000000000001144,WOS:001089906600005,South Korea,"BackgroundEvaluating the needs of colorectal cancer survivors is critical for developing and providing effective supportive services; however, little is known about the specific needs of the survivors.ObjectivesThe aim of this study was to examine the types of social support that colorectal cancer survivors need at each treatment phase.MethodsData were extracted using text-mining analysis from posts on an online self-help group for colorectal cancer survivors in Korea from 2011 to 2020. Classification analysis was performed based on the frequency of terms posted, and word clouds were created.ResultsIn the pretreatment phase, support for pain and diagnostic testing were needed. In the treatment phase, needing support for colorectal cancer treatment and managing subsequent adverse events were frequently mentioned. In the posttreatment phase, informational interventions providing information on adjusting to changes in bowel functions and preventing cancer recurrence were needed.ConclusionsThere were differences in the types of social support and the number of words frequently used across phases of treatment, highlighting the need for phase-specific supportive interventions. The highest identified needs, including colorectal cancer treatment and adverse events in the treatment phase, suggest that colorectal cancer survivors need additional information about treatment within the healthcare system.Implications for PracticeColorectal cancer survivors have specific needs that vary by their treatment stage. Supportive services that reflect the needs of each treatment phase are needed to improve the physical and mental health and quality of life of colorectal cancer survivors.",0,0,Colorectal cancer survivors; Social support; Text mining; Treatment phase; QUALITY-OF-LIFE; CARE NEEDS; PEOPLE; PERSPECTIVES; INFORMATION; EXPERIENCE,Article
Exploring the perceptions and experiences of female's with ß-thalassemia major in a Tertiary Care Private Hospital in Pakistan,"Jabeen, Rawshan; Ansari, Iqra; Durrani, Butool; Salman, Mubarak Jabeen; Mazhar, Laraib; Ansari, Muhammad Usman Hussain; Ansari, Ali Hussain; Kabani, Saba; Ansari, Saqib Husain; ELSEVIER FRANCE-EDITIONS SCIENTIFIQUES MEDICALES ELSEVIER; Jabeen, Rawshan; Durrani, Butool; Ansari, Muhammad Usman Hussain; Ansari, Ali Hussain; Jabeen, Rawshan; Ansari, Iqra; Salman, Mubarak Jabeen; Ansari, Saqib Husain; Mazhar, Laraib; Kabani, Saba; Jabeen, Rawshan; Jabeen, Rawshan; Durrani, Butool; Jabeen, Rawshan",2024,TRANSFUSION CLINIQUE ET BIOLOGIQUE,10.1016/j.tracli.2024.06.008,WOS:001368456900001,Pakistan; USA; Kuwait,"Introduction: ss-Thalassemia, a genetic condition which influences both the physical and emotional facets of individuals specially females while also exerting substantial financial strain on families and healthcare systems. Recognizing the pivotal influence of social support, particularly on mental well-being, this study endeavors to delve into the shared psychosocial challenges experienced by females grappling with ss-thalassemia major. Methods: Employing a qualitative-descriptive methodology and purposive sampling, this study conducted in-depth interviews with forty-two young girls, 18.64 +/- 4.27, diagnosed with ss-thalassemia major and representing diverse academic backgrounds, using a semi-structured in-depth interview guide. NVIVO-12 software facilitated extended data analysis, encompassing coding, categorization, theme development, and mind-mapping techniques to unravel nuanced insights from the collected data. Findings: This groundbreaking study delves into the psychosocial factors that impact the well-being of female ss-thalassemia patients. The research highlights the key factors that positively contribute to their quality of life by conducting thorough inductive content analysis. These include receiving an education, having robust family support, experiencing overall life satisfaction, and making meaningful societal contributions. The findings of this study can be used to improve the lives of female ss-thalassemia patients and enhance their overall well-being. Contrariwise, notable impediments encompassed depression, social isolation, limited access to insurance services, challenges in educational and employment spheres, as well as difficulties in nurturing social relationships. These findings underscore the multifaceted influences shaping the quality of life for girls navigating ss-thalassemia, shedding light on empowering and challenging elements within their experiences. Conclusion: In conclusion, psychosocial factors supporting or hindering the well-being of young girls with ss-thalassemia major in Pakistan include an inductive environment at homes, organizations, education, institutions with adequate knowledge of thalassemia disease among patients, and society. More research is needed to understand their needs and advocate for societal support and acceptance. Family and friends support are crucial for improving their quality of life, necessitating focused efforts to provide understanding and aid within the community. (c) 2024 Soci & eacute;t & eacute; fran & ccedil;aise de transfusion sanguine (SFTS). Published by Elsevier Masson SAS. All rights are reserved, including those for text and data mining, AI training, and similar technologies.",0,0,Beta-thalassemia; Girls' well-being; Psychosocial influences on health; Young girls; DEPRESSION; PREVALENCE; ANXIETY,Article
