title,authors,year,journal,doi,uid,countries,abstract,citations,references,keywords,subtypeDescription
A sentiment analysis driven method based on public and personal preferences with correlated attributes to select online doctors,"Wu, Jian; Zhang, Guangyin; Xing, Yumei; Liu, Yujia; Zhang, Zhen; Dong, Yucheng; Herrera-Viedma, Enrique; SPRINGER; Wu, Jian; Zhang, Guangyin; Xing, Yumei; Liu, Yujia; Wu, Jian; Zhang, Guangyin; Xing, Yumei; Liu, Yujia; Zhang, Zhen; Dong, Yucheng; Herrera-Viedma, Enrique; Liu, Yujia; Liu, Yujia; HERRERA-VIEDMA, ENRIQUE; Dong, Yucheng; Zhang, Zhen; guangyin, zhang; Liu, Yujia; Wu, Jian",2023,APPLIED INTELLIGENCE,10.1007/s10489-023-04485-9,WOS:000937787700001,Peoples R China; Spain,"This paper proposes a method to assist patients in finding the most appropriate doctor for online medical consultation. To do that, it constructs an online doctor selection decision-making method that considers the correlation attributes, in which the measure of attribute correlation is derived from the history real decision data. To combine public and personal preference with correlated attributes, it proposes a Choquet integral based comprehensive online doctor ranking method. In detail, a two stage classification model based on BERT (Bidirectional Encoder Representations from Transformers) is used to extract service features from unstructured text reviews. Then, 2-additive fuzzy measure is adopted to represent the patient public group aggregated attribute preference. Next, a novel optimization model is proposed to combine the public preference and personal preference. Finally, a case study of dxy.com is carried out to illustrate the procedure of the method. The comparison result between proposed method and other traditional MADM (multi-attribute decision-making) methods prove its rationality.",0,0,Multi-attribute decision-making; Doctor selection; Online reviews; Sentiment analysis; Choquet integral; 2-additive fuzzy measure; PATIENT COMPLAINTS; SERVICE QUALITY; CARE; MODEL; SYSTEMS,Article
Medical data mining in sentiment analysis based on optimized swarm search feature selection,"Zeng, Daohui; Peng, Jidong; Fong, Simon; Qiu, Yining; Wong, Raymond; SPRINGER; Zeng, Daohui; Peng, Jidong; Fong, Simon; Qiu, Yining; Wong, Raymond; Fong, Simon; Fong, Simon; Teng, Zhongzhao",2018,AUSTRALASIAN PHYSICAL & ENGINEERING SCIENCES IN MEDICINE,10.1007/s13246-018-0674-3,WOS:000451676000029,Peoples R China; Australia,"In this paper, we propose a novel technique termed as optimized swarm search-based feature selection (OS-FS), which is a swarm-type of searching function that selects an ideal subset of features for enhanced classification accuracy. In terms of gaining insights from unstructured medical based texts, sentiment prediction is becoming an increasingly crucial machine learning technique. In fact, due to its robustness and accuracy, it recently gained popularity in the medical industries. Medical text mining is well known as a fundamental data analytic for sentiment prediction. To form a high-dimensional sparse matrix, a popular preprocessing step in text mining is employed to transform medical text strings to word vectors. However, such a sparse matrix poses problems to the induction of accurate sentiment prediction model. The swarm search in our proposed OS-FS can be optimized by a new feature evaluation technique called clustering-by-coefficient-of-variation. In order to find a subset of features from all the original features from the sparse matrix, this type of feature selection has been a commonly utilized dimensionality reduction technique, and has the capability to improve accuracy of the prediction model. We implement this method based on a case scenario where 279 medical articles related to meaningful use functionalities on health care quality, safety, and efficiency' from a systematic review of previous medical IT literature. For this medical text mining, a multi-class of sentiments, positive, mixed-positive, neutral and negative is recognized from the document contents. Our experimental results demonstrate the superiority of OS-FS over traditional feature selection methods in literature.",0,0,Medical text mining; Optimized swarm search-based feature selection; Sentiment prediction; Clustering-by-coefficient-of-variation,Article
Using sentiment analysis to review patient satisfaction data located on the internet,"Hopper, Anthony M.; Uriyo, Maria; EMERALD GROUP PUBLISHING LTD; Hopper, Anthony M.; Uriyo, Maria; Hopper, Anthony M.",2015,JOURNAL OF HEALTH ORGANIZATION AND MANAGEMENT,10.1108/JHOM-12-2011-0129,WOS:000355690700005,USA,"Purpose - The purpose of this paper is to test the usefulness of sentiment analysis and time-to-next-complaint methods in quantifying text-based information located on the internet. As important, the authors demonstrate how managers can use time-to-next-complaint techniques to organize sentiment analysis derived data into useful information, which can be shared with doctors and other staff.",0,0,Internet; Patient satisfaction; Physicians; Sentiment analysis; Time-to-next-complaint; EXPLORATION,Review
How Do Users Respond to Mass Vaccination Centers? A Cross-Sectional Study Using Natural Language Processing on Online Reviews to Explore User Experience and Satisfaction with COVID-19 Vaccination Centers,"Danek, Stella; Buettner, Martha; Krois, Joachim; Schwendicke, Falk; MDPI; Danek, Stella; Danek, Stella; Buttner, Martha; Büttner, Martha; Schwendicke, Falk",2023,VACCINES,10.3390/vaccines11010144,WOS:000915966100001,Germany,"To reach large groups of vaccine recipients, several high-income countries introduced mass vaccination centers for COVID-19. Understanding user experiences of these novel structures can help optimize their design and increase patient satisfaction and vaccine uptake. This study drew on user online reviews of vaccination centers to assess user experience and identify its key determinants over time, by sentiment, and by interaction. Machine learning methods were used to analyze Google reviews of six COVID-19 mass vaccination centers in Berlin from December 2020 to December 2021. 3647 user online reviews were included in the analysis. Of these, 89% (3261/3647) were positive according to user rating (four to five of five stars). A total of 85% (2740/3647) of all reviews contained text. Topic modeling of the reviews containing text identified five optimally latent topics, and keyword extraction identified 47 salient keywords. The most important themes were organization, friendliness/responsiveness, and patient flow/wait time. Key interactions for users of vaccination centers included waiting, scheduling, transit, and the vaccination itself. Keywords connected to scheduling and efficiency, such as ""appointment"" and ""wait"", were most prominent in negative reviews. Over time, the average rating score decreased from 4.7 to 4.1, and waiting and duration became more salient keywords. Overall, mass vaccination centers appear to be positively perceived, yet users became more critical over the one-year period of the pandemic vaccination campaign observed. The study shows that online reviews can provide real-time insights into newly set-up infrastructures, and policymakers should consider their use to monitor the population's response over time.",0,0,mass vaccination centers; national vaccination campaign; vaccine uptake; patient satisfaction; patient experience; health services design; pandemic response; online reviews; natural language processing; machine learning; text mining; topic modeling; keyword extraction; SOCIAL MEDIA; VACCINES; HEALTH; CARE,Article
Using Natural Language Processing and Sentiment Analysis to Augment Traditional User-Centered Design: Development and Usability Study,"Petersen, Curtis Lee; Halter, Ryan; Kotz, David; Loeb, Lorie; Cook, Summer; Pidgeon, Dawna; Christensen, Brock C.; Batsis, John A.; JMIR PUBLICATIONS, INC; Petersen, Curtis Lee; Petersen, Curtis Lee; Christensen, Brock C.; Halter, Ryan; Kotz, David; Loeb, Lorie; Cook, Summer; Pidgeon, Dawna; Christensen, Brock C.; Christensen, Brock C.; Batsis, John A.; Batsis, John A.; Batsis, John A.; Batsis, John A.; Batsis, John; Christensen, Brock; Batsis, John; Kotz, David; Loeb, Lorie; Cook, Summer",2020,JMIR MHEALTH AND UHEALTH,10.2196/16862,WOS:000617733800001,USA,"Background: Sarcopenia, defined as the age-associated loss of muscle mass and strength, can be effectively mitigated through resistance-based physical activity. With compliance at approximately 40% for home-based exercise prescriptions, implementing a remote sensing system would help patients and clinicians to better understand treatment progress and increase compliance. The inclusion of end users in the development of mobile apps for remote-sensing systems can ensure that they are both user friendly and facilitate compliance. With advancements in natural language processing (NLP), there is potential for these methods to be used with data collected through the user-centered design process.",0,0,aged adults; sarcopenia; remote sensing technology; telemedicine; mobile phone; MUSCLE STRENGTH; GRIP STRENGTH; SOCIAL MEDIA; OLDER-ADULTS; HEALTH; CARE; TECHNOLOGY; SARCOPENIA; MOBILITY; ISSUES,Article
Natural Language Processing to Extract Meaningful Information from Patient Experience Feedback,"Nawab, Khalid; Ramsey, Gretchen; Schreiber, Richard; GEORG THIEME VERLAG KG; Nawab, Khalid; Ramsey, Gretchen; Schreiber, Richard; Schreiber, Richard; Schreiber, Richard; Schreiber, Richard; Nawab, Khalid; Schreiber, Richard; Schreiber, Richard",2020,APPLIED CLINICAL INFORMATICS,10.1055/s-0040-1708049,WOS:000526760200002,USA,"Background Due to reimbursement tied in part to patients' perception of their care, hospitals continue to stress obtaining patient feedback and understanding it to plan interventions to improve patients' experience. We demonstrate the use of natural language processing (NLP) to extract meaningful information from patient feedback obtained through Press Ganey surveys.",0,0,natural language processing; knowledge modeling and representation; patient satisfaction; patient engagement; patient; consumer health; QUALITY-OF-LIFE; MORTALITY; HEALTH; REVIEWS; ONLINE; CARE,Article
Do Patients Assess Physicians Differently in Video Visits as Compared with In-Person Visits? Insights from Text-Mining Online Physician Reviews,"Chandrasekaran, Ranganathan; Bapat, Prathamesh; Venkata, Pruthivinath Jeripity; Moustakas, Evangelos; MARY ANN LIEBERT, INC; Chandrasekaran, Ranganathan; Bapat, Prathamesh; Venkata, Pruthivinath Jeripity; Chandrasekaran, Ranganathan; Moustakas, Evangelos; Chandrasekaran, Ranganathan; Chandrasekaran, Ranganathan; Bapat, Prathamesh",2023,TELEMEDICINE AND E-HEALTH,10.1089/tmj.2022.0507,WOS:000939473100001,USA; U Arab Emirates,"Introduction: Use of both in-person and video visits have become a common norm in health care delivery, especially after the COVID-19 pandemic. It is imperative to understand how patients feel about their providers and their experiences during in-person and video visits. This study examines the important factors that patients use in their reviews and differences in the relative importance.Methods: We performed sentiment analysis and topic modeling on online physician reviews from April 2020 to April 2022. Our dataset comprised 34,824 reviews posted by patients after completing in-person or video visits.Results: Sentiment analysis yielded 27,507 (92.69%) positive and 2,168 (7.31%) negative reviews for in-person visits, and 4,610 (89.53%) positive and 539 (10.47%) negative reviews for video visits. Topic modeling identified seven factors patients used in their reviews: Bedside manners, Medical Expertise, Communication, Visit Environment, Scheduling and Follow-up, Wait times, and Costs and insurance. Patients who gave positive reviews after in-person consultations more frequently mentioned communication, office environment and staff, and bedside manners. Those who gave negative reviews after in-person visits mentioned longer wait times, providers' office and staff, medical expertise, and costs and insurance problems. Patients with positive reviews after video visits emphasized communication, bedside manners, and medical expertise. However, patients posting negative reviews after video visits frequently mentioned problems with appointment scheduling and follow-up, medical expertise, wait times, costs and insurance, and technical problems in video visits.Conclusions: This study identified key factors that influence patients' assessment of their providers in in-person and video visits. Paying attention to these factors can help improve the overall patient experience.",3,0,telemedicine; video visits; physician reviews; topic modeling; sentiment analysis; in-person visits; WAIT TIMES; CARE; SATISFACTION,Article
Analyzing patient experiences using natural language processing: development and validation of the artificial intelligence patient reported experience measure (AI-PREM),"van Buchem, Marieke M.; Neve, Olaf M.; Kant, Ilse M. J.; Steyerberg, Ewout W.; Boosman, Hileen; Hensen, Erik F.; BMC; van Buchem, Marieke M.; Kant, Ilse M. J.; van Buchem, Marieke M.; Kant, Ilse M. J.; Steyerberg, Ewout W.; van Buchem, Marieke M.; Kant, Ilse M. J.; Steyerberg, Ewout W.; Neve, Olaf M.; Hensen, Erik F.; Boosman, Hileen; van Buchem, Marieke M.; van Buchem, Marieke M.; van Buchem, Marieke M.; Steyerberg, Ewout; van Buchem, Marieke Meija; Hensen, Erik; Neve, Olaf; Hensen, Erik; Neve, Olaf",2022,BMC MEDICAL INFORMATICS AND DECISION MAKING,10.1186/s12911-022-01923-5,WOS:000826001400001,Netherlands,"Background Evaluating patients' experiences is essential when incorporating the patients' perspective in improving healthcare. Experiences are mainly collected using closed-ended questions, although the value of open-ended questions is widely recognized. Natural language processing (NLP) can automate the analysis of open-ended questions for an efficient approach to patient-centeredness. Methods We developed the Artificial Intelligence Patient-Reported Experience Measures (AI-PREM) tool, consisting of a new, open-ended questionnaire, an NLP pipeline to analyze the answers using sentiment analysis and topic modeling, and a visualization to guide physicians through the results. The questionnaire and NLP pipeline were iteratively developed and validated in a clinical context. Results The final AI-PREM consisted of five open-ended questions about the provided information, personal approach, collaboration between healthcare professionals, organization of care, and other experiences. The AI-PREM was sent to 867 vestibular schwannoma patients, 534 of which responded. The sentiment analysis model attained an F1 score of 0.97 for positive texts and 0.63 for negative texts. There was a 90% overlap between automatically and manually extracted topics. The visualization was hierarchically structured into three stages: the sentiment per question, the topics per sentiment and question, and the original patient responses per topic. Conclusions The AI-PREM tool is a comprehensive method that combines a validated, open-ended questionnaire with a well-performing NLP pipeline and visualization. Thematically organizing and quantifying patient feedback reduces the time invested by healthcare professionals to evaluate and prioritize patient experiences without being confined to the limited answer options of closed-ended questions.",0,0,Natural language processing; Sentiment analysis; Unsupervised machine learning; Patient satisfaction; Patient-centered care,Article
Use of sentiment analysis for capturing hospitalized cancer patients' experience from free-text comments in the Persian language,"Yazdani, Azita; Shamloo, Mohammad; Khaki, Mina; Nahvijou, Azin; BMC; Yazdani, Azita; Yazdani, Azita; Yazdani, Azita; Shamloo, Mohammad; Khaki, Mina; Nahvijou, Azin; Nahvijou, Azin; Yazdani, Azita; Nahvijou, Azin",2023,BMC MEDICAL INFORMATICS AND DECISION MAKING,10.1186/s12911-023-02358-2,WOS:001110710300001,Iran,"PurposeToday, the Internet provides access to many patients' experiences, which is crucial in assessing the quality of healthcare services. This paper introduces a model for detecting cancer patients' opinions about healthcare services in the Persian language, both positive and negative.MethodTo achieve the objectives of this study, a combination of sentiment analysis (SA) and topic modeling approaches was employed. All pertinent comments made by cancer patients were collected from the patient feedback form of the Tehran University of Medical Science (TUMS) Cancer Institute (CI) in Iran, from March to October 2021. Conventional evaluation metrics such as accuracy, precision, recall, and F-measure were utilized to assess the performance of the proposed model.ResultThe experimental findings revealed that the proposed SA model achieved accuracies of 89.3%, 92.6%, and 90.8% in detecting patients' sentiments towards general services, healthcare services, and life expectancy, respectively. Based on the topic modeling results, the topic ""Metastasis"" exhibited lower sentiment scores compared to other topics. Additionally, cancer patients expressed dissatisfaction with the current appointment booking service, while topics such as ""Good experience,"" ""Affable staff"", and ""Chemotherapy"" garnered higher sentiment scores.ConclusionThe combined use of SA and topic modeling offers valuable insights into healthcare services. Policymakers can utilize the knowledge obtained from these topics and associated sentiments to enhance patient satisfaction with cancer institution services.",0,0,Sentiment analysis; Natural language processing; Topic modeling; Opinion mining; Cancer; Patient feedback,Article
Quantifying Experiences with Telepractice for Aphasia Therapy: A Text Mining Analysis of Client Response Data,"Jacobs, Molly; Briley, Patrick; Ellis, Charles; THIEME MEDICAL PUBL INC; Jacobs, Molly; Briley, Patrick; Ellis, Charles; Briley, Patrick; Ellis, Charles; Ellis, Charles; Ellis, Charles; Jacobs, Molly",2020,SEMINARS IN SPEECH AND LANGUAGE,10.1055/s-0040-1716887,WOS:000573862200001,USA,"Measures of satisfaction following treatment for aphasia have been limited. The challenge associated with reduced verbal output among many persons with aphasia (PWA) has reportedly been a key reason measures of treatment satisfaction have been limited. A novel approach to measure treatment satisfaction is the use of content analysis (CA), which uses the presence of certain words, themes, or concepts to explore outcomes such as treatment satisfaction particularly among individuals who generate limited output. CA utilizes responses and response patterns to assign meaning to client responses. The aim of this study was to use CA to measure posttreatment satisfaction with a telepractice approach for aphasia treatment. Seventeen PWA received 12 treatment sessions over a 6-week period. At the conclusion of the treatment, CA was utilized to explore patient satisfaction with this treatment approach. The participants reported an overall positive sentiment for the telepractice approach. Two primary topics emerged which were healthcare provider and healthcare delivery, where text analysis revealed discussion of these topics to be centered around being ""helpful"" and ""being effective."" This study demonstrated that CA can be an effective approach for determining satisfaction with aphasia treatment particularly among PWA with limited verbal abilities.",0,0,aphasia; satisfaction; content analysis; PATIENT SATISFACTION; PEOPLE; CARE,Article
