title,authors,year,journal,doi,uid,countries,abstract,citations,references,keywords,subtypeDescription,relevance_score
Artificial intelligence in patient-specific hand surgery: a scoping review of literature,"Keller, Marco; Guebeli, Alissa; Thieringer, Florian; Honigmann, Philipp; SPRINGER HEIDELBERG; Keller, Marco; Guebeli, Alissa; Honigmann, Philipp; Keller, Marco; Guebeli, Alissa; Thieringer, Florian; Honigmann, Philipp; Guebeli, Alissa; Thieringer, Florian; Honigmann, Philipp; Keller, Marco; Keller, Marco; Thieringer, Florian Markus; Gubeli, Alissa; Honigmann, Philipp; Thieringer, Florian; Keller, Marco",2023,INTERNATIONAL JOURNAL OF COMPUTER ASSISTED RADIOLOGY AND SURGERY,10.1007/s11548-023-02831-3,WOS:000912978900002,Switzerland; Netherlands,Purpose The implementation of artificial intelligence in hand surgery and rehabilitation is gaining popularity. The purpose of this scoping review was to give an overview of implementations of artificial intelligence in hand surgery and rehabilitation and their current significance in clinical practice.,0,0,Hand surgery; Hand rehabilitation; Artificial Intelligence; Machine learning; Deep learning; Mathematical modelling,Review,2
Prediction on nature of cancer by fuzzy graphoidal covering number using artificial neural network,"Bhattacharya, Anushree; Pal, Madhumangal; ELSEVIER; Bhattacharya, Anushree; Pal, Madhumangal; Pal, Madhumangal; BHATTACHARYA, ANUSHREE; Bhattacharya, Anushree",2024,ARTIFICIAL INTELLIGENCE IN MEDICINE,10.1016/j.artmed.2024.102783,WOS:001171890200001,India,"Predicting the chances of various types of cancers for different organs in the human body is a typical decisionmaking process in medicine and health. The signaling pathways have played a vital role in increasing or decreasing the possibility of the deadliest disease, cancer. To combine the pathways concept and ambiguity in the prediction techniques of such diseases, we have used the proposed research on fuzzy graphoidal covers of fuzzy graphs in this paper. Determining a path with uncertainty and shortest length is a challenging topic of graph theory, and a collection of such shortest paths maintaining specific conditions is defined as a fuzzy graphoidal cover for a fuzzy graph. Also, we have defined fuzzy graphoidal covering number as a new parameter, reflecting the measure of coverage by fuzzy graphoidal covering set in a system. Afterwards, some important characterizations of the fuzzy graphoidal covering number are established with justified proof. Also, specific limit values of this number are provided for particular cases. Then, we developed an efficient algorithm for finding the defined covering set with its space and time complexity. The findings of this proposed study have been composed with an artificial neural network to model a strong tool for resolving an essential issue of medical sciences, the prediction of cancer type in the human body. We have analyzed two types of neural networks such as one one-dimensional and two-dimensional specification, for clarity of the obtained results. Also, we have found out the most possible cancer type is breast cancer from the data of our considered case study as a concluding statement for any decision-maker in the field of health sciences. Finally, sensitivity analysis and comparative study have been done to show the stability of our proposed work.",0,0,Fuzzy graph; Covering problem; Fuzzy graphoidal covering number; Fuzzy shortest path; Cancer type prediction; BREAST-CANCER; GRAPHS,Article,1
Measures implemented in the school setting to contain the COVID-19 pandemic: a rapid scoping review,"Krishnaratne, Shari; Pfadenhauer, Lisa M.; Coenen, Michaela; Geffert, Karin; Jung-Sievers, Caroline; Klinger, Carmen; Kratzer, Suzie; Littlecott, Hannah; Movsisyan, Ani; Rabe, Julia E.; Rehfuess, Eva; Sell, Kerstin; Strahwald, Brigitte; Stratil, Jan M.; Voss, Stephan; Wabnitz, Katharina; Burns, Jacob; WILEY; Krishnaratne, Shari; Pfadenhauer, Lisa M.; Coenen, Michaela; Geffert, Karin; Jung-Sievers, Caroline; Klinger, Carmen; Kratzer, Suzie; Littlecott, Hannah; Movsisyan, Ani; Rabe, Julia E.; Rehfuess, Eva; Sell, Kerstin; Strahwald, Brigitte; Stratil, Jan M.; Voss, Stephan; Wabnitz, Katharina; Burns, Jacob; Krishnaratne, Shari; Pfadenhauer, Lisa M.; Coenen, Michaela; Geffert, Karin; Jung-Sievers, Caroline; Klinger, Carmen; Kratzer, Suzie; Littlecott, Hannah; Movsisyan, Ani; Rabe, Julia E.; Rehfuess, Eva; Sell, Kerstin; Strahwald, Brigitte; Stratil, Jan M.; Voss, Stephan; Wabnitz, Katharina; Burns, Jacob; Krishnaratne, Shari; Littlecott, Hannah; Burns, Jacob; Burns, Jacob; Sell, Kerstin; Littlecott, Hannah; Pfadenhauer, Lisa; Kratzer, Suzie; Stratil, Jan; Rehfuess, Eva",2020,COCHRANE DATABASE OF SYSTEMATIC REVIEWS,10.1002/14651858.CD013812,WOS:000604884100032,Germany; England; Wales,Background,0,0,INTERVENTIONS,Review,0
Tumor Hypoxia as a Barrier in Cancer Therapy: Why Levels Matter,"Hompland, Tord; Fjeldbo, Christina Saeten; Lyng, Heidi; MDPI; Hompland, Tord; Fjeldbo, Christina Saeten; Lyng, Heidi; Lyng, Heidi; Lyng, Heidi; Lyng, Heidi; Lyng, Heidi; Lyng, Heidi",2021,CANCERS,10.3390/cancers13030499,WOS:000615011300001,Norway,Simple Summary,0,0,hypoxia level; tumor microenvironment; model system; imaging; oxygen sensing; cellular response; radiotherapy resistance,Review,0
China's spatial and temporal position in the global research network of information behavior and its current development dynamics,"Gou, Yang; Li, Rui; Zhuang, Zhibo; EMERALD GROUP PUBLISHING LTD; Gou, Yang; Li, Rui; Zhuang, Zhibo; Zhuang, Zhibo; Zhuang, Zhibo; Zhuang, Zhibo",2024,LIBRARY HI TECH,10.1108/LHT-12-2023-0610,WOS:001241380800001,Peoples R China,"PurposeThis paper aims to objectively present the research dynamics of China in the field of information behavior and its development trends. Firstly, it incorporates China's research in the field of information behavior into the global research network of information behavior, analyzing the changes in the status of Chinese scholars and their research institutions in the global research network from 1991 to 2022, the trends in publication volume and the cooperation relationships with other countries. Then, it conducts a detailed analysis of China's research categories, groups, theoretical models and hot topics in different information contexts in the past five years (2018-2022).Design/methodology/approachThe study retrieved research literature related to information behavior in China from 1991 to 2022 in the Web of Science database. It then utilized a national/institutional cooperation network map to analyze the changes in the status of Chinese scholars/institutions in the global research network during this period, publication volume trends and cooperation relationships with other countries. Furthermore, it employed keyword co-occurrence network maps to analyze the key categories, groups, theories and models of China's research in different information contexts in the past five years. Based on this, it used keyword clustering network maps to analyze the hot topics of China's research in different information contexts in the past five years.Findings(1) China's research in the field of information behavior started relatively late, but the volume of publications has grown rapidly since 2004, currently ranking second globally in cumulative publication quantity. However, the influence of the literature published by China is limited, and there is a lack of research institutions with global influence. (2) In the last five years, China has conducted extensive research in various information contexts. Among these, most research was conducted in work contexts, followed by healthcare contexts, especially studies related to epidemics. (3) Current research on information behavior in China is characterized by expanded and refined research groups, diversified research categories, continuous expansion and enrichment of research contexts, increased interdisciplinary nature of research and continuous innovation in research methods and theoretical models.Originality/valueThis study, utilizing a scientific knowledge map, elucidates China's position in global information behavior research, with a specific emphasis on analyzing China's research hot topics and trends in this field over the past five years. It aims to provide valuable resources for scholars interested in understanding the status of information behavior research in China and to offer some guidance for scholars currently or intending to engage in information behavior research.",0,0,Information behavior; Information context; Research hot topics; Knowledge map; CiteSpace; China; SEEKING,Article,0
DeepThink IoT: The Strength of Deep Learning in Internet of Things,"Thakur, Divyansh; Saini, Jaspal Kaur; Srinivasan, Srikant; SPRINGER; Thakur, Divyansh; Saini, Jaspal Kaur; Srinivasan, Srikant; Thakur, Divyansh; SAINI, JASPAL KAUR; Thakur, Divyansh; Saini, Jaspal Kaur; Srinivasan, Srikant",2023,ARTIFICIAL INTELLIGENCE REVIEW,10.1007/s10462-023-10513-4,WOS:001000721100001,India,"The integration of Deep Learning (DL) and the Internet of Things (IoT) has revolutionized technology in the twenty-first century, enabling humans and machines to perform tasks more efficiently. The combination of DL and the IoT has resulted in significant advancements in technology by improving the efficiency, security, and user experience of IoT devices and systems. The integration of DL and IoT offers several benefits, including improved data processing and analysis capabilities, the ability for IoT devices to learn from data and adapt to changing conditions, and the early detection of system malfunctions and potential security breaches. This survey paper provides a comprehensive overview of the impact of DL on IoT, including an analysis of sensor data to detect patterns and make predictions, and the implications for various industries such as healthcare, manufacturing, agriculture, and smart cities. The survey paper covers topics such as DL models, frameworks, IoT connectivity terminologies, IoT components, IoT service-oriented architecture, IoT applications, the role of DL in IoT, and challenges faced by DL in IoT. The study also presents quantitative achievements that highlight the potential impact of IoT and DL in environmental contexts such as precision farming and energy consumption. Overall, the survey paper provides an excellent resource for researchers interested in exploring the potential of IoT and DL in their field.",0,0,Deep learning; Deep learning models; Strength of deep learning; Activation functions; IoT; IoT applications; IoT challenges in deep learning; CONVOLUTIONAL NEURAL-NETWORK; VARIATIONAL AUTOENCODER; DENOISING AUTOENCODER; PRECISION AGRICULTURE; IMAGE CLASSIFICATION; EMOTION RECOGNITION; RNN; TIME; GAN; PREDICTION,Article,1
Beyond the Present Constraints That Prevent a Wide Spread of Tissue Engineering and Regenerative Medicine Approaches,"O'Donnell, Benjamen T.; Ives, Clara J.; Mohiuddin, Omair A.; Bunnell, Bruce A.; FRONTIERS MEDIA SA; O'Donnell, Benjamen T.; Ives, Clara J.; Mohiuddin, Omair A.; Bunnell, Bruce A.; Mohiuddin, Omair A.; Bunnell, Bruce A.; Bunnell, Bruce A.; O'Donnell, Benjamen; Bunnell, Bruce; Mohiuddin, Omair",2019,FRONTIERS IN BIOENGINEERING AND BIOTECHNOLOGY,10.3389/fbioe.2019.00095,WOS:000466980900001,USA,"Despite the success of tissue engineered medical products (TEMPs) in preclinical translational research, very few have had success in the clinical market place. This gap, referred to as the ""valley of death"" is due to the large number of ventures that failed to attract or retain investor funding, promotion, and clinical acceptance of their products. This loss can be attributed to a focus on a bench to bedside flow of ideas and technology, which does not account for the multitude of adoption, commercial, and regulatory constraints. The implementation of an alternative bedside to bench and back again approach permits investigators to focus on a specific unmet clinical need, defining crucial translation related questions early in the research process. Investigators often fail to accurately identify critical clinical adoption criteria due to their focus on improved patient outcomes. Other adoption criteria (such as price, time, ethical concerns, and place in the workflow) can cause a product to fail despite improved patient outcomes. By applying simplified business principles such as the build-measure-learn loop and the business model canvas to early-stage research projects, investigators can narrow in on appropriate research topics and define design constraints. Additionally, 86% of all clinical trials fail to result in Federal Drug Administration approval, resulting in significant economic burdens. On the reverse side, approval through the European Medical Agency is widely considered to be more direct but has its challenges. The Committee for Advanced Therapies within the European Medical Agency has received 22 market authorization applications for advanced therapy medicinal products, of which only 10 received authorization. A thorough understanding of the various regulatory pathways permits investigators to plan for future regulatory obstacles and potentially increase their chances of success. By utilizing a bedside to bench and back again approach, investigators can improve the odds that their research will have a meaningful clinical impact.",0,0,regenerative medicine; tissue engineering; regulation; food and drug administration; translation; commercialization; TRANSLATION; COMMERCIALIZATION; PATH,Review,0
Leveraging Organizational Health Literacy to Enhance Health Promotion and Risk Prevention: A Narrative and Interpretive Literature Review,"Palumbo, Rocco; YALE J BIOLOGY MEDICINE, INC; Palumbo, Rocco; Palumbo, Rocco; Palumbo, Rocco",2021,YALE JOURNAL OF BIOLOGY AND MEDICINE,,WOS:000669538200012,Italy,"Organizational health literacy involves the health care organizations' ability to establish an empowering and co-creating relationship with patients, engaging them in the design and delivery of health services in collaboration with health professionals. Although scholars agree that organizational health literacy contributes to health promotion and risk prevention via patient empowerment, literature is not consistent in depicting the interplay between organizational health literacy and preventive medicine. The article intends to shed light into this issue, summarizing current knowledge about this topic and advancing avenues for further development. A narrative literature review was performed through a systematic search on PubMed (R), Scopus (R), and Web of Science (TM). The review focused on 50 relevant contributions. Organizational health literacy triggers the transition towards a patient-centered approach to care. It complements individual health literacy, enabling patients to actively participate in health promotion and risk prevention as co-producers of health services and co-creators of value. However, many obstacles - including lack of time and limited resources available - prevent the transition towards health literate health care organizations. Two initiatives are required to overcome extant barriers. On the one hand, a health literate workforce should be prepared to increase the institutional ability of health care organizations to empower and engage patients in health co-creation. On the other hand, increased efforts should be made to assess organizational health literacy and to make its contribution to preventive medicine explicit.",0,0,Health literacy; Organizational health literacy; Patient empowerment; Patient engagement; Preventive medicine; CARE ORGANIZATIONS; ENGAGEMENT; SYSTEMS; MODEL,Review,0
Anthropomorphic motion planning for multi-degree-of-freedom arms,"Zheng, Xiongfei; Han, Yunyun; Liang, Jiejunyi; FRONTIERS MEDIA SA; Zheng, Xiongfei; Liang, Jiejunyi; Han, Yunyun; Liang, Jiejunyi; Han, Yunyun; Han, Yunyun",2024,FRONTIERS IN BIOENGINEERING AND BIOTECHNOLOGY,10.3389/fbioe.2024.1388609,WOS:001242882200001,Peoples R China,"With the development of technology, the humanoid robot is no longer a concept, but a practical partner with the potential to assist people in industry, healthcare and other daily scenarios. The basis for the success of humanoid robots is not only their appearance, but more importantly their anthropomorphic behaviors, which is crucial for the human-robot interaction. Conventionally, robots are designed to follow meticulously calculated and planned trajectories, which typically rely on predefined algorithms and models, resulting in the inadaptability to unknown environments. Especially when faced with the increasing demand for personalized and customized services, predefined motion planning cannot be adapted in time to adapt to personal behavior. To solve this problem, anthropomorphic motion planning has become the focus of recent research with advances in biomechanics, neurophysiology, and exercise physiology which deepened the understanding of the body for generating and controlling movement. However, there is still no consensus on the criteria by which anthropomorphic motion is accurately generated and how to generate anthropomorphic motion. Although there are articles that provide an overview of anthropomorphic motion planning such as sampling-based, optimization-based, mimicry-based, and other methods, these methods differ only in the nature of the planning algorithms and have not yet been systematically discussed in terms of the basis for extracting upper limb motion characteristics. To better address the problem of anthropomorphic motion planning, the key milestones and most recent literature have been collated and summarized, and three crucial topics are proposed to achieve anthropomorphic motion, which are motion redundancy, motion variation, and motion coordination. The three characteristics are interrelated and interdependent, posing the challenge for anthropomorphic motion planning system. To provide some insights for the research on anthropomorphic motion planning, and improve the anthropomorphic motion ability, this article proposes a new taxonomy based on physiology, and a more complete system of anthropomorphic motion planning by providing a detailed overview of the existing methods and their contributions.",0,0,anthropomorphic; motion planning; arms; motion redundancy; motion variation; motion coordination; HUMAN-LIKE BEHAVIOR; MOTOR CONTROL; REACHING MOVEMENTS; EXOSKELETON ROBOT; MUSCLE SYNERGIES; HUMANOID ROBOT; HUMAN LIKENESS; PRIMITIVES; CONFIGURATION; COORDINATION,Review,0
Metabolic reprogramming-associated genes predict overall survival for rectal cancer,"Zhang, Zhong-Yi; Yao, Qing-Zhi; Liu, Hui-Yong; Guo, Qiao-Nan; Qiu, Peng-Jun; Chen, Jian-Peng; Lin, Jian-Qing; WILEY; Zhang, Zhong-Yi; Yao, Qing-Zhi; Liu, Hui-Yong; Guo, Qiao-Nan; Qiu, Peng-Jun; Chen, Jian-Peng; Lin, Jian-Qing; Lin, Jian-Qing; Lin, Jianqing; 陈, 建澎; Li, Yong",2020,JOURNAL OF CELLULAR AND MOLECULAR MEDICINE,10.1111/jcmm.15254,WOS:000525967600001,Peoples R China,"Metabolic reprogramming has become a hot topic recently in the regulation of tumour biology. Although hundreds of altered metabolic genes have been reported to be associated with tumour development and progression, the important prognostic role of these metabolic genes remains unknown. We downloaded messenger RNA expression profiles and clinicopathological data from The Cancer Genome Atlas and the Gene Expression Omnibus database to uncover the prognostic role of these metabolic genes. Univariate Cox regression analysis and lasso Cox regression model were utilized in this study to screen prognostic associated metabolic genes. Patients with high-risk demonstrated significantly poorer survival outcomes than patients with low-risk in the TCGA database. Also, patients with high-risk still showed significantly poorer survival outcomes than patients with low-risk in the GEO database. What is more, gene set enrichment analyses were performed in this study to uncover significantly enriched GO terms and pathways in order to help identify potential underlying mechanisms. Our study identified some survival-related metabolic genes for rectal cancer prognosis prediction. These genes might play essential roles in the regulation of metabolic microenvironment and in providing significant potential biomarkers in metabolic treatment.",1,0,metabolic reprogramming; prognostic; rectal cancer; survival analysis; METASTASIS; RISK,Article,0
