序號,評論ID,作者,評分,評論內容,評論日期,實際日期,照片數,語言,醫院名稱,來源檔案,實際日期_parsed,評論長度,textblob_polarity,textblob_subjectivity,textblob_sentiment,vader_compound,vader_neg,vader_neu,vader_pos,vader_sentiment,rating_category,textblob_accurate,vader_accurate
1,review_94758,Bruce,3,"A Shout out to michelle"" Megan, gina kidney transplant department""👍",a week ago,2025-10-02,1,en,Johns_Hopkins_MD,Johns_Hopkins_MD_20251009_2225.csv,2025-10-02,67,0.0,0.0,Neutral,0.0,0.0,1.0,0.0,Neutral,Neutral (3★),True,True
2,review_16363,Austin Henderson,1,"Last place I would want to be treated if I was dying , DR NICK SMITH , refused to treat me because “ I looked like a conservative “ this is absolutely outrageous considering I never discussed any politics will at this hospital , this is absolutely wrong , if he was the only doctor available and I was dying I’m sure he would let me die !!! 0 out of 10 stars !! Make your hospital better than this or just shut it all down !",3 weeks ago,2025-09-18,1,en,Johns_Hopkins_MD,Johns_Hopkins_MD_20251009_2225.csv,2025-09-18,424,0.02569444444444443,0.6305555555555555,Neutral,-0.6433,0.135,0.753,0.113,Negative,Negative (1-2★),False,True
6,review_13942,Cathy Miles,4,"I didn’t feel the need to write a review until today. I didn’t realize what a great hospital it  was until I was forced to go to another hospital. My father was taken by ambulance to John Hopkins Bayview despite us asking for him to be transported to Orleans street for care. At the Orleans street hospital the nurses and doctors were constantly in the room explaining what was going on with my father’s care. My father is bedridden and needs to be cleaned regularly and repositioned regularly. He was always clean and never once got a sore or even any redness after his two week stay. The hospital allows for a family member to stay the night with the patient and even has a family room with a refrigerator, ice machine and vending. The nurses are so friendly and always willing to help. Fast forward to his stay at Bayview. The complete opposite. He sat 32 hours in the ER waiting to get a bed to be admitted. He has a terrible pressure wound and another wound on his inside thigh from them putting an adult diaper on too tight. The nurses are rude. Every morning this week he has been soiled through the pads, all the bed sheets and covers and his gown. I asked to speak to the charge nurse, she never came. His room is full of medical trash laying on the floor. No where for a family member to sleep. My father has called us in the middle of the night to tell us he is soaked and he’s been pushing the call button for an hour and no one is coming. We have called and no one answered or they answer and say they will have the nurse call and then never return the call. I can go on and on.
Thank you Hopkins Orleans for providing exceptional care to your patients   But don’t ever go to the Bayview campus!",3 weeks ago,2025-09-18,1,en,Johns_Hopkins_MD,Johns_Hopkins_MD_20251009_2225.csv,2025-09-18,1708,0.08402255639097744,0.4275207248891459,Neutral,0.6482,0.042,0.904,0.054,Positive,Positive (4-5★),False,True
11,review_88826,Daniel Flora,5,Is there a way to give more than five stars ? This hospital deserves it! This is the absolute best hospital in the whole United States!,a month ago,2025-09-09,1,en,Johns_Hopkins_MD,Johns_Hopkins_MD_20251009_2225.csv,2025-09-09,135,0.51875,0.525,Positive,0.8217,0.0,0.76,0.24,Positive,Positive (4-5★),True,True
12,review_21454,Sara Lane,5,"I stayed with my sister at the Hospital following neurological brain surgery.  I couldn’t have been more impressed with the staff at the Hospital.  They were attentive, caring and thorough.   As a “guest” of the patient they were helpful and friendly and made sure that we were both as comfortable as possible.  I would always recommend having an advocate stay with a patient, and yet with this team it didn’t feel quite as necessary as other experiences.",a month ago,2025-09-09,1,en,Johns_Hopkins_MD,Johns_Hopkins_MD_20251009_2225.csv,2025-09-09,455,0.305,0.706388888888889,Positive,0.9623,0.0,0.772,0.228,Positive,Positive (4-5★),True,True
15,review_20254,Michael Foxwell,1,My wife had a fever at 2am and called the doctor on call at JH. His suggestion was to go to the emergency room. We arrived at Johns Hopkins at 3am and sat in the waiting room until 7:30am. It is now 1pm and she is being discharged with no treatment.,a month ago,2025-09-09,1,en,Johns_Hopkins_MD,Johns_Hopkins_MD_20251009_2225.csv,2025-09-09,249,0.0,0.0,Neutral,-0.5859,0.089,0.911,0.0,Negative,Negative (1-2★),False,True
17,review_84439,P. Nguyen,5,"My wife and I just had our baby here 2 weeks ago and the staff was so awesome. She had some complications during her c section and Dr. Vaught walked in like a dang superhero. The nurses, especially Nurse Aubrey, was so kind she even stopped by to visit us even though we weren't on her shift. Excellent staff. Thank you all!",a month ago,2025-09-09,1,en,Johns_Hopkins_MD,Johns_Hopkins_MD_20251009_2225.csv,2025-09-09,324,0.65,0.975,Positive,0.9565,0.025,0.732,0.243,Positive,Positive (4-5★),True,True
18,review_78764,Colin F,5,"Not sure why there are so many negative reviews. I was treated with respect from the moment I walked through the door. I needed surgery in the Neuro department and spent a little over a week in the hospital. Every single staff member was caring, kind, compassionate, and professional. From the doctors all the way down to the janitors. If I need hospital care in the future I will definitely be returning to Hopkins. Seriously, I can’t say enough about how incredible the employees were.",Edited a month ago,2025-09-09,1,en,Johns_Hopkins_MD,Johns_Hopkins_MD_20251009_2225.csv,2025-09-09,487,0.05015589569160998,0.4702664399092971,Neutral,0.9034,0.075,0.742,0.184,Positive,Positive (4-5★),False,True
21,review_58002,Angela M,1,"They call and say my dad needs to come up here and be admitted for the 2nd time -because they can't figure out the correct meds after a liver transplant- they called at 11am, we arrived at 4:30 (We are long distance from thus hospital) they dont have a room ready.....seriously?!?! 5 and a half hours and yall couldnt get a room ready knowing you had an admission???? And then when I said something about why we have already waited the better part of an hour the clerk at admissions wanna get smart out of his mouth ""it takes as long as it takes"". When you come in off the bridge connected to the garage, the ladies at the info desk just keep talking amongst themselves and blatantly ignoring people who need to check in. This hospital is supposed to be of the best- IT IS NOT. They claim they try to make it as easy as possible and I claim thats a complete lie.",2 months ago,2025-08-10,1,en,Johns_Hopkins_MD,Johns_Hopkins_MD_20251009_2225.csv,2025-08-10,862,0.13773561507936508,0.4702380952380953,Positive,0.9376,0.015,0.883,0.101,Positive,Negative (1-2★),False,False
22,review_16649,tom conner,5,"We had a wonderful surgeon, Dr Yang. His entire staff was most supportive and professional. Indeed everyone we came into contact with was friendly and helpful. My biggest criticism is the PARKING, a real nightmare. After driving hours to receive excellent care the last thing you want to face is “black hole of Calcutta “ parking garage.",2 months ago,2025-08-10,1,en,Johns_Hopkins_MD,Johns_Hopkins_MD_20251009_2225.csv,2025-08-10,337,0.3508333333333334,0.5525,Positive,0.9476,0.04,0.678,0.282,Positive,Positive (4-5★),True,True
